Date,Q_ke,Q_assim_base,Q_assim_Budyko,ET_ke,ET_assim_base,ET_assim_Budyko,S_ke,S_assim_base,S_assim_Budyko,G_ke,G_assim_base,G_assim_Budyko,Qs_ke,Qs_assim_base,Qs_assim_Budyko,Qb_ke,Qb_assim_base,Qb_assim_Budyko,Perc_ke,Perc_assim_base,Perc_assim_Budyko,omega_true,omega_mlr
2000-01-01,179.13997347373964,0.08190006755389155,0.08017648397281696,18.070615768432617,3.412027176143354,3.569219900357851,29.22045133590696,0.008488676371857982,0.0,373.2431537578583,1.3650011258981924,1.3362747328802826,155.31594238281252,0.0,0.0,23.824031090927125,0.08190006755389155,0.08017648397281696,1.5379184913635244,0.0,0.0,6.938281263616511,6.539532471440959
2000-02-01,51.17538602417753,5.4931267386318465,5.4846122139532865,17.19519919967651,16.764033338847444,16.755544662475586,0.0,0.0,0.0,350.8485645323868,1.187823979756607,1.1628262725524217,28.780796798706035,5.411226671077955,5.404435729980469,22.394589225471496,0.08190006755389155,0.08017648397281696,0.0,0.0,0.0,8.862571579261733,6.939484614525899
2000-03-01,40.98430010241196,20.00465566925415,20.003155806821898,14.983346557617185,34.91673278808594,34.91673278808594,0.0,0.0,0.0,329.7976506604436,1.0336444271841994,1.0118914223751176,19.933386230468752,19.933386230468752,19.933386230468752,21.050913871943205,0.07126943878539642,0.06976957635314529,0.0,0.0,0.0,8.908413047527397,6.893340436670674
2000-04-01,48.03077896150161,28.30493858750605,28.303633407217507,17.06072998046875,45.30364990234375,45.30364990234375,0.0,0.0,0.0,310.009791620817,0.8994773805356903,0.8805479157508274,28.242919921875,28.242919921875,28.242919921875,19.787859039626614,0.06201866563105196,0.060713485342507055,0.0,0.0,0.0,8.265009001729588,6.732732838527816
2000-05-01,73.60991977263964,55.063300918222765,55.06216515033567,23.752333068847655,78.76166534423828,78.76166534423828,0.0,0.0,0.0,291.409204123568,0.7827252165421581,0.7662527962863698,55.009332275390626,55.009332275390626,55.009332275390626,18.60058749724902,0.053968642832141415,0.05283287494504964,0.0,0.0,0.0,7.628768110573152,6.41102899710424
2000-06-01,74.16480127085158,56.72721253643003,56.72622419121468,24.17006225585937,80.85031127929688,80.85031127929688,0.0,0.0,0.0,273.9246518761539,0.6811274834349856,0.666793183328399,56.680249023437504,56.680249023437504,56.680249023437504,17.48455224741408,0.04696351299252948,0.045975167777182184,0.0,0.0,0.0,7.790519535923727,6.299972490392272
2000-07-01,103.63577208131923,87.24116061775611,87.24030055974971,31.800073242187494,119.0003662109375,119.0003662109375,0.0,0.0,0.0,257.4891727635847,0.5927171360851247,0.5802434281323727,87.20029296875,87.20029296875,87.20029296875,16.435479112569233,0.040867649006099134,0.04000759099970394,0.0,0.0,0.0,8.184748958976702,6.005083240159313
2000-08-01,35.614993676361955,20.201206338711984,20.200457916234818,15.041410827636717,35.207054138183594,35.207054138183594,0.0,0.0,0.0,242.0398223977696,0.5157824518212755,0.5049278311607908,20.165643310546876,20.165643310546876,20.165643310546876,15.44935036581508,0.03556302816510748,0.03481460568794236,0.0,0.0,0.0,8.998576653856938,6.2766169276707515
2000-09-01,37.05090496886618,22.55946257210928,22.55881129486965,15.63212890625,38.16064453125,38.16064453125,0.0,0.0,0.0,227.51743305390343,0.44883388957487386,0.4393881986761201,22.528515625,22.528515625,22.528515625,14.522389343866175,0.030946947109276528,0.030295669869647445,0.0,0.0,0.0,9.164717884313735,6.605081156597789
2000-10-01,64.4323203972967,50.80820444743699,50.80763770598307,22.695318603515624,67.74564813613893,73.47659301757812,0.0,4.114818424873347,0.0,213.86638707066922,1.796928493211662,0.38235561048795985,50.7812744140625,50.7812744140625,50.7812744140625,13.651045983234205,0.02693003337449243,0.026363291920567206,0.0,0.0,0.0,9.48416349117913,6.7713827858886075
