date,gauge_id,csr,gfz,jpl,TWA
5/1/2014,5458000,4.248153766,4.35878706,5.856166363,4.82103573
6/1/2014,5458000,8.730434895,6.660611471,7.662148476,7.68439828
8/1/2014,5458000,3.298565308,1.660840909,0.866104638,1.941836952
9/1/2014,5458000,6.258276622,5.55693833,4.273746649,5.3629872
10/1/2014,5458000,4.670439084,4.684156497,3.497785966,4.284127182
11/1/2014,5458000,3.800725381,4.267066717,5.919393063,4.662395053
1/13/2015,5458000,7.487050056,8.327374617,5.494310379,7.102911684
2/1/2015,5458000,10.87985961,9.587173462,17.36254756,12.60986021
3/1/2015,5458000,5.346938292,5.976527214,6.023243109,5.782236205
4/1/2015,5458000,6.228591919,5.717428048,7.234270573,6.39343018
4/12/2015,5458000,6.469896952,6.175303618,4.815458457,5.820219676
6/29/2015,5458000,7.514556726,8.259732246,4.644826412,6.806371795
8/1/2015,5458000,1.965731263,3.69930625,1.991691709,2.552243074
9/1/2015,5458000,0.31579112,2.572728992,5.491146088,2.793222066
12/11/2015,5458000,9.996670405,9.606438001,7.502045949,9.035051452
1/4/2016,5458000,10.7734731,10.25189845,9.291465123,10.10561223
1/29/2016,5458000,9.450194041,10.99178886,9.820447604,10.08747684
3/1/2016,5458000,10.91766771,10.0909392,9.960746765,10.32311789
5/7/2016,5458000,12.24192778,10.61911488,8.936917623,10.59932009
6/1/2016,5458000,10.8789854,12.01486111,9.475680033,10.78984218
7/1/2016,5458000,6.75586621,5.95239989,5.052233855,5.920166651
8/8/2016,5458000,5.244781494,4.888708353,1.831609766,3.988366538
11/13/2016,5458000,13.15164407,12.12506358,11.06933435,12.11534733
12/11/2016,5458000,8.934215069,4.249837796,6.391078154,6.525043673
4/1/2002,5466500,4.94870706,3.081978343,4.458922137,4.163202513
5/1/2002,5466500,7.74607381,9.258668054,6.434076288,7.812939384
8/1/2002,5466500,-3.38713996,-4.052174086,-4.645301244,-4.028205097
9/1/2002,5466500,-6.569307793,-8.927728826,-8.650676294,-8.049237638
10/1/2002,5466500,-4.884328615,-8.413001906,-6.359319069,-6.55221653
11/1/2002,5466500,-3.877107626,-6.815949538,-5.290308085,-5.327788416
12/1/2002,5466500,-7.711635384,-7.968634963,-9.825911132,-8.502060493
1/1/2003,5466500,-3.167528245,-7.674752452,-5.42398585,-5.422088849
