like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.4656,0.905,0.0627,0.4548,9.97,-4.55,0.0
15.26,0.731,0.6846,0.3203,2.953,12.88,0.0
2.154,0.691,0.2852,0.1669,9.59,-13.61,0.0
0.732,0.6094,0.6387,0.9785,9.65,-11.234,0.0
3.15,0.2151,0.982,0.4358,8.51,4.06,0.0
11.52,0.9976,0.4912,0.9326,4.74,14.086,0.0
5.727,0.742,0.875,0.4546,7.062,4.676,0.0
8.62,0.663,0.7793,0.8755,0.5273,11.01,0.0
22.73,0.252,0.0629,0.02174,8.13,-0.472,0.0
14.12,0.11597,0.427,0.2976,3.379,14.92,0.0
13.016,0.776,0.789,0.4666,0.731,13.45,0.0
5.7,0.9883,0.8125,0.5386,6.723,5.074,0.0
7.305,0.0444,0.2776,0.996,1.842,9.93,0.0
0.732,0.012924,0.3857,0.2372,0.4204,-7.39,0.0
8.85,0.02812,0.769,0.4133,6.793,11.39,0.0
10.01,0.733,0.4355,0.1713,9.73,-1.763,0.0
0.732,0.252,0.2222,0.3237,0.804,-11.57,0.0
0.2455,0.282,0.9194,0.616,9.14,-1.888,0.0
0.6943,0.7266,0.668,0.955,2.605,-11.195,0.0
10.266,0.1511,0.1188,0.777,7.27,12.9,0.0
0.732,0.9224,0.173,0.872,9.25,-12.08,0.0
0.732,0.05014,0.2754,0.3203,2.814,-14.78,0.0
16.1,0.655,0.08215,0.096,1.268,0.2715,0.0
5.363,0.1992,0.05618,0.667,5.69,7.176,0.0
26.39,0.1564,0.02263,0.05652,3.965,10.92,0.0
0.3967,0.1247,0.3723,0.1666,3.406,-12.41,0.0
5.066,0.5225,0.9253,0.3877,3.936,3.68,0.0
1.584,0.6597,0.653,0.3594,0.1448,-4.516,0.0
0.2507,0.422,0.8643,0.603,3.977,-4.094,0.0
0.732,0.10565,0.548,0.412,4.13,-13.86,0.0
16.67,0.3958,0.652,0.12415,7.098,2.553,0.0
16.31,0.7686,0.8594,0.242,2.213,9.11,0.0
0.732,0.1804,0.2167,0.8823,3.604,-6.363,0.0
0.1548,0.562,0.82,0.882,1.549,0.1667,0.0
12.65,0.4548,0.7617,0.155,1.983,0.3667,0.0
8.63,0.7246,0.872,0.771,9.81,10.7,0.0
3.377,0.619,0.859,0.299,3.125,-6.13,0.0
3.066,0.624,0.729,0.6753,6.695,4.355,0.0
0.3213,0.4644,0.7783,0.5703,9.086,-9.04,0.0
8.17,0.04092,0.2698,0.3467,6.984,10.25,0.0
0.2754,0.274,0.3728,0.6353,4.348,-0.761,0.0
7.46,0.434,0.5747,0.672,7.723,9.54,0.0
8.0,0.576,0.7085,0.1552,5.734,-8.49,0.0
0.721,0.8237,0.7954,0.7524,1.497,0.2128,0.0
24.58,0.69,0.6416,0.03613,0.3972,-1.755,0.0
10.516,0.2328,0.3625,0.6875,3.232,13.12,0.0
7.793,0.322,0.661,0.2198,0.3066,1.845,0.0
0.732,0.047,0.5083,0.2742,0.64,-6.723,0.0
11.47,0.3638,0.7866,0.516,1.705,13.41,0.0
0.4172,0.8804,0.753,0.5615,4.215,-13.63,0.0
0.732,0.624,0.1704,0.75,3.299,-10.805,0.0
16.9,0.08777,0.9785,0.01949,3.676,-7.766,0.0
1.096,0.609,0.4377,0.522,7.285,1.301,0.0
0.732,0.3184,0.12256,0.4304,8.86,-13.37,0.0
0.684,0.8003,0.5625,0.825,2.256,-14.47,0.0
0.732,0.2305,0.491,0.69,4.656,-9.6,0.0
2.955,0.51,0.2056,0.457,3.662,3.244,0.0
0.732,0.5903,0.3533,0.8027,3.588,-12.914,0.0
0.732,0.2228,0.632,0.8257,5.293,-12.414,0.0
0.05707,0.2983,0.713,0.295,8.07,-6.824,0.0
0.9453,0.8105,0.638,0.4565,3.877,-5.605,0.0
7.133,0.9824,0.3103,0.3855,6.387,5.484,0.0
11.8,0.669,0.748,0.2075,4.895,2.174,0.0
35.28,0.4724,0.9893,0.05487,4.387,14.14,0.0
5.133,0.6,0.1233,0.1509,5.098,-6.668,0.0
7.66,0.5713,0.3647,0.9814,0.5938,10.125,0.0
18.81,0.5747,0.5664,0.2135,3.244,12.47,0.0
9.39,0.3809,0.964,0.4543,1.133,10.5,0.0
15.89,0.319,0.995,0.124,9.44,1.657,0.0
0.732,0.7686,0.2734,0.401,5.59,-14.58,0.0
9.42,0.42,0.0876,0.3606,9.65,9.08,0.0
0.732,0.05637,0.9727,0.8853,9.78,-11.22,0.0
3.88,0.8306,0.315,0.5894,4.35,4.77,0.0
0.732,0.09064,0.7153,0.517,2.865,-7.266,0.0
0.04037,0.568,0.372,0.506,1.624,-1.557,0.0
0.3506,0.8447,0.04266,0.983,3.74,-0.51,0.0
0.732,0.02756,0.00958,0.5083,2.385,-4.258,0.0
0.4258,0.1592,0.2979,0.9155,4.586,1.68,0.0
0.3872,0.2722,0.8438,0.551,8.54,1.072,0.0
0.9365,0.4832,0.254,0.1857,7.797,-12.21,0.0
12.305,0.4978,0.8994,0.628,2.121,14.56,0.0
0.3853,0.851,0.8477,0.9634,8.484,-7.223,0.0
5.566,0.857,0.5083,0.657,6.61,6.87,0.0
0.6665,0.1749,0.704,0.3528,3.398,-7.855,0.0
0.1676,0.5327,0.4836,0.6,5.79,-3.047,0.0
8.42,0.5093,0.2573,0.709,7.773,10.56,0.0
0.8325,0.1306,0.106,0.9194,8.51,2.27,0.0
1.725,0.1525,0.1697,0.885,6.977,3.494,0.0
0.3708,0.02988,0.384,0.6294,7.082,0.6875,0.0
-0.03564,0.7334,0.243,0.3262,5.676,-5.043,0.0
16.66,0.181,0.6416,0.08563,9.836,-0.8457,0.0
0.732,0.4797,0.493,0.9873,7.93,-6.152,0.0
0.3293,0.6504,0.4385,0.821,5.074,-2.582,0.0
12.7,0.973,0.8633,0.508,0.4497,12.93,0.0
1.944,0.535,0.8438,0.58,7.5,2.475,0.0
17.44,0.721,0.875,0.0942,0.5527,-4.73,0.0
0.732,0.1307,0.917,0.3608,4.637,-13.07,0.0
8.445,0.1289,0.3704,0.1282,9.78,-4.535,0.0
0.732,0.11926,0.937,0.7793,1.869,-8.39,0.0
0.732,0.2318,0.2145,0.3162,8.03,-12.87,0.0
0.464,0.7446,0.5747,0.3992,2.094,-7.973,0.0
0.732,0.1998,0.3413,0.748,9.77,-14.61,0.0
9.516,0.0626,0.001477,0.1896,7.613,11.305,0.0
4.27,0.691,0.4297,0.925,4.06,6.305,0.0
0.703,0.03592,0.6206,0.2279,6.48,-8.42,0.0
8.71,0.9233,0.6567,0.4595,8.445,8.13,0.0
0.5806,0.7563,0.939,0.9917,1.655,-11.375,0.0
29.23,0.6826,0.12054,0.0903,2.463,13.76,0.0
0.8364,0.7256,0.283,0.964,1.263,2.354,0.0
0.5703,0.2515,0.968,0.543,1.751,-9.74,0.0
0.4185,0.285,0.3008,0.7803,1.859,-0.4453,0.0
9.88,0.6724,0.4092,0.6235,8.57,11.74,0.0
15.34,0.7993,0.767,0.2484,6.414,8.53,0.0
0.732,0.22,0.892,0.9897,0.3906,-12.016,0.0
-0.06995,0.3088,0.196,0.441,8.6,-0.4673,0.0
6.37,0.2915,0.9443,0.1242,9.81,-11.33,0.0
5.547,0.1084,0.1346,0.556,2.818,7.566,0.0
13.24,0.7236,0.02534,0.1039,7.395,0.1338,0.0
0.3354,0.8237,0.7314,0.872,6.28,-6.734,0.0
5.133,0.4495,0.06128,0.8374,0.5293,6.9,0.0
16.88,0.972,0.948,0.1199,5.887,-6.773,0.0
3.92,0.8784,0.1681,0.8965,2.656,5.64,0.0
8.38,0.791,0.1707,0.494,2.848,8.98,0.0
5.508,0.599,0.9966,0.223,0.2037,-10.09,0.0
0.732,0.801,0.1427,0.5693,0.71,-11.336,0.0
0.732,0.3018,0.3313,0.9414,7.797,-8.53,0.0
0.4026,0.1235,0.139,0.2362,8.44,-9.15,0.0
6.35,0.912,0.10913,0.912,8.98,8.195,0.0
0.732,0.1193,0.53,0.848,7.68,-12.41,0.0
0.732,0.1332,0.3948,0.841,7.31,-11.18,0.0
0.552,0.7124,0.933,0.817,0.9165,1.004,0.0
12.9,0.1674,0.7783,0.183,9.664,6.168,0.0
0.0921,0.8965,0.3586,0.516,8.87,-5.812,0.0
6.043,0.7505,0.947,0.7896,6.156,7.82,0.0
0.3347,0.644,0.577,0.3984,1.546,-6.86,0.0
9.016,0.7363,0.963,0.83,3.178,11.25,0.0
13.13,0.7974,0.5527,0.2452,3.705,6.605,0.0
3.297,0.733,0.9053,0.302,1.941,-10.72,0.0
0.7163,0.4565,0.2532,0.2754,8.3,-14.32,0.0
9.88,0.4,0.4521,0.7046,6.41,12.3,0.0
0.732,0.014824,0.6406,0.72,3.78,-14.81,0.0
4.1,0.95,0.5874,0.7036,6.297,5.21,0.0
14.66,0.7505,0.5957,0.2512,1.083,8.85,0.0
9.77,0.4265,0.0713,0.7734,5.383,11.93,0.0
6.91,0.426,0.02809,0.4924,4.14,7.805,0.0
16.14,0.1168,0.5415,0.1643,5.55,8.26,0.0
0.6597,0.5283,0.07007,0.648,1.767,-2.572,0.0
12.03,0.675,0.67,0.832,7.22,14.66,0.0
-0.011,0.636,0.3264,0.5454,9.23,-1.38,0.0
0.3098,0.7783,0.778,0.917,8.914,-4.043,0.0
1.357,0.6855,0.711,0.3394,5.645,-8.734,0.0
0.732,0.1774,0.859,0.9854,5.227,-12.586,0.0
4.758,0.9,0.5493,0.535,8.79,4.914,0.0
0.1181,0.01486,0.229,0.2169,2.592,-3.922,0.0
-0.1149,0.3542,0.0742,0.2607,3.023,-5.02,0.0
0.4312,0.508,0.998,0.7046,2.957,-1.453,0.0
9.74,0.02272,0.00651,0.4768,0.4253,12.35,0.0
27.78,0.867,0.877,0.11237,1.851,10.67,0.0
0.732,0.1647,0.259,0.9365,1.266,-14.95,0.0
0.732,0.5415,0.2441,0.706,1.338,-11.0,0.0
10.9,0.4565,0.2446,0.694,3.197,13.27,0.0
0.0907,0.309,0.796,0.8394,8.54,1.146,0.0
1.175,0.0599,0.445,0.5234,2.24,2.768,0.0
30.23,0.957,0.2228,0.03525,3.807,7.652,0.0
0.8784,0.2307,0.2126,0.853,1.281,2.39,0.0
0.732,0.314,0.5645,0.975,9.93,-11.92,0.0
15.22,0.8745,0.2478,0.0984,4.27,-1.857,0.0
3.209,0.2454,0.7603,0.1494,4.113,-12.17,0.0
9.01,0.7573,0.5044,0.7856,0.2485,11.195,0.0
0.874,0.2197,0.8735,0.2505,7.008,-5.965,0.0
2.545,0.7783,0.6543,0.604,7.484,2.998,0.0
0.994,0.4443,0.8945,0.2556,9.69,-13.945,0.0
8.9,0.296,0.1624,0.1592,1.998,-0.8345,0.0
2.062,0.9717,0.6714,0.581,7.39,0.888,0.0
0.732,0.1482,0.3193,0.8657,1.041,-12.45,0.0
0.1478,0.10736,0.1692,0.2062,5.098,-9.734,0.0
0.6035,0.643,0.9214,0.9526,2.137,-11.336,0.0
1.243,0.771,0.1594,0.8193,1.078,2.51,0.0
4.316,0.3594,0.5903,0.2922,7.37,1.386,0.0
9.195,0.685,0.925,0.21,6.67,-3.867,0.0
5.89,0.896,0.39,0.4526,2.807,5.395,0.0
2.166,0.7085,0.9595,0.599,5.316,1.652,0.0
0.732,0.2131,0.012085,0.3115,5.547,-14.21,0.0
22.06,0.01865,0.7495,0.0682,1.165,-4.11,0.0
0.732,0.2703,0.5684,0.9756,7.914,-13.26,0.0
0.732,0.06464,0.2245,0.9204,3.225,-2.244,0.0
13.17,0.9194,0.7676,0.2157,0.505,2.201,0.0
1.522,0.4912,0.1981,0.274,8.58,-2.828,0.0
0.3164,0.5215,0.558,0.7173,7.516,-3.553,0.0
16.61,0.829,0.605,0.1166,8.34,-1.1045,0.0
12.84,0.213,0.5405,0.04874,1.609,-10.02,0.0
0.4253,0.765,0.444,0.5376,5.93,-11.805,0.0
0.732,0.5063,0.6543,0.9224,7.504,-11.07,0.0
5.668,0.7173,0.5527,0.2537,1.595,-2.324,0.0
11.96,0.973,0.5923,0.6807,1.547,13.805,0.0
0.3237,0.4717,0.952,0.681,6.152,-8.33,0.0
0.6484,0.733,0.3213,0.816,8.61,-6.574,0.0
23.11,0.6714,0.744,0.1252,4.914,8.414,0.0
4.254,0.275,0.5967,0.938,5.0,6.484,0.0
0.5117,0.3403,0.702,0.936,8.19,-1.542,0.0
6.047,0.2732,0.2444,0.0779,9.87,-14.19,0.0
0.732,0.03583,0.699,0.691,2.074,-4.44,0.0
4.81,0.488,0.2078,0.7085,5.734,6.59,0.0
17.6,0.4968,0.4045,0.2045,0.2861,11.305,0.0
0.3342,0.7188,0.61,0.537,2.557,-14.15,0.0
0.6904,0.224,0.873,0.7646,5.566,-7.09,0.0
0.732,0.339,0.18,0.6875,4.723,-4.156,0.0
9.77,0.9253,0.4236,0.1604,0.4636,-4.34,0.0
17.97,0.8057,0.4263,0.1783,1.572,8.24,0.0
1.703,0.8623,0.259,0.2286,7.78,-8.82,0.0
0.732,0.9966,0.0642,0.88,7.934,-10.555,0.0
0.732,0.9834,0.1471,0.6616,6.504,-9.18,0.0
10.75,0.4207,0.9478,0.8516,1.263,13.47,0.0
10.11,0.433,0.8706,0.934,2.682,12.836,0.0
10.73,0.7627,0.1523,0.4756,1.864,11.36,0.0
6.8,0.2659,0.636,0.5693,3.176,8.766,0.0
4.453,0.722,0.1407,0.3992,5.082,3.629,0.0
5.625,0.5566,0.1936,0.1069,5.55,-11.695,0.0
2.047,0.1226,0.813,0.8784,2.352,3.998,0.0
1.688,0.6797,0.1411,0.7964,1.259,3.012,0.0
-0.03467,0.4192,0.3132,0.405,3.049,-2.541,1.0
3.46,0.84,0.3877,0.807,3.633,5.11,2.0
1.619,0.6777,0.6587,0.719,4.37,2.783,3.0
0.2014,0.5645,0.574,0.6597,4.03,-3.152,4.0
0.732,0.5146,0.2286,0.4797,0.945,-7.68,5.0
0.5645,0.3557,0.612,0.6045,7.19,-7.227,6.0
2.047,0.191,0.184,0.2098,5.8,-3.916,7.0
4.727,0.664,0.1711,0.55,2.697,5.65,8.0
0.732,0.3298,0.568,0.7397,5.74,-10.05,9.0
0.614,0.798,0.528,0.813,1.847,-11.98,10.0
0.732,0.582,0.3345,0.6567,3.129,-9.02,11.0
4.742,0.3447,0.4753,0.3037,8.4,2.68,1.0
0.11786,0.8027,0.527,0.892,3.432,-0.2097,2.0
6.48,0.811,0.2903,0.936,2.555,8.66,3.0
0.3281,0.4004,0.6934,0.6494,7.734,-4.047,4.0
0.732,0.7964,0.094,0.9907,3.055,-8.87,5.0
0.732,0.4,0.2827,0.4856,6.64,-9.0,6.0
0.3196,0.4917,0.874,0.747,1.013,-5.29,7.0
0.732,0.6387,0.2275,0.7495,3.629,-7.242,8.0
0.4802,0.584,0.4004,0.6875,4.047,-5.31,9.0
0.732,0.995,0.3696,0.806,2.8,-14.945,10.0
0.7173,0.433,0.3132,0.4854,3.025,-7.73,11.0
3.012,0.693,0.429,0.696,7.785,4.44,1.0
0.732,0.585,0.0737,0.554,6.312,-6.156,2.0
0.1093,0.7773,0.1908,0.7666,6.625,0.945,3.0
0.1001,0.1332,0.9062,0.4219,1.967,-0.7866,4.0
0.02582,0.5615,0.4817,0.6978,5.195,-0.106,5.0
0.643,0.544,0.3113,0.639,2.791,-6.258,6.0
0.732,0.2102,0.6445,0.5522,8.29,-13.52,7.0
0.1566,0.539,0.578,0.642,4.707,-1.965,8.0
0.3345,0.3557,0.809,0.3533,1.827,-4.9,9.0
0.1832,0.4963,0.337,0.5684,2.82,-2.566,10.0
0.732,0.04926,0.3213,0.523,2.93,-12.03,11.0
0.732,0.2146,0.01444,0.9688,6.92,-7.973,1.0
10.44,0.3574,0.2913,0.7427,2.588,12.984,2.0
2.547,0.662,0.417,0.5444,4.8,3.186,3.0
0.732,0.3845,0.406,0.728,4.92,-12.305,4.0
0.3657,0.522,0.4763,0.577,2.75,-5.977,5.0
0.732,0.4316,0.3594,0.7065,5.062,-8.52,6.0
0.072,0.3774,0.2922,0.7905,5.89,0.3127,7.0
0.3945,0.336,0.637,0.4395,7.797,-7.445,8.0
0.4128,0.3591,0.5293,0.51,4.64,-5.43,9.0
0.732,0.4062,0.3484,0.7974,7.027,-5.71,10.0
0.732,0.1217,0.891,0.561,5.523,-7.625,11.0
0.732,0.4448,0.2817,0.8813,0.08405,-10.88,1.0
0.732,0.2415,0.3071,0.863,0.871,-6.09,2.0
9.38,0.9106,0.4421,0.2551,7.68,2.684,3.0
0.06616,0.343,0.5625,0.662,4.004,0.9927,4.0
0.679,0.08716,0.5356,0.9927,8.35,2.154,5.0
0.732,0.4446,0.3782,0.802,2.332,-7.492,6.0
0.2062,0.7275,0.0965,0.9263,6.14,0.904,7.0
0.6147,0.5303,0.359,0.5776,1.0205,1.362,8.0
0.651,0.4075,0.3926,0.7627,3.52,-4.594,9.0
0.732,0.3762,0.5405,0.746,3.889,-8.03,10.0
1.063,0.6465,0.3933,0.486,5.812,0.8354,11.0
0.3987,0.89,0.52,0.4082,7.617,-9.65,1.0
0.352,0.858,0.599,0.749,0.649,-9.51,2.0
0.732,0.962,0.02827,0.4028,4.812,-13.51,3.0
0.732,0.1484,0.683,0.8296,1.094,-12.78,4.0
0.732,0.3684,0.4282,0.908,4.836,-6.36,5.0
0.6255,0.665,0.459,0.6997,4.348,-10.91,6.0
0.1853,0.3398,0.984,0.697,7.707,0.8813,7.0
0.5815,0.4556,0.526,0.711,5.797,-6.8,8.0
0.418,0.672,0.577,0.7026,5.2,-8.69,9.0
0.375,0.5337,0.602,0.6406,5.82,-6.777,10.0
0.2979,0.628,0.6304,0.6304,5.586,-7.53,11.0
0.503,0.3525,0.8604,0.815,8.83,-5.1,1.0
0.732,0.3665,0.3289,0.829,8.02,-11.06,2.0
0.7627,0.6714,0.567,0.5703,6.83,0.5073,3.0
0.732,0.03848,0.732,0.963,5.02,-12.73,4.0
0.2024,0.696,0.6514,0.7744,1.779,0.78,5.0
0.671,0.3455,0.828,0.888,3.225,-7.34,6.0
0.484,0.5605,0.732,0.8643,4.395,-6.54,7.0
0.679,0.2048,0.9863,0.9673,6.004,-3.965,8.0
0.732,0.2168,0.7637,0.868,5.6,-7.305,9.0
0.1522,0.6294,0.8335,0.865,3.975,0.9395,10.0
0.286,0.9854,0.3726,0.4578,4.88,-12.97,11.0
3.447,0.6265,0.167,0.867,4.184,5.215,1.0
7.293,0.05292,0.2532,0.385,9.58,9.33,2.0
9.51,0.8486,0.4773,0.7163,7.17,11.46,3.0
0.5776,0.2262,0.3347,0.4678,8.08,1.33,4.0
2.508,0.872,0.2428,0.5723,8.336,3.062,5.0
0.3582,0.712,0.8857,0.7285,8.375,-5.742,6.0
0.2385,0.5557,0.682,0.622,8.04,-3.16,7.0
0.611,0.881,0.4268,0.692,4.094,-13.75,8.0
0.642,0.7783,0.3591,0.7085,7.902,-10.125,9.0
0.3735,0.4004,0.5815,0.4407,6.97,-8.07,10.0
0.5444,0.2803,0.3496,0.746,4.55,1.948,11.0
0.1178,0.3486,0.6484,0.3894,4.47,-3.451,1.0
0.9834,0.2927,0.502,0.5947,5.75,2.273,2.0
0.732,0.5874,0.2502,0.4543,1.813,-13.04,3.0
0.525,0.7373,0.491,0.763,8.54,-8.945,4.0
0.732,0.4011,0.3438,0.375,3.75,-10.91,5.0
0.6855,0.951,0.2311,0.7954,1.662,-7.363,6.0
10.516,0.4194,0.835,0.9473,5.59,13.3,7.0
1.188,0.373,0.6807,0.684,5.19,2.617,8.0
0.732,0.0882,0.1146,0.5835,8.27,-7.645,9.0
0.279,0.02866,0.531,0.2164,7.625,-6.656,10.0
0.305,0.973,0.11816,0.4326,5.594,-5.98,11.0
0.732,0.01949,0.6865,0.983,0.7515,-7.67,1.0
0.6357,0.5044,0.476,0.876,1.374,2.162,2.0
