like1,parKperc,parKb,parKe,parCqq,parBias,chain
70.06,0.708,0.563,0.2834,5.746,-11.65,0.0
35.94,0.3743,0.7056,0.5303,7.29,5.605,0.0
10000.0,0.652,0.356,0.01511,1.664,14.875,0.0
31.66,0.2588,0.3462,0.563,6.305,9.055,0.0
13.695,0.1619,0.357,0.7812,1.5,6.688,0.0
10000.0,0.375,0.885,0.1377,6.84,0.1871,0.0
10000.0,0.5757,0.8154,0.2085,3.713,-1.995,0.0
30.58,0.802,0.332,0.5137,7.94,-4.72,0.0
10000.0,0.1438,0.561,0.266,9.125,-12.78,0.0
47.28,0.6997,0.3337,0.4155,0.9937,-2.29,0.0
99.3,0.8154,0.1376,0.2917,0.9526,10.266,0.0
7.0,0.667,0.5845,0.9775,7.73,-6.26,0.0
75.0,0.8677,0.805,0.3477,6.113,-4.812,0.0
4.95,0.0342,0.7407,0.819,0.6836,3.416,0.0
10000.0,0.943,0.773,0.09216,9.82,1.76,0.0
19.83,0.51,0.1434,0.6675,6.86,4.473,0.0
47.9,0.7505,0.1259,0.343,8.59,-9.53,0.0
20.36,0.809,0.576,0.607,2.348,-13.47,0.0
64.9,0.01973,0.1714,0.4758,6.2,-10.08,0.0
10000.0,0.1667,0.4,0.2087,8.53,-14.64,0.0
18.6,0.725,0.5454,0.678,7.695,-3.5,0.0
79.94,0.598,0.793,0.3357,4.746,3.521,0.0
21.48,0.7627,0.4365,0.5435,6.156,-11.88,0.0
10000.0,0.7173,0.9536,0.1175,9.11,1.039,0.0
94.3,0.635,0.4258,0.1938,4.79,-12.945,0.0
90.94,0.6562,0.1017,0.279,1.494,5.96,0.0
18.12,0.2119,0.716,0.8843,9.66,9.375,0.0
16.48,0.7114,0.4644,0.598,1.827,-11.41,0.0
37.88,0.857,0.4792,0.5703,1.69,2.314,0.0
24.03,0.6196,0.398,0.9243,7.98,10.8,0.0
34.25,0.677,0.5005,0.546,2.06,1.15,0.0
20.48,0.00927,0.7104,0.757,7.344,12.05,0.0
10000.0,0.3354,0.716,0.05887,2.88,6.207,0.0
8.87,0.3772,0.589,0.7314,5.996,-1.987,0.0
0.04,0.168,0.2754,0.7935,3.254,-3.963,0.0
26.83,0.22,0.9214,0.505,5.52,-8.22,0.0
28.5,0.8564,0.4119,0.77,6.707,7.797,0.0
0.2566,0.3193,0.05276,0.967,0.881,-3.354,0.0
34.47,0.3428,0.9004,0.4712,6.67,-7.26,0.0
1.098,0.2593,0.10364,0.965,6.09,0.4666,0.0
87.94,0.2769,0.6436,0.317,3.512,8.99,0.0
14.0,0.754,0.8936,0.9946,2.246,-0.6772,0.0
5.926,0.04926,0.809,0.681,4.438,3.178,0.0
10000.0,0.4194,0.0509,0.074,5.2,5.105,0.0
56.16,0.757,0.522,0.3462,2.9,-10.21,0.0
10000.0,0.1095,0.2712,0.02786,7.152,5.4,0.0
79.5,0.81,0.3228,0.3523,4.066,6.562,0.0
