like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.04843,0.1276,0.2634,0.698,0.603,-0.2067,0.0
-0.001201,0.8086,0.2146,0.311,0.7354,-0.336,0.0
0.02948,0.1216,0.655,0.921,0.8174,-0.3667,0.0
0.1244,0.632,0.757,0.618,0.4827,0.4048,0.0
0.3938,0.919,0.994,0.8604,0.508,-0.411,0.0
0.05096,0.7627,0.4067,0.6104,0.4263,-0.257,0.0
0.1854,0.02968,0.2673,0.2512,0.1401,0.3108,0.0
0.0514,0.4758,0.3757,0.4934,0.2169,-0.0624,0.0
0.01215,0.1943,0.6665,0.556,0.7866,-0.1498,0.0
0.1926,0.7515,0.8164,0.5913,0.4458,-0.2954,0.0
-0.0695,0.0575,0.4312,0.596,0.5024,-0.4714,0.0
0.1781,0.3486,0.0605,0.427,0.652,0.1266,0.0
-0.001029,0.952,0.1392,0.4998,0.872,0.04575,0.0
-1.63e-05,0.1648,0.824,0.6016,0.285,-0.1356,0.0
0.02545,0.4607,0.1744,0.9287,0.817,-0.2136,0.0
0.0726,0.6973,0.4727,0.664,0.553,-0.2668,0.0
0.1144,0.867,0.5537,0.468,0.701,-0.4277,0.0
-0.01186,0.9106,0.1898,0.4377,0.496,-0.2979,0.0
0.06247,0.1343,0.184,0.7207,0.9917,-0.4634,0.0
0.1514,0.1053,0.0739,0.3208,0.726,-0.3499,0.0
0.0815,0.9077,0.4873,0.7544,0.9644,0.0199,0.0
0.1641,0.7314,0.758,0.3728,0.726,-0.1387,0.0
0.04175,0.517,0.32,0.3787,0.9517,0.03702,0.0
0.0848,0.488,0.9683,0.962,0.6523,-0.0986,0.0
0.10846,0.5557,0.854,0.367,0.4517,0.359,0.0
0.1793,0.7344,0.8086,0.2942,0.514,0.0687,0.0
0.0792,0.6895,0.498,0.3472,0.7793,-0.129,0.0
0.2634,0.9893,0.7637,0.359,0.7607,-0.1998,0.0
0.02739,0.3474,0.807,0.3987,0.793,0.2024,0.0
0.08575,0.9233,0.07776,0.2961,0.8594,0.1219,0.0
0.01799,0.8257,0.321,0.519,0.1484,0.05975,0.0
-0.002892,0.8223,0.2092,0.3862,0.526,-0.4612,0.0
0.02061,0.2107,0.32,0.8057,0.2812,0.2947,0.0
0.11554,0.172,0.1001,0.8574,0.7944,0.3125,0.0
0.06445,0.2812,0.11237,0.3728,0.986,0.2346,0.0
0.00965,0.0963,0.4895,0.872,0.684,0.4314,0.0
0.0777,0.4106,0.0981,0.4275,0.3296,-0.2378,0.0
0.0554,0.9785,0.4358,0.563,0.8228,0.2783,0.0
0.2006,0.9727,0.046,0.4502,0.6245,-0.01381,0.0
-0.0583,0.05115,0.7393,0.562,0.5435,-0.4707,0.0
0.3022,0.7676,0.02773,0.2007,0.6963,-0.4526,0.0
0.07,0.5415,0.4895,0.3274,0.1079,-0.1774,0.0
0.05225,0.3958,0.6675,0.2603,0.7876,-0.2451,0.0
0.022,0.315,0.186,0.5073,0.982,0.163,0.0
0.0151,0.1942,0.6333,0.413,0.8945,0.1848,0.0
0.0071,0.2676,0.795,0.922,0.8594,-0.07806,0.0
0.195,0.991,0.662,0.819,0.592,-0.2445,0.0
0.1515,0.7393,0.7173,0.3403,0.1927,0.0891,0.0
0.002579,0.992,0.1294,0.3855,0.2632,0.0817,0.0
0.04752,0.3708,0.411,0.6694,0.4377,-0.0002596,0.0
-0.03073,0.0458,0.1089,0.989,0.6807,0.2607,0.0
0.05298,0.4246,0.8184,0.4993,0.538,0.314,0.0
