like1,parKperc,parKb,parKe,parCqq,parBias,chain
5.01,0.589,0.4463,0.4778,0.1343,0.2308,0.0
1.237,0.1515,0.6514,0.227,0.3381,0.4746,0.0
0.3203,0.7515,0.04636,0.628,0.6313,-0.2715,0.0
2.629,0.9287,0.2202,0.4485,0.864,0.2937,0.0
6.848,0.6504,0.6147,0.512,0.955,0.1752,0.0
5.066,0.8037,0.3848,0.228,0.888,0.0971,0.0
3.44,0.05542,0.835,0.6245,0.976,0.2079,0.0
0.593,0.6567,0.015114,0.7344,0.1401,-0.3025,0.0
8.336,0.8813,0.676,0.812,0.3423,0.2499,0.0
9.73,0.881,0.9185,0.2238,0.7075,0.234,0.0
3.197,0.3003,0.5576,0.7627,0.1903,-0.0739,0.0
0.454,0.3474,0.03693,0.4011,0.7886,0.4092,0.0
0.4482,0.1401,0.279,0.527,0.995,-0.1838,0.0
7.965,0.788,0.6504,0.2764,0.437,-0.09717,0.0
2.195,0.2805,0.3933,0.6924,0.1282,-0.3433,0.0
3.594,0.3354,0.548,0.924,0.512,0.02052,0.0
0.3184,0.0962,0.3208,0.2009,0.6274,-0.4404,0.0
2.744,0.6636,0.2446,0.6494,0.365,-0.4792,0.0
9.58,0.87,0.9004,0.7134,0.4229,0.2534,0.0
2.219,0.2241,0.5947,0.4243,0.4827,0.3098,0.0
8.234,0.8066,0.71,0.2482,0.1041,0.3665,0.0
5.082,0.04102,0.4614,0.2754,0.927,0.3564,0.0
1.496,0.1545,0.9165,0.566,0.1168,0.2416,0.0
2.502,0.517,0.2588,0.844,0.3416,-0.11597,0.0
6.04,0.7915,0.4636,0.7026,0.718,0.12225,0.0
0.7363,0.9346,0.10443,0.4993,0.4558,-0.2401,0.0
4.6,0.04327,0.3635,0.3408,0.8447,-0.04056,0.0
0.6587,0.10254,0.757,0.2026,0.7656,-0.12054,0.0
5.27,0.5205,0.5234,0.4893,0.1649,0.1732,0.0
3.088,0.404,0.3657,0.8115,0.5425,-0.1682,0.0
1.024,0.3796,0.1782,0.96,0.2742,0.2854,0.0
8.125,0.007145,0.2333,0.5337,0.804,-0.0978,0.0
10.25,0.8433,0.9824,0.42,0.1309,-0.1292,0.0
1.082,0.2117,0.3137,0.6924,0.1632,0.01767,0.0
0.611,0.635,0.1042,0.3247,0.806,0.3323,0.0
1.041,0.1274,0.87,0.563,0.5693,0.177,0.0
4.223,0.659,0.3486,0.3853,0.992,-0.2208,0.0
0.71,0.1036,0.847,0.377,0.1035,-0.4863,0.0
0.5205,0.08704,0.7324,0.2124,0.3193,0.1453,0.0
2.479,0.785,0.2194,0.3076,0.5005,0.237,0.0
1.009,0.4587,0.157,0.6357,0.4993,0.2913,0.0
3.445,0.5063,0.339,0.273,0.437,-0.021,0.0
4.098,0.8853,0.3054,0.567,0.7295,-0.4634,0.0
8.32,0.854,0.6357,0.9644,0.6333,-0.407,0.0
6.18,0.851,0.4534,0.696,0.674,-0.324,0.0
