like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.2028,0.4846,0.7827,0.73,0.9404,-0.4417,0.0
0.276,0.2461,0.7544,0.834,0.3015,0.3003,0.0
0.2487,0.8696,0.2612,0.945,0.3914,-0.3594,0.0
0.2715,0.805,0.8154,0.3103,0.3276,-0.4094,0.0
0.2334,0.797,0.351,0.4514,0.3594,-0.2996,0.0
0.2898,0.1646,0.858,0.3188,0.4805,-0.293,0.0
0.3,0.222,0.1329,0.6626,0.2695,0.4255,0.0
0.2532,0.646,0.408,0.2115,0.12244,-0.287,0.0
0.2568,0.2534,0.8433,0.6787,0.10406,-0.0665,0.0
0.4475,0.2249,0.03394,0.945,0.966,0.0597,0.0
0.2356,0.279,0.9097,0.3447,0.1486,0.1802,0.0
0.3467,0.4197,0.0662,0.828,0.711,0.4036,0.0
0.3594,0.069,0.7646,0.4177,0.3408,-0.26,0.0
0.191,0.8325,0.527,0.9,0.4875,0.3328,0.0
0.308,0.214,0.6245,0.4426,0.951,-0.3694,0.0
0.2037,0.8306,0.6436,0.833,0.7056,0.3926,0.0
0.2976,0.947,0.1257,0.5176,0.968,0.2593,0.0
0.2266,0.5044,0.638,0.2418,0.8525,0.3203,0.0
0.1896,0.521,0.9097,0.654,0.2358,0.1483,0.0
0.268,0.933,0.1887,0.887,0.67,0.4822,0.0
0.4028,0.8843,0.9043,0.959,0.8857,0.1254,0.0
0.322,0.3474,0.2418,0.616,0.2122,0.151,0.0
0.4827,0.5967,0.03128,0.7563,0.363,-0.0698,0.0
0.3052,0.10547,0.1058,0.3088,0.692,0.3645,0.0
0.2267,0.3135,0.8853,0.9673,0.639,-0.1699,0.0
0.2654,0.3982,0.604,0.856,0.244,0.483,0.0
0.3367,0.07996,0.181,0.3804,0.3542,-0.3677,0.0
0.3184,0.341,0.1937,0.4146,0.687,-0.1041,0.0
0.1841,0.4338,0.9976,0.823,0.5586,0.11053,0.0
0.4446,0.9536,0.872,0.4324,0.9854,0.01662,0.0
0.2522,0.7417,0.85,0.6045,0.5312,-0.3037,0.0
0.2037,0.6235,0.8364,0.4143,0.246,-0.2878,0.0
0.4648,0.816,0.03265,0.6445,0.209,-0.0548,0.0
0.2852,0.04327,0.6567,0.89,0.1981,0.2983,0.0
0.3765,0.8506,0.912,0.92,0.5005,-0.04636,0.0
0.3394,0.561,0.0852,0.8857,0.837,-0.1945,0.0
0.3875,0.375,0.04593,0.35,0.876,-0.407,0.0
0.298,0.4744,0.4065,0.5005,0.283,0.4124,0.0
0.3167,0.1139,0.795,0.876,0.626,0.2452,0.0
0.2291,0.04984,0.547,0.2988,0.9873,0.07324,0.0
0.2494,0.02946,0.2134,0.946,0.696,0.1731,0.0
0.342,0.663,0.07904,0.343,0.169,-0.003078,0.0
0.328,0.4077,0.0988,0.3064,0.4565,0.2269,0.0
0.239,0.2448,0.971,0.2751,0.4768,0.1709,0.0
0.3198,0.1439,0.3726,0.5444,0.4658,-0.3494,0.0
0.3154,0.315,0.4744,0.49,0.641,-0.2404,0.0
0.2957,0.6377,0.2595,0.554,0.5044,0.2201,0.0
0.228,0.611,0.5244,0.5083,0.2284,0.01569,0.0
0.304,0.3574,0.4993,0.3262,0.8853,-0.428,0.0
0.3235,0.1621,0.4277,0.9233,0.1072,-0.314,0.0
0.2632,0.794,0.261,0.815,0.8433,0.452,0.0
0.3245,0.1848,0.4402,0.3906,0.2744,-0.4653,0.0
0.247,0.903,0.251,0.674,0.4468,0.2515,0.0
0.3145,0.1305,0.7515,0.694,0.779,0.3438,0.0
0.3003,0.4365,0.435,0.5894,0.396,0.07965,0.0
0.5454,0.99,0.91,0.971,0.551,0.2563,0.0
0.62,0.954,0.9873,0.7993,0.8843,0.1306,0.0
0.204,0.4885,0.7603,0.9233,0.5513,0.1469,0.0
0.2576,0.3892,0.648,0.4963,0.614,-0.3098,0.0
0.2023,0.6675,0.595,0.621,0.10144,0.1649,0.0
0.2065,0.4883,0.754,0.4604,0.4104,-0.1025,0.0
0.3103,0.1847,0.6504,0.6885,0.348,0.468,0.0
0.3179,0.3538,0.1609,0.576,0.796,-0.3152,0.0
0.214,0.7563,0.74,0.6646,0.83,0.4421,0.0
0.2686,0.7817,0.8433,0.4724,0.299,0.1686,0.0
0.2778,0.842,0.797,0.9155,0.8633,0.05426,0.0
