like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
19.1,0.831,0.3079,0.6367,0.9995,-0.4888,176.6,1484.0,0.0
38.97,0.7856,0.369,0.4724,0.999,0.4155,1361.0,1549.0,0.0
6.17,0.541,0.231,0.811,0.9995,0.647,692.5,414.5,0.0
10000.0,0.287,0.5254,0.09393,0.9995,0.2479,303.0,1591.0,0.0
16.92,0.4297,0.1256,0.577,1.0,0.625,714.0,1539.0,0.0
16.5,0.645,0.885,0.7607,0.9995,0.8203,1185.0,998.0,0.0
81.5,0.775,0.4595,0.2825,0.9995,-0.483,1789.0,178.5,0.0
75.3,0.768,0.6055,0.3132,1.0,-0.2301,287.0,377.0,0.0
10000.0,0.907,0.1359,0.07477,0.9995,-0.2256,573.5,1243.0,0.0
60.72,0.885,0.65,0.3965,0.999,0.06006,426.5,1376.0,0.0
2.012,0.318,0.6743,0.9546,0.999,0.3633,815.0,1661.0,0.0
6.12,0.8228,0.2944,0.906,0.9995,0.4048,801.0,458.0,0.0
6.57,0.2856,0.2339,0.647,0.9995,-0.786,648.5,964.5,0.0
12.18,0.9736,0.1838,0.785,1.0,0.6685,196.6,1025.0,0.0
7.5,0.9414,0.683,0.982,1.0,-0.3098,523.5,1401.0,0.0
6.59,0.5107,0.502,0.826,1.0,0.552,730.5,1587.0,0.0
10000.0,0.9263,0.4287,0.10394,1.0,0.5913,1146.0,1323.0,0.0
10000.0,0.3894,0.2644,0.195,0.9995,-0.0837,440.0,1121.0,0.0
10000.0,0.842,0.8623,0.2227,0.999,-0.2712,1499.0,709.5,0.0
38.94,0.4573,0.5146,0.4207,0.999,-0.3057,1275.0,233.2,0.0
23.06,0.3835,0.931,0.544,0.9995,-0.169,1851.0,1804.0,0.0
20.44,0.4697,0.425,0.5605,0.9995,0.593,568.0,265.5,0.0
3.814,0.755,0.12225,0.9604,0.999,0.3682,1280.0,50.9,0.0
5.96,0.2253,0.568,0.656,0.999,-0.5376,1639.0,1265.0,0.0
10000.0,0.762,0.1077,0.11346,0.9995,-0.489,551.5,470.5,0.0
26.72,0.6406,0.9824,0.629,1.0,-0.764,1019.5,1314.0,0.0
3.787,0.11194,0.12494,0.651,0.999,0.4512,156.5,838.0,0.0
10000.0,0.3586,0.8877,0.1981,1.0,-0.995,161.5,471.5,0.0
45.16,0.201,0.8096,0.3584,0.9995,-0.4563,1645.0,1435.0,0.0
10000.0,0.6504,0.3943,0.1766,1.0,0.5864,1323.0,301.5,0.0
19.72,0.8413,0.2339,0.6304,0.9995,0.03818,1027.0,1130.0,0.0
15.48,0.502,0.9316,0.702,0.9995,-0.7837,621.5,1592.0,0.0
10000.0,0.2861,0.4365,0.097,1.0,-0.1716,597.5,1234.0,0.0
7.496,0.3887,0.7065,0.792,0.9995,0.932,1231.0,1425.0,0.0
88.9,0.979,0.4426,0.2756,0.999,-0.01668,549.0,486.2,0.0
99.75,0.608,0.781,0.2311,0.9995,-0.459,991.0,540.5,0.0
5.28,0.699,0.1431,0.8516,0.999,-0.04166,418.5,1846.0,0.0
10000.0,0.4624,0.285,0.0744,1.0,-0.0742,1360.0,586.5,0.0
10000.0,0.2756,0.97,0.0426,0.9995,0.131,716.5,1099.0,0.0
10.14,0.3433,0.1488,0.6216,0.999,-0.2352,1182.0,1332.0,0.0
17.48,0.268,0.4695,0.5366,0.9995,0.8325,150.2,1103.0,0.0
1.408,0.1858,0.7163,0.866,0.999,0.2712,1426.0,1908.0,0.0
9.58,0.96,0.1638,0.8223,0.9995,0.2467,1746.0,1998.0,0.0
10000.0,0.2064,0.691,0.1766,0.999,-0.1301,407.5,252.8,0.0
10000.0,0.351,0.721,0.01511,0.9995,-0.7744,448.8,233.8,0.0
67.3,0.05136,0.6997,0.28,0.999,-0.6094,1744.0,1109.0,0.0
77.5,0.508,0.2507,0.2808,0.9995,0.919,252.0,1386.0,0.0
5.25,0.1497,0.3564,0.6284,0.9995,-0.1353,1769.0,1822.0,0.0
24.84,0.4133,0.9644,0.5454,1.0,-0.04065,1754.0,1084.0,0.0
10000.0,0.693,0.4119,0.1914,0.999,0.2793,1701.0,674.5,0.0
53.78,0.7954,0.2152,0.383,0.9995,0.1732,495.5,1066.0,0.0
4.094,0.263,0.2527,0.757,1.0,0.5806,1818.0,1214.0,0.0
10000.0,0.732,0.4885,0.0676,0.9995,-0.9453,1688.0,1036.0,0.0
94.44,0.4612,0.4504,0.2346,1.0,0.6953,30.3,390.2,0.0
5.977,0.927,0.2903,0.9043,0.9995,-0.643,1059.0,1470.0,0.0
63.9,0.687,0.9175,0.374,0.9995,-0.02675,571.5,1945.0,0.0
42.9,0.2937,0.9077,0.39,1.0,0.3743,447.8,1333.0,0.0
10000.0,0.934,0.7017,0.1366,0.9995,0.547,1389.0,289.0,0.0
44.22,0.85,0.8813,0.523,0.999,-0.4858,972.5,1748.0,0.0
10000.0,0.8833,0.1617,0.1672,0.999,0.1881,23.31,1530.0,0.0
0.631,0.02405,0.2512,0.9297,0.9995,-0.4385,1821.0,1242.0,0.0
37.97,0.4001,0.821,0.4355,1.0,0.4365,392.8,1479.0,0.0
10000.0,0.1398,0.4155,0.04892,1.0,-0.9927,1563.0,1197.0,0.0
2.324,0.269,0.693,0.9165,0.9995,0.726,1692.0,1126.0,0.0
40.53,0.7075,0.97,0.5254,1.0,-0.1249,724.0,1347.0,0.0
-0.09155,0.02765,0.9097,0.8643,1.0,0.357,612.0,1086.0,0.0
57.47,0.1166,0.575,0.3088,1.0,-0.7246,82.94,742.0,0.0
2.11,0.2272,0.897,0.9316,0.999,0.702,307.8,1935.0,0.0
25.58,0.4705,0.9565,0.569,1.0,0.4456,1071.0,1184.0,0.0
58.53,0.05014,0.6133,0.2996,0.9995,-0.821,1285.0,71.25,0.0
0.2856,0.0774,0.2083,0.903,0.9995,0.7827,373.8,1944.0,0.0
41.06,0.91,0.4006,0.4824,0.9995,0.2444,730.5,1234.0,0.0
5.434,0.10205,0.4927,0.58,0.999,-0.874,349.8,1366.0,0.0
22.34,0.7373,0.479,0.6187,0.999,0.4153,1732.0,937.0,0.0
89.1,0.4915,0.8735,0.2563,0.999,-0.05316,1850.0,1094.0,0.0
29.11,0.731,0.8438,0.6074,1.0,-0.6,1138.0,1393.0,0.0
7.875,0.3687,0.9785,0.819,0.999,0.7827,670.5,436.5,0.0
10000.0,0.951,0.996,0.1589,1.0,-0.897,174.8,682.5,0.0
9.164,0.06726,0.4163,0.513,0.999,0.0963,952.5,1806.0,0.0
10000.0,0.0608,0.3464,0.02144,1.0,0.507,1542.0,175.5,0.0
18.75,0.786,0.8203,0.765,0.9995,0.937,1698.0,186.0,0.0
10000.0,0.749,0.1747,0.0873,0.9995,-0.638,315.0,911.0,0.0
31.72,0.4922,0.766,0.4897,0.9995,-0.4312,1752.0,207.1,0.0
0.1495,0.2456,0.2898,0.95,0.9995,0.0499,67.1,927.0,0.0
19.12,0.326,0.6484,0.5303,1.0,-0.6255,426.2,1859.0,0.0
16.97,0.8306,0.1865,0.6626,0.9995,0.1943,1363.0,219.2,0.0
18.97,0.4573,0.8457,0.6304,0.9995,0.8267,135.5,1451.0,0.0
10000.0,0.352,0.845,0.02904,0.9995,-0.4043,1563.0,1462.0,0.0
23.02,0.6733,0.561,0.596,0.9995,-0.486,1146.0,672.0,0.0
10000.0,0.3374,0.9697,0.1371,0.999,0.633,1667.0,1864.0,0.0
10000.0,0.285,0.8384,0.1814,0.9995,-0.6353,1673.0,601.5,0.0
10000.0,0.595,0.744,0.07,1.0,0.3604,1787.0,783.0,0.0
19.1,0.9272,0.5186,0.7207,1.0,0.3445,128.8,1541.0,0.0
14.99,0.8066,0.8594,0.8306,0.9995,-0.09204,680.5,649.5,0.0
35.94,0.01547,0.2473,0.3584,0.9995,0.875,1264.0,844.0,0.0
14.03,0.338,0.608,0.5933,0.9995,-0.0843,671.5,707.0,0.0
41.9,0.484,0.564,0.41,0.9995,-0.679,1285.0,1714.0,0.0
14.625,0.96,0.807,0.8706,0.999,-0.2421,1010.5,31.02,0.0
13.9,0.0688,0.7637,0.4773,0.999,0.9,1173.0,203.2,0.0
97.0,0.8477,0.967,0.2842,1.0,0.9824,1273.0,1833.0,0.0
10000.0,0.6567,0.3337,0.1598,0.9995,0.4053,1146.0,1606.0,0.0
70.2,0.1066,0.546,0.2776,0.9995,-0.0605,44.94,726.5,0.0
18.5,0.2224,0.7095,0.506,1.0,0.0004013,622.5,1238.0,0.0
10000.0,0.1213,0.7915,0.1616,0.999,0.4885,1004.5,173.6,0.0
77.5,0.4968,0.631,0.2883,0.9995,0.9375,856.0,767.5,0.0
10000.0,0.03787,0.7104,0.06323,0.9995,0.65,738.5,1055.0,0.0
1.363,0.06476,0.837,0.6665,0.999,0.1824,815.5,330.2,0.0
10000.0,0.5737,0.694,0.10394,0.9995,-0.998,1085.0,970.5,0.0
29.36,0.9507,0.508,0.607,0.999,0.661,1260.0,437.2,0.0
34.9,0.11066,0.974,0.379,1.0,-0.3757,1842.0,811.0,0.0
10000.0,0.796,0.127,0.07385,0.9995,-0.7534,1225.0,1535.0,0.0
5.68,0.5547,0.3271,0.816,1.0,0.01263,1508.0,129.5,0.0
-0.1567,0.1392,0.4187,0.907,0.999,-0.642,1264.0,96.25,0.0
29.98,0.6367,0.4653,0.513,0.9995,0.1417,1346.0,871.5,0.0
20.58,0.528,0.4478,0.559,0.9995,-0.7017,219.6,562.0,0.0
27.08,0.0965,0.515,0.4019,1.0,-0.7847,38.38,40.72,0.0
1.652,0.187,0.9854,0.916,1.0,0.3433,1527.0,625.5,0.0
52.44,0.465,0.8164,0.3713,0.9995,-0.8037,871.5,737.0,0.0
6.484,0.3792,0.4858,0.724,1.0,-0.724,1725.0,985.0,0.0
10000.0,0.2607,0.1113,0.2004,0.9995,0.4539,1550.0,1032.0,0.0
0.3474,0.162,0.4788,0.8247,0.9995,-0.6567,1297.0,1079.0,0.0
0.049,0.02466,0.8696,0.7417,0.9995,-0.4683,573.0,742.0,0.0
20.73,0.4302,0.964,0.5933,0.9995,-0.819,208.9,1215.0,0.0
8.44,0.582,0.8843,0.884,0.9995,-0.6265,63.16,361.8,0.0
36.97,0.5264,0.5557,0.4429,0.9995,-0.6953,762.5,1065.0,0.0
37.84,0.614,0.3696,0.4539,0.999,0.752,1605.0,1439.0,0.0
42.34,0.3347,0.528,0.388,0.999,-0.03995,1646.0,229.9,0.0
13.55,0.2479,0.1022,0.534,0.999,-0.904,75.75,693.0,0.0
9.27,0.5103,0.9814,0.868,0.9995,0.7573,620.5,1268.0,0.0
7.34,0.4949,0.195,0.7036,1.0,-0.944,1513.0,141.6,0.0
10000.0,0.862,0.5796,0.04095,0.9995,0.1732,140.2,1560.0,0.0
10000.0,0.695,0.939,0.034,0.9995,0.643,211.2,472.5,0.0
10000.0,0.811,0.1577,0.11053,0.9995,-0.505,1722.0,1085.0,0.0
22.03,0.841,0.4788,0.6416,0.9995,-0.1598,1783.0,807.5,0.0
7.402,0.3364,0.663,0.737,1.0,0.3953,1326.0,982.5,0.0
10000.0,0.05185,0.186,0.1927,0.9995,0.667,236.4,473.5,0.0
47.28,0.8994,0.685,0.4841,0.999,0.4617,1301.0,439.5,0.0
10000.0,0.58,0.3276,0.11096,1.0,0.514,472.0,1763.0,0.0
12.37,0.4702,0.991,0.7656,1.0,0.1606,587.5,1940.0,0.0
4.9,0.763,0.3218,0.937,1.0,0.405,1079.0,1233.0,0.0
19.34,0.9507,0.7075,0.7593,0.9995,-0.8755,603.5,596.5,0.0
10000.0,0.947,0.1272,0.01082,1.0,-0.2462,663.0,18.1,0.0
60.03,0.614,0.549,0.3464,0.9995,-0.8867,19.64,1019.0,0.0
55.8,0.8955,0.1338,0.3726,0.9995,-0.902,1472.0,1251.0,0.0
26.44,0.08307,0.10425,0.4028,0.9995,0.605,15.82,888.5,0.0
30.2,0.9907,0.9746,0.728,0.9995,0.626,787.0,1770.0,0.0
10000.0,0.2444,0.659,0.1089,0.9995,-0.5586,1803.0,28.86,0.0
