Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
08269000,0.993,0.851,0.786,0.289,0.35,0.15,0.05,0.241
01638480,0.12,1.0,0.56,0.243,0.35,0.15,0.05,0.241
13313000,0.709,0.911,0.128,0.103,0.35,0.15,0.05,0.24
02092500,0.344,0.931,0.648,0.116,0.35,0.15,0.05,0.234
10259200,0.269,0.686,0.95,0.107,0.35,0.15,0.05,0.232
09352900,0.993,0.036,0.596,0.945,0.35,0.15,0.05,0.231
02314500,0.011,0.805,0.31,0.101,0.35,0.15,0.05,0.226
09513780,0.021,0.992,0.422,0.109,0.35,0.15,0.05,0.225
08178880,0.01,0.482,0.672,0.103,0.35,0.15,0.05,0.225
09386900,0.034,0.454,0.48,0.107,0.35,0.15,0.05,0.225
02221525,0.047,0.988,0.615,0.13,0.35,0.15,0.05,0.222
09505350,0.152,0.938,0.916,0.113,0.35,0.15,0.05,0.218
02202600,0.968,0.973,0.847,0.988,0.35,0.15,0.05,0.215
01591400,0.948,0.815,0.821,0.997,0.35,0.15,0.05,0.212
07142300,0.014,0.574,0.068,0.104,0.35,0.15,0.05,0.212
12451000,0.51,0.839,0.648,0.11,0.35,0.15,0.05,0.208
12381400,0.153,0.919,0.26,1.0,0.35,0.15,0.05,0.205
02315500,0.011,0.308,0.491,0.103,0.35,0.15,0.05,0.205
09404450,0.093,0.986,0.762,0.181,0.35,0.15,0.05,0.204
13331500,0.72,0.398,0.55,1.0,0.35,0.15,0.05,0.19
09210500,0.018,0.993,0.201,0.476,0.35,0.15,0.05,0.189
08023080,0.08,0.937,0.706,0.113,0.35,0.15,0.05,0.188
01187300,0.526,0.181,0.875,1.0,0.35,0.15,0.05,0.186
02108000,0.16,0.987,0.971,0.15,0.35,0.15,0.05,0.183
08150800,0.011,0.894,0.116,0.104,0.35,0.15,0.05,0.181
10172700,0.764,0.369,0.381,0.998,0.35,0.15,0.05,0.176
08377900,0.99,0.894,0.137,0.258,0.35,0.15,0.05,0.176
09081600,0.965,0.944,0.272,0.998,0.35,0.15,0.05,0.172
14325000,0.999,0.78,0.764,0.122,0.35,0.15,0.05,0.166
09505800,0.03,1.0,0.758,0.122,0.35,0.15,0.05,0.165
10205030,0.206,0.987,0.39,0.782,0.35,0.15,0.05,0.16
02450250,0.979,0.994,0.946,0.982,0.35,0.15,0.05,0.152
12082500,0.994,0.694,0.584,0.107,0.35,0.15,0.05,0.144
08267500,0.994,0.953,0.188,0.479,0.35,0.15,0.05,0.143
13161500,0.036,0.998,0.466,0.224,0.35,0.15,0.05,0.138
11141280,0.991,0.988,0.92,0.903,0.35,0.15,0.05,0.135
02077200,0.131,0.998,0.2,0.288,0.35,0.15,0.05,0.124
03011800,0.951,0.429,0.433,0.999,0.35,0.15,0.05,0.123
03500240,1.0,0.986,0.737,0.962,0.35,0.15,0.05,0.116
04057800,0.988,0.976,0.176,0.94,0.35,0.15,0.05,0.084
02231000,0.011,0.761,0.632,0.101,0.35,0.15,0.05,0.071
12025000,0.978,0.93,0.943,0.982,0.35,0.15,0.05,0.064
09312600,0.026,0.996,0.589,0.359,0.35,0.15,0.05,0.063
12175500,0.617,0.635,0.329,1.0,0.35,0.15,0.05,0.06
12092000,1.0,0.69,0.731,0.126,0.35,0.15,0.05,0.056
08195000,0.013,0.719,0.7,0.1,0.35,0.15,0.05,0.046
12144000,0.953,0.951,0.9,0.995,0.35,0.15,0.05,0.044
13240000,0.11,0.728,0.28,1.0,0.35,0.15,0.05,0.039
08198500,0.014,0.856,0.557,0.103,0.35,0.15,0.05,0.031
02111180,0.709,0.587,0.317,1.0,0.35,0.15,0.05,-0.013
06622700,0.037,0.428,0.232,0.999,0.35,0.15,0.05,-0.014
08165300,0.011,0.494,0.342,0.101,0.35,0.15,0.05,-0.03
14182500,0.846,0.785,0.641,0.999,0.35,0.15,0.05,-0.034
02011460,0.8,0.865,0.493,0.998,0.35,0.15,0.05,-0.038
05592050,0.81,0.921,0.518,0.998,0.35,0.15,0.05,-0.041
07315700,0.011,0.624,0.49,0.106,0.35,0.15,0.05,-0.042
12374250,0.02,0.906,0.143,1.0,0.35,0.15,0.05,-0.044
02111500,0.993,0.821,0.607,0.997,0.35,0.15,0.05,-0.046
05123400,0.013,0.094,0.949,0.103,0.35,0.15,0.05,-0.047
02055100,0.968,0.72,0.788,0.996,0.35,0.15,0.05,-0.053
06803510,0.172,0.134,0.979,1.0,0.35,0.15,0.05,-0.06
12143600,0.992,0.938,0.346,0.999,0.35,0.15,0.05,-0.061
08164000,0.01,0.519,0.744,0.102,0.35,0.15,0.05,-0.077
01613050,0.902,0.641,0.212,1.0,0.35,0.15,0.05,-0.082
11224500,0.014,0.653,0.61,0.102,0.35,0.15,0.05,-0.085
03144000,0.606,0.767,0.321,1.0,0.35,0.15,0.05,-0.093
11264500,0.999,0.337,0.961,0.111,0.35,0.15,0.05,-0.097
02216180,0.975,0.993,0.613,0.996,0.35,0.15,0.05,-0.098
14236200,0.997,0.967,0.912,0.978,0.35,0.15,0.05,-0.12
12488500,0.962,0.98,0.851,0.992,0.35,0.15,0.05,-0.151
06623800,0.077,0.929,0.194,1.0,0.35,0.15,0.05,-0.156
04197170,0.543,0.691,0.758,1.0,0.35,0.15,0.05,-0.158
09508300,0.999,0.701,0.495,0.201,0.35,0.15,0.05,-0.187
01632900,0.95,0.916,0.787,0.992,0.35,0.15,0.05,-0.192
01350140,0.908,0.994,0.145,1.0,0.35,0.15,0.05,-0.211
06479438,0.014,0.143,0.657,0.102,0.35,0.15,0.05,-0.22
12054000,0.995,0.966,0.836,0.959,0.35,0.15,0.05,-0.227
05120500,0.014,0.086,0.674,0.102,0.35,0.15,0.05,-0.247
06453600,0.828,0.942,0.703,1.0,0.35,0.15,0.05,-0.269
02112360,0.982,0.977,0.81,0.985,0.35,0.15,0.05,-0.274
03165000,0.966,0.955,0.708,0.995,0.35,0.15,0.05,-0.313
02300700,0.998,0.904,0.811,0.857,0.35,0.15,0.05,-0.314
14139800,0.984,0.978,0.649,0.987,0.35,0.15,0.05,-0.327
01123000,0.994,0.885,0.7,0.113,0.35,0.15,0.05,-0.329
02038850,0.998,0.935,0.934,0.94,0.35,0.15,0.05,-0.331
13018300,0.019,0.768,0.982,0.999,0.35,0.15,0.05,-0.335
01547700,0.998,0.925,0.383,0.67,0.35,0.15,0.05,-0.341
07301500,0.012,0.188,0.599,0.102,0.35,0.15,0.05,-0.371
08189500,0.013,0.901,0.846,0.103,0.35,0.15,0.05,-0.394
05593575,0.98,0.745,0.863,0.993,0.35,0.15,0.05,-0.395
07373000,0.997,0.536,0.646,0.114,0.35,0.15,0.05,-0.396
11237500,1.0,0.415,0.702,0.112,0.35,0.15,0.05,-0.4
06353000,0.018,0.03,0.748,0.102,0.35,0.15,0.05,-0.401
05466500,0.997,0.762,0.754,0.16,0.35,0.15,0.05,-0.405
11274500,0.013,0.704,0.388,0.102,0.35,0.15,0.05,-0.406
06847900,0.011,0.28,0.425,0.102,0.35,0.15,0.05,-0.419
01440000,0.997,0.923,0.062,0.158,0.35,0.15,0.05,-0.424
11230500,0.998,0.85,0.096,0.327,0.35,0.15,0.05,-0.427
06464500,0.012,0.247,0.893,0.106,0.35,0.15,0.05,-0.427
08190500,0.013,0.849,0.361,0.102,0.35,0.15,0.05,-0.433
10249300,0.782,0.699,0.957,1.0,0.35,0.15,0.05,-0.475
03159540,0.998,0.636,0.35,0.113,0.35,0.15,0.05,-0.483
05057200,0.013,0.254,0.448,0.1,0.35,0.15,0.05,-0.486
09066200,0.909,0.994,0.425,0.999,0.35,0.15,0.05,-0.498
09047700,0.011,0.583,0.618,0.999,0.35,0.15,0.05,-0.503
09497800,0.012,0.659,0.524,0.101,0.35,0.15,0.05,-0.513
12390700,0.991,0.335,0.045,0.105,0.35,0.15,0.05,-0.553
06350000,0.011,0.146,0.613,0.102,0.35,0.15,0.05,-0.573
02053200,0.951,0.735,0.91,0.996,0.35,0.15,0.05,-0.606
08194200,0.013,0.834,0.671,0.106,0.35,0.15,0.05,-0.728
08086290,0.017,0.102,0.562,0.1,0.35,0.15,0.05,-0.8
06468170,0.014,0.041,0.291,0.103,0.35,0.15,0.05,-1.064
08190000,0.012,0.374,0.635,0.101,0.35,0.15,0.05,-1.099
08086212,0.015,0.38,0.421,0.101,0.35,0.15,0.05,-1.263
09447800,0.016,0.06,0.795,0.105,0.35,0.15,0.05,-1.446
08079600,0.015,0.341,0.482,0.102,0.35,0.15,0.05,-1.666
09480000,0.013,0.762,0.138,0.101,0.35,0.15,0.05,-1.736
06339500,0.013,0.024,0.632,0.105,0.35,0.15,0.05,-2.053
06360500,0.014,0.069,0.526,0.102,0.35,0.15,0.05,-2.678
07226500,0.012,0.166,0.759,0.105,0.35,0.15,0.05,-3.812
06354000,0.018,0.063,0.416,0.104,0.35,0.15,0.05,-4.258
06447000,0.012,0.03,0.521,0.103,0.35,0.15,0.05,-4.4
06452000,0.015,0.08,0.203,0.102,0.35,0.15,0.05,-5.914
09430500,0.014,0.077,0.288,0.1,0.35,0.15,0.05,-6.63
