Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
06853800,0.03,0.764,0.636,0.117,0.35,0.15,0.05,0.63
01552000,0.229,0.746,0.386,0.105,0.35,0.15,0.05,0.629
05057000,0.039,0.526,0.446,0.114,0.35,0.15,0.05,0.628
06406000,0.268,0.562,0.564,0.102,0.35,0.15,0.05,0.626
11253310,0.024,0.19,0.562,0.1,0.35,0.15,0.05,0.626
01078000,0.759,0.888,0.56,0.164,0.35,0.15,0.05,0.625
11162500,0.637,0.818,0.968,0.105,0.35,0.15,0.05,0.625
01550000,0.249,0.711,0.278,0.106,0.35,0.15,0.05,0.624
14158500,0.971,0.894,0.995,0.978,0.35,0.15,0.05,0.624
02296500,0.032,0.992,0.445,0.144,0.35,0.15,0.05,0.624
06289000,0.386,0.82,0.294,0.743,0.35,0.15,0.05,0.622
02310947,0.324,0.964,0.897,0.29,0.35,0.15,0.05,0.621
06447500,0.014,0.873,0.192,0.1,0.35,0.15,0.05,0.621
12186000,0.491,0.939,0.672,0.248,0.35,0.15,0.05,0.621
07145700,0.202,0.763,0.609,0.102,0.35,0.15,0.05,0.618
07180500,0.562,0.99,0.898,0.759,0.35,0.15,0.05,0.616
01139000,0.992,0.916,0.476,0.56,0.35,0.15,0.05,0.615
04296000,0.987,0.875,0.472,0.154,0.35,0.15,0.05,0.615
01013500,0.616,0.801,0.404,0.125,0.35,0.15,0.05,0.615
01181000,0.441,0.834,0.586,0.103,0.35,0.15,0.05,0.613
04057510,0.242,0.676,0.865,0.103,0.35,0.15,0.05,0.613
06888500,0.017,0.905,0.939,0.109,0.35,0.15,0.05,0.612
02177000,0.906,0.601,0.542,1.0,0.35,0.15,0.05,0.611
03456500,0.778,0.941,0.978,0.366,0.35,0.15,0.05,0.61
01144000,0.167,0.861,0.042,0.125,0.35,0.15,0.05,0.608
03180500,0.457,0.833,0.738,0.104,0.35,0.15,0.05,0.607
01439500,0.588,0.847,0.971,0.108,0.35,0.15,0.05,0.604
01532000,0.346,0.724,0.373,0.104,0.35,0.15,0.05,0.603
03504000,0.906,0.991,0.678,0.767,0.35,0.15,0.05,0.6
01057000,0.952,0.889,0.74,0.129,0.35,0.15,0.05,0.599
03500000,0.185,0.992,0.283,0.195,0.35,0.15,0.05,0.597
12141300,0.994,0.875,0.75,0.265,0.35,0.15,0.05,0.596
01544500,0.998,0.829,0.538,0.174,0.35,0.15,0.05,0.596
02137727,0.616,0.971,0.81,0.367,0.35,0.15,0.05,0.594
06043500,0.026,0.958,0.346,0.455,0.35,0.15,0.05,0.594
01169000,0.896,0.877,0.787,0.128,0.35,0.15,0.05,0.594
08202700,0.013,0.835,0.472,0.103,0.35,0.15,0.05,0.592
06803530,0.012,0.987,0.039,0.131,0.35,0.15,0.05,0.592
06910800,0.026,0.998,0.264,0.13,0.35,0.15,0.05,0.592
01548500,0.092,0.717,0.848,0.108,0.35,0.15,0.05,0.592
01539000,0.283,0.8,0.597,0.109,0.35,0.15,0.05,0.587
04224775,0.356,0.651,0.323,0.101,0.35,0.15,0.05,0.585
01030500,0.246,0.83,0.677,0.106,0.35,0.15,0.05,0.584
05495500,0.032,0.999,0.198,0.124,0.35,0.15,0.05,0.584
01054200,0.998,0.932,0.173,0.548,0.35,0.15,0.05,0.584
01545600,0.909,0.845,0.891,0.114,0.35,0.15,0.05,0.577
06911900,0.022,0.998,0.446,0.188,0.35,0.15,0.05,0.573
06470800,0.043,0.018,0.456,0.266,0.35,0.15,0.05,0.572
06814000,0.014,0.852,0.565,0.1,0.35,0.15,0.05,0.571
06878000,0.013,0.926,0.442,0.149,0.35,0.15,0.05,0.57
01170100,0.978,0.898,0.85,0.986,0.35,0.15,0.05,0.57
10396000,0.298,0.628,0.821,0.107,0.35,0.15,0.05,0.57
05501000,0.044,0.934,0.841,0.306,0.35,0.15,0.05,0.569
06889200,0.017,0.962,0.486,0.175,0.35,0.15,0.05,0.569
07315200,0.076,0.998,0.693,0.126,0.35,0.15,0.05,0.568
06885500,0.012,0.68,0.355,0.104,0.35,0.15,0.05,0.568
05508805,0.073,0.992,0.174,0.175,0.35,0.15,0.05,0.566
01365000,0.997,0.828,0.599,0.723,0.35,0.15,0.05,0.566
06601000,0.012,0.524,0.449,0.104,0.35,0.15,0.05,0.565
08104900,0.016,0.996,0.699,0.186,0.35,0.15,0.05,0.564
07151500,0.013,0.302,0.789,0.102,0.35,0.15,0.05,0.564
06892000,0.011,0.743,0.813,0.102,0.35,0.15,0.05,0.563
05584500,0.022,0.946,0.567,0.115,0.35,0.15,0.05,0.562
02231342,0.314,0.998,0.703,0.288,0.35,0.15,0.05,0.559
07066000,0.156,0.997,0.918,0.417,0.35,0.15,0.05,0.559
08164300,0.013,0.907,0.445,0.106,0.35,0.15,0.05,0.559
03164000,0.028,0.909,0.69,0.101,0.35,0.15,0.05,0.558
03015500,0.223,0.813,0.514,0.103,0.35,0.15,0.05,0.555
06921070,0.054,0.992,0.741,0.229,0.35,0.15,0.05,0.554
11451100,0.984,0.856,0.951,0.117,0.35,0.15,0.05,0.554
01543000,0.47,0.861,0.783,0.114,0.35,0.15,0.05,0.552
05503800,0.07,0.981,0.686,0.205,0.35,0.15,0.05,0.552
06889500,0.019,0.892,0.445,0.108,0.35,0.15,0.05,0.551
05507600,0.021,0.967,0.238,0.203,0.35,0.15,0.05,0.55
06921200,0.978,0.998,0.968,0.168,0.35,0.15,0.05,0.55
05585000,0.013,0.785,0.887,0.102,0.35,0.15,0.05,0.549
02298123,0.034,0.992,0.134,0.129,0.35,0.15,0.05,0.547
02369800,0.319,0.949,0.817,0.134,0.35,0.15,0.05,0.546
02028500,0.451,0.941,0.752,0.219,0.35,0.15,0.05,0.546
02152100,0.895,1.0,0.912,0.104,0.35,0.15,0.05,0.544
03182500,0.22,0.86,0.444,0.11,0.35,0.15,0.05,0.542
12115000,0.958,0.802,0.805,0.994,0.35,0.15,0.05,0.542
07067000,0.057,0.982,0.205,0.128,0.35,0.15,0.05,0.542
