like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
71.75,0.1412,0.4768,0.3032,0.999,-0.165,1082.0,303.8,0.0
21.67,0.74,0.726,0.789,0.999,-0.0867,1267.0,877.5,0.0
59.06,0.405,0.6973,0.4082,1.0,0.3118,375.2,49.6,0.0
0.892,0.02348,0.2913,0.4429,0.9995,-0.795,821.0,1379.0,0.0
27.81,0.7607,0.5303,0.651,1.0,-0.1895,918.0,1316.0,0.0
51.75,0.2817,0.4202,0.372,1.0,-0.521,1628.0,1827.0,0.0
34.3,0.4534,0.9634,0.591,1.0,0.7505,196.9,772.5,0.0
83.94,0.3223,0.6797,0.3342,0.9995,0.751,842.5,1671.0,0.0
10000.0,0.4907,0.7666,0.2264,0.9995,0.705,932.5,343.5,0.0
38.62,0.7334,0.4216,0.5435,0.999,0.7847,794.5,1243.0,0.0
15.9,0.69,0.834,0.906,0.9995,0.5166,1118.0,1352.0,0.0
20.08,0.1672,0.889,0.4734,0.999,-0.851,1041.0,1240.0,0.0
13.45,0.2242,0.3135,0.5176,0.999,-0.4934,585.5,376.8,0.0
18.6,0.1487,0.773,0.4614,0.9995,-0.9707,150.5,356.0,0.0
41.3,0.6396,0.3586,0.4553,0.9995,-0.8193,1499.0,459.8,0.0
53.8,0.953,0.2229,0.4343,0.9995,-0.4797,551.5,920.0,0.0
9.4,0.2101,0.1975,0.6655,1.0,0.5664,1333.0,1335.0,0.0
15.125,0.3494,0.802,0.677,0.9995,-0.7764,663.5,246.2,0.0
64.5,0.3894,0.3596,0.3513,0.9995,-0.7524,1009.5,598.5,0.0
29.92,0.54,0.2299,0.511,0.999,0.4495,1782.0,1561.0,0.0
10000.0,0.2036,0.6816,0.123,1.0,-0.5474,146.1,693.0,0.0
10000.0,0.0641,0.1505,0.0486,0.9995,-0.285,707.0,1190.0,0.0
16.55,0.7705,0.8535,0.918,0.9995,0.3176,226.6,136.9,0.0
8.05,0.396,0.7783,0.9097,0.999,0.3262,594.0,369.2,0.0
10000.0,0.2754,0.647,0.0948,0.999,0.3848,349.0,259.0,0.0
10000.0,0.778,0.3684,0.3079,1.0,0.8296,1442.0,704.5,0.0
5.754,0.9463,0.10016,0.817,0.999,-0.883,962.5,49.72,0.0
43.88,0.988,0.4133,0.5366,0.999,-0.4373,1520.0,853.5,0.0
-0.01557,0.0816,0.2786,0.945,1.0,-0.02824,279.2,207.1,0.0
16.53,0.9663,0.4365,0.8213,0.9995,-0.738,951.5,1281.0,0.0
9.94,0.345,0.2942,0.878,1.0,0.998,1763.0,1799.0,0.0
14.48,0.3142,0.9287,0.701,0.9995,-0.542,966.5,209.1,0.0
10000.0,0.8584,0.8613,0.03967,0.9995,0.517,1870.0,497.2,0.0
10000.0,0.8696,0.5596,0.0619,1.0,0.106,511.8,1227.0,0.0
51.34,0.7524,0.8413,0.5483,0.9995,-0.1027,627.0,319.8,0.0
4.945,0.4036,0.58,0.9204,0.9995,-0.1326,1855.0,1601.0,0.0
7.805,0.3425,0.1284,0.728,0.9995,0.2515,1076.0,620.5,0.0
6.586,0.2878,0.1722,0.8345,0.9995,0.544,621.0,840.0,0.0
30.98,0.6743,0.802,0.6704,0.9995,-0.3372,1492.0,254.9,0.0
52.38,0.968,0.9062,0.6694,0.9995,0.757,1841.0,1317.0,0.0
92.06,0.6445,0.609,0.3477,0.9995,-0.0472,120.5,1680.0,0.0
10000.0,0.0709,0.9346,0.2245,0.999,0.6304,1589.0,1861.0,0.0
