like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.0742,0.0539,0.2852,0.642,0.6904,0.1062,0.0
0.1562,0.174,0.4075,0.716,0.5645,-0.05112,0.0
0.2183,0.738,0.747,0.7773,0.7964,0.1065,0.0
0.1497,0.5015,0.376,0.8003,0.8394,0.3123,0.0
0.1757,0.6577,0.708,0.4001,0.757,0.1506,0.0
0.0812,0.9233,0.2666,0.8604,0.3867,0.1218,0.0
0.1322,0.6323,0.4758,0.4795,0.9126,-0.2559,0.0
0.1251,0.4658,0.778,0.503,0.9663,-0.4792,0.0
0.1399,0.2593,0.0679,0.225,0.4583,0.12225,0.0
0.0655,0.02835,0.6567,0.296,0.4878,0.08374,0.0
0.1238,0.6743,0.439,0.6265,0.2073,-0.02771,0.0
0.1665,0.589,0.7593,0.833,0.9062,-0.3303,0.0
0.2896,0.9536,0.7354,0.6157,0.577,0.3398,0.0
0.1007,0.0776,0.2006,0.62,0.606,-0.4827,0.0
0.154,0.4915,0.0786,0.7783,0.827,-0.2976,0.0
0.1521,0.1481,0.4614,0.5,0.86,-0.485,0.0
0.1362,0.5596,0.4692,0.6865,0.828,-0.1179,0.0
0.07794,0.0546,0.8794,0.8857,0.7773,0.3433,0.0
0.1484,0.26,0.2286,0.841,0.3367,-0.3262,0.0
0.07465,0.32,0.967,0.6147,0.775,0.05756,0.0
0.1666,0.4548,0.2566,0.537,0.244,-0.2788,0.0
0.1926,0.578,0.992,0.79,0.2416,-0.2769,0.0
0.1477,0.698,0.572,0.954,0.5024,0.1469,0.0
0.11694,0.139,0.2496,0.2783,0.2144,0.0757,0.0
0.1353,0.2117,0.2369,0.8994,0.5293,0.3828,0.0
0.2468,0.986,0.668,0.2438,0.745,0.4124,0.0
0.11755,0.3845,0.7,0.7964,0.542,-0.4639,0.0
0.493,0.983,0.909,0.689,0.3423,-0.406,0.0
0.1537,0.475,0.388,0.845,0.9565,-0.1993,0.0
0.1726,0.4026,0.3076,0.241,0.7964,-0.2147,0.0
0.09937,0.3813,0.832,0.909,0.1786,-0.3054,0.0
0.1594,0.376,0.453,0.5503,0.847,-0.436,0.0
0.1637,0.424,0.3745,0.8345,0.593,-0.3716,0.0
0.11847,0.1376,0.824,0.4883,0.867,-0.1754,0.0
0.1335,0.1713,0.277,0.7188,0.922,-0.1423,0.0
0.1043,0.1371,0.2032,0.6304,0.235,0.3008,0.0
0.1201,0.8193,0.132,0.5244,0.8955,0.1781,0.0
0.1493,0.4448,0.139,0.941,0.9546,-0.2754,0.0
0.197,0.855,0.6235,0.7817,0.6895,-0.1005,0.0
0.11566,0.4556,0.9443,0.8433,0.3674,-0.2979,0.0
0.163,0.714,0.6143,0.522,0.2546,0.12286,0.0
0.1282,0.4856,0.771,0.6816,0.698,-0.0852,0.0
0.1545,0.526,0.9688,0.2174,0.741,-0.2156,0.0
0.2113,0.93,0.637,0.5366,0.3499,0.4675,0.0
0.151,0.3735,0.4983,0.3596,0.274,0.2942,0.0
0.2466,0.9385,0.67,0.2289,0.3015,-0.08093,0.0
0.1532,0.953,0.06125,0.3594,0.478,-0.2115,0.0
0.1351,0.6797,0.1492,0.4558,0.1231,0.3218,0.0
0.10675,0.1556,0.886,0.8306,0.5205,-0.424,0.0
0.1783,0.865,0.599,0.8916,0.1948,0.3386,0.0
0.2134,0.01863,0.1183,0.439,0.8887,0.466,0.0
0.08624,0.9077,0.351,0.2954,0.978,-0.2554,0.0
0.1711,0.406,0.3237,0.474,0.7695,0.11084,0.0
0.0529,0.04263,0.9116,0.8696,0.602,-0.0815,0.0
0.1366,0.9307,0.0749,0.4805,0.1871,-0.2018,0.0
0.3474,0.8457,0.8604,0.2024,0.685,-0.344,0.0
0.0909,0.3977,0.983,0.8833,0.3657,-0.3584,0.0
0.084,0.2048,0.98,0.3887,0.2756,0.2947,0.0
0.1242,0.4827,0.7827,0.6895,0.982,0.2954,0.0
0.1603,0.1992,0.4788,0.445,0.1241,0.449,0.0
0.1267,0.1225,0.773,0.8853,0.4312,0.0493,0.0
0.1473,0.3901,0.1466,0.781,0.5283,0.4734,0.0
0.1097,0.897,0.4514,0.9966,0.7944,0.3682,0.0
0.2957,0.8066,0.8105,0.369,0.443,-0.456,0.0
0.1351,0.4995,0.608,0.7007,0.2438,-0.2484,0.0
0.3,0.9956,0.7095,0.9883,0.9473,-0.285,0.0
0.0978,0.82,0.2764,0.2335,0.382,-0.09424,0.0
0.10767,0.3154,0.744,0.549,0.478,0.3245,0.0
0.2156,0.733,0.746,0.619,0.3584,0.1299,0.0
0.2108,0.749,0.72,0.9946,0.7593,0.147,0.0
0.1903,0.0386,0.2659,0.9165,0.2434,0.3193,0.0
0.1663,0.562,0.8345,0.3015,0.7407,-0.4802,0.0
0.0944,0.834,0.3167,0.2593,0.7163,-0.4824,0.0
0.4404,0.874,0.9604,0.3323,0.1389,-0.421,0.0
0.11237,0.729,0.297,0.5195,0.893,-0.07544,0.0
0.1438,0.601,0.2173,0.8374,0.1968,0.01942,0.0
0.1481,0.1328,0.5273,0.791,0.778,-0.4993,0.0
0.11523,0.4658,0.8984,0.8096,0.2277,0.3955,0.0
0.078,0.3213,0.9385,0.2969,0.907,0.2316,0.0
0.1545,0.181,0.5195,0.6377,0.2158,-0.4807,0.0
0.308,0.954,0.0297,0.4019,0.369,0.4468,0.0
0.1432,0.6064,0.131,0.5605,0.959,-0.1812,0.0
0.4182,0.9175,0.9185,0.7285,0.286,0.0741,0.0
0.1351,0.1964,0.2515,0.497,0.5625,-0.3953,0.0
0.2198,0.2323,0.04077,0.642,0.519,0.4233,0.0
0.1603,0.421,0.4038,0.2272,0.1136,0.4438,0.0
0.1225,0.785,0.4626,0.5347,0.1659,-0.2705,0.0
0.1252,0.772,0.131,0.943,0.3245,0.1272,0.0
0.11163,0.4058,0.739,0.666,0.2438,0.2615,0.0
0.1404,0.447,0.5234,0.6206,0.3994,0.06046,0.0
0.1345,0.5654,0.4934,0.397,0.6177,0.2378,0.0
0.1006,0.8193,0.2428,0.9746,0.4436,0.2717,0.0
0.4084,0.516,0.02446,0.657,0.5415,0.485,0.0
0.142,0.3442,0.0779,0.4124,0.1707,0.3206,0.0
0.10016,0.9673,0.4219,0.771,0.367,-0.2634,0.0
0.1648,0.5645,0.8853,0.5386,0.631,0.158,0.0
0.08405,0.897,0.2795,0.8076,0.244,0.1157,0.0
0.2566,0.8022,0.7686,0.8726,0.597,0.05823,0.0
0.1178,0.2998,0.7017,0.4497,0.864,-0.2452,0.0
0.1462,0.535,0.832,0.56,0.734,0.1263,0.0
0.1073,0.07623,0.234,0.4724,0.4573,-0.05124,0.0
0.1343,0.8145,0.0891,0.44,0.4536,-0.2352,0.0
0.1583,0.0754,0.5127,0.3406,0.268,0.1137,0.0
0.1556,0.857,0.5503,0.2206,0.755,0.1169,0.0
0.1744,0.2842,0.3503,0.3882,0.513,0.2852,0.0
0.221,0.737,0.728,0.6514,0.8477,-0.4795,0.0
0.1404,0.3225,0.1567,0.2695,0.733,-0.4587,0.0
0.1655,0.2408,0.3262,0.965,0.2979,0.3872,0.0
0.1287,0.761,0.1216,0.4854,0.2546,0.4766,0.0
0.4836,0.936,0.9966,0.8486,0.2793,0.282,0.0
0.1443,0.0934,0.571,0.4197,0.8467,-0.2888,0.0
0.1434,0.3213,0.565,0.8984,0.387,-0.3977,0.0
0.1439,0.5596,0.671,0.9097,0.884,-0.01845,0.0
0.0852,0.2477,0.918,0.371,0.3984,-0.2466,0.0
0.145,0.12354,0.419,0.7534,0.2869,-0.1216,0.0
0.1261,0.0702,0.5938,0.517,0.4683,0.2588,0.0
0.1001,0.8027,0.286,0.2023,0.1392,-0.1786,0.0
0.2646,0.705,0.892,0.2373,0.191,-0.3728,0.0
0.1514,0.4734,0.08295,0.7007,0.4792,-0.445,0.0
0.1808,0.7,0.673,0.3801,0.2296,-0.02405,0.0
0.1012,0.778,0.3313,0.991,0.5586,0.1655,0.0
0.1484,0.4631,0.0902,0.5884,0.2178,0.095,0.0
0.1462,0.3643,0.5312,0.2474,0.7876,0.09674,0.0
0.1793,0.8667,0.586,0.995,0.584,-0.2352,0.0
0.1328,0.5073,0.619,0.2073,0.4587,0.296,0.0
0.1423,0.4033,0.5303,0.7163,0.2019,0.1372,0.0
0.10376,0.817,0.229,0.735,0.2888,-0.4563,0.0
0.1654,0.4595,0.2418,0.6167,0.887,0.1936,0.0
0.12067,0.3672,0.668,0.5205,0.4937,0.1043,0.0
0.1271,0.625,0.4082,0.6733,0.5825,0.2491,0.0
0.347,0.778,0.9883,0.4573,0.4736,0.02628,0.0
0.1143,0.719,0.2996,0.768,0.4443,-0.4243,0.0
0.1184,0.1403,0.821,0.4949,0.7783,0.251,0.0
0.1475,0.1298,0.5303,0.9697,0.2334,-0.2402,0.0
0.12134,0.4583,0.8325,0.2266,0.3733,-0.4922,0.0
0.1497,0.5986,0.6353,0.8228,0.99,-0.182,0.0
0.1279,0.0748,0.68,0.805,0.416,0.1106,0.0
0.11426,0.8794,0.453,0.5845,0.529,-0.0397,0.0
0.092,0.3152,0.832,0.7134,0.5576,0.4927,0.0
0.2405,0.754,0.03812,0.769,0.1868,0.145,0.0
0.2256,0.7104,0.8066,0.7275,0.1251,0.2004,0.0
0.1486,0.535,0.09644,0.4583,0.1578,0.08856,0.0
0.1174,0.0883,0.1389,0.5127,0.8413,-0.2847,0.0
0.1107,0.2065,0.1655,0.6284,0.2241,0.1564,0.0
0.1168,0.1011,0.11145,0.8047,0.297,0.4949,0.0
0.07715,0.2727,0.9463,0.7827,0.229,0.3286,0.0
