like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.01179,0.8604,0.1137,0.7563,0.4265,-0.1519,0.0
0.03784,0.944,0.05734,0.3684,0.7617,-0.3,0.0
4.94,0.969,0.9897,0.3445,0.9272,-0.1018,0.0
0.0543,0.1294,0.849,0.4185,0.5815,0.1737,0.0
0.01282,0.07324,0.624,0.863,0.6235,-0.3462,0.0
1.913,0.007626,0.2435,0.4568,0.486,0.3958,0.0
1.034,0.4868,0.3582,0.255,0.866,-0.4495,0.0
0.06128,0.805,0.05966,0.2705,0.249,0.0958,0.0
1.953,0.462,0.6367,0.748,0.6294,-0.3408,0.0
0.1649,0.7637,0.1559,0.3635,0.601,-0.0207,0.0
1.364,0.3218,0.8486,0.2766,0.2006,-0.3994,0.0
1.659,0.563,0.4443,0.2252,0.5186,-0.1694,0.0
4.406,0.9155,0.8623,0.825,0.7446,-0.2634,0.0
0.9053,0.7065,0.277,0.6255,0.828,-0.1974,0.0
1.0625,0.7886,0.2893,0.5566,0.2683,-0.166,0.0
3.846,0.9004,0.7637,0.55,0.7056,0.2957,0.0
3.371,0.807,0.6694,0.905,0.2074,-0.316,0.0
0.05447,0.784,0.1271,0.912,0.435,-0.1967,0.0
0.2183,0.4092,0.196,0.816,0.1255,0.1981,0.0
0.05383,0.05685,0.1113,0.3176,0.4238,-0.4463,0.0
0.2198,0.1837,0.474,0.2803,0.3105,-0.3823,0.0
0.9824,0.02979,0.9507,0.62,0.4314,0.0359,0.0
3.287,0.629,0.866,0.9897,0.644,-0.1353,0.0
0.1857,0.668,0.1644,0.6606,0.5923,0.4978,0.0
0.1539,0.1472,0.314,0.806,0.925,0.4575,0.0
4.01,0.8926,0.8247,0.2446,0.3767,0.3843,0.0
1.231,0.879,0.302,0.9404,0.1992,-0.3503,0.0
0.1304,0.804,0.1476,0.7427,0.13,-0.1604,0.0
1.25,0.312,0.8413,0.7686,0.286,0.3906,0.0
0.0188,0.817,0.1145,0.3108,0.582,-0.0937,0.0
0.0732,0.1334,0.7124,0.9453,0.815,0.4524,0.0
0.0951,0.125,0.4973,0.509,0.6177,0.0896,0.0
0.8726,0.9746,0.2537,0.2147,0.459,0.418,0.0
0.1993,0.1727,0.518,0.714,0.8726,-0.4846,0.0
1.2295,0.9893,0.296,0.6836,0.1333,0.0633,0.0
2.125,0.0355,0.972,0.4878,0.975,0.304,0.0
1.061,0.2764,0.9937,0.5864,0.4766,0.4612,0.0
0.484,0.206,0.874,0.2142,0.11884,0.2644,0.0
3.01,0.586,0.86,0.3308,0.4807,0.341,0.0
1.081,0.279,0.9297,0.7563,0.4944,-0.3606,0.0
0.488,0.561,0.2323,0.742,0.7954,-0.264,0.0
0.3228,0.3442,0.04425,0.4966,0.4856,-0.489,0.0
2.588,0.7124,0.5576,0.3845,0.714,0.1172,0.0
0.251,0.2302,0.3372,0.2505,0.1864,-0.3494,0.0
0.3394,0.4465,0.2235,0.7075,0.5977,-0.3342,0.0
0.1871,0.3848,0.1846,0.2383,0.4316,-0.1608,0.0
1.114,0.543,0.354,0.8486,0.5923,0.4126,0.0
0.51,0.2046,0.9937,0.9634,0.762,-0.06207,0.0
0.3503,0.1865,0.8394,0.624,0.275,-0.11725,0.0
0.2214,0.1464,0.1837,0.7236,0.875,0.1642,0.0
4.23,0.8433,0.8647,0.6577,0.9287,-0.375,0.0
0.004704,0.08746,0.795,0.817,0.8193,-0.206,0.0
-0.00559,0.06155,0.3928,0.382,0.33,0.476,0.0
1.896,0.425,0.712,0.988,0.55,-0.2654,0.0
0.2279,0.1934,0.1327,0.7007,0.659,0.25,0.0
1.856,0.893,0.3823,0.873,0.6123,-0.4495,0.0
