like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.2915,0.1389,0.895,0.462,0.12103,-0.09985,0.0
0.1876,0.1843,0.2048,0.8364,0.2267,0.3813,0.0
0.8823,0.4077,0.6797,0.602,0.714,-0.274,0.0
0.4258,0.2238,0.527,0.213,0.3318,-0.07623,0.0
0.2551,0.1528,0.3933,0.2169,0.508,-0.2625,0.0
0.504,0.2532,0.584,0.8916,0.2522,0.263,0.0
1.535,0.8184,0.6733,0.948,0.4626,0.4944,0.0
0.837,0.02487,0.6865,0.6274,0.4636,0.3708,0.0
0.2695,0.3413,0.01994,0.6406,0.5947,-0.1772,0.0
0.2646,0.1211,0.749,0.8154,0.79,0.3591,0.0
1.437,0.972,0.5605,0.373,0.7065,0.4907,0.0
0.4695,0.06433,0.1707,0.3672,0.697,-0.011375,0.0
0.4795,0.4392,0.2798,0.665,0.2231,-0.1295,0.0
1.472,0.02821,0.941,0.4534,0.6807,0.4685,0.0
0.4583,0.2285,0.5977,0.875,0.6636,0.00908,0.0
0.2357,0.4578,0.1205,0.9814,0.1917,0.2566,0.0
0.4717,0.364,0.321,0.3252,0.9434,0.4192,0.0
0.2448,0.9067,0.11084,0.896,0.3247,0.3933,0.0
0.2756,0.6743,0.1292,0.2333,0.6304,0.3486,0.0
0.3464,0.02568,0.702,0.3875,0.2861,-0.4055,0.0
0.6587,0.411,0.4236,0.818,0.134,0.2834,0.0
0.2279,0.2537,0.01334,0.7427,0.8145,-0.2335,0.0
0.1986,0.00546,0.0872,0.739,0.1315,0.3298,0.0
0.2422,0.767,0.102,0.5347,0.685,-0.224,0.0
0.1719,0.1997,0.1566,0.926,0.5366,-0.3406,0.0
0.2886,0.924,0.1382,0.3801,0.8765,-0.02507,0.0
0.8613,0.604,0.424,0.7007,0.271,-0.2031,0.0
0.2269,0.9897,0.099,0.892,0.7715,0.02219,0.0
0.2006,0.1383,0.2986,0.8877,0.7266,0.3113,0.0
0.8755,0.9717,0.3586,0.2228,0.8604,0.01481,0.0
0.1559,0.0885,0.302,0.4243,0.696,-0.3481,0.0
1.675,0.9365,0.6646,0.9497,0.781,-0.05,0.0
0.8066,0.403,0.5854,0.3696,0.2242,-0.0047,0.0
1.213,0.0297,0.2727,0.9805,0.601,0.01845,0.0
0.9385,0.8315,0.3997,0.2448,0.989,0.073,0.0
1.572,0.8896,0.6445,0.525,0.374,-0.1359,0.0
0.254,0.41,0.1473,0.865,0.2896,-0.04922,0.0
0.1866,0.10284,0.3884,0.5815,0.684,-0.05417,0.0
0.2803,0.2522,0.2537,0.2524,0.605,-0.3242,0.0
0.4868,0.2239,0.905,0.885,0.7524,0.0665,0.0
0.1595,0.0826,0.2261,0.3052,0.729,0.3687,0.0
1.592,0.6294,0.937,0.7515,0.1859,-0.2467,0.0
1.659,0.7515,0.799,0.247,0.6006,0.377,0.0
0.432,0.2832,0.3765,0.5024,0.845,0.2708,0.0
0.3716,0.3062,0.2886,0.8716,0.5576,-0.234,0.0
0.6484,0.7607,0.293,0.505,0.852,-0.2437,0.0
0.1667,0.201,0.1041,0.5996,0.723,-0.4277,0.0
2.2,0.8447,0.9653,0.6255,0.7056,-0.446,0.0
0.2893,0.1378,0.677,0.29,0.7046,0.4495,0.0
0.3218,0.2181,0.3533,0.3438,0.5757,0.12415,0.0
0.2366,0.1263,0.4346,0.7275,0.8765,-0.0727,0.0
0.8423,0.8276,0.364,0.4763,0.6133,0.4343,0.0
0.2147,0.0981,0.538,0.8896,0.8467,-0.1642,0.0
1.918,0.8843,0.805,0.3193,0.2284,0.2383,0.0
0.3347,0.7827,0.1594,0.8726,0.8403,-0.4402,0.0
2.104,0.955,0.8237,0.564,0.3555,0.1265,0.0
0.786,0.9717,0.3289,0.2394,0.949,0.2747,0.0
0.554,0.653,0.2656,0.7866,0.248,0.04852,0.0
2.03,0.9443,0.8003,0.624,0.3682,-0.2053,0.0
0.2333,0.747,0.08167,0.61,0.3208,0.4285,0.0
0.754,0.4019,0.5273,0.6567,0.3132,0.311,0.0
0.1633,0.09937,0.3103,0.7573,0.966,0.31,0.0
0.9053,0.4048,0.73,0.813,0.807,-0.3208,0.0
0.683,0.4265,0.4255,0.2864,0.801,0.001889,0.0
1.344,0.545,0.8994,0.7583,0.9663,-0.02966,0.0
0.441,0.5713,0.2242,0.97,0.1411,0.142,0.0
2.342,0.987,0.878,0.741,0.2391,-0.194,0.0
0.559,0.2554,0.779,0.5664,0.6357,-0.4568,0.0
0.3176,0.369,0.02786,0.898,0.603,-0.236,0.0
1.249,0.5767,0.7197,0.9316,0.4563,-0.4775,0.0
1.079,0.4854,0.7354,0.2625,0.9404,0.1359,0.0
0.3606,0.1735,0.962,0.6465,0.3599,0.4856,0.0
0.565,0.3884,0.369,0.726,0.842,-0.269,0.0
1.249,0.843,0.5225,0.622,0.2876,-0.3997,0.0
0.2954,0.4966,0.1565,0.5327,0.2751,-0.428,0.0
0.9756,0.585,0.5005,0.8867,0.164,-0.3918,0.0
0.4888,0.2426,0.5947,0.3213,0.3196,-0.4043,0.0
0.9336,0.4514,0.6304,0.4182,0.812,-0.2156,0.0
1.953,0.916,0.7935,0.329,0.2389,0.0815,0.0
0.3096,0.1993,0.3745,0.591,0.964,-0.1914,0.0
1.41,0.5947,0.8413,0.5806,0.722,-0.2969,0.0
0.2112,0.4026,0.081,0.7285,0.2449,0.2245,0.0
1.477,0.7905,0.6567,0.2288,0.1466,-0.0982,0.0
1.435,0.656,0.761,0.4612,0.2524,0.1121,0.0
