like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
1.444,0.02757,0.1967,0.3372,1.0,-0.4973,1712.0,491.2,0.0
10000.0,0.8857,0.1549,0.0615,0.9995,-0.2769,1444.0,18.03,0.0
10000.0,0.786,0.926,0.311,0.9995,0.95,564.5,1994.0,0.0
5.586,0.888,0.8394,0.964,0.9995,0.2457,429.0,1467.0,0.0
9.4,0.1971,0.6006,0.8535,0.9995,0.7114,672.0,195.6,0.0
10000.0,0.4753,0.1973,0.03436,0.999,-0.7153,659.0,1531.0,0.0
51.28,0.516,0.5195,0.3875,0.9995,-0.675,1816.0,1942.0,0.0
12.34,0.09296,0.3853,0.7134,1.0,0.902,1884.0,1185.0,0.0
10000.0,0.2224,0.8457,0.2382,0.9995,0.08014,629.5,1710.0,0.0
0.2502,0.07056,0.938,0.645,0.9995,-0.8784,1183.0,70.7,0.0
1.636,0.8916,0.1617,0.811,1.0,-0.787,40.44,1665.0,0.0
2.734,0.635,0.3564,0.8286,0.9995,-0.6484,1201.0,1073.0,0.0
10000.0,0.7563,0.525,0.184,0.999,-0.3755,400.0,1850.0,0.0
33.78,0.885,0.743,0.59,0.999,0.228,1507.0,704.5,0.0
54.9,0.266,0.8486,0.3506,0.9995,0.05875,207.4,668.0,0.0
10000.0,0.995,0.7603,0.2568,0.9995,0.4846,151.6,1460.0,0.0
5.742,0.26,0.6333,0.63,0.999,-0.5117,1530.0,549.5,0.0
11.54,0.779,0.8228,0.883,0.9995,0.5405,1029.0,1778.0,0.0
10000.0,0.8145,0.3083,0.1545,0.9995,-0.7744,342.5,676.5,0.0
4.85,0.7085,0.588,0.863,1.0,-0.651,217.6,622.0,0.0
35.84,0.9707,0.5396,0.5273,0.9995,-0.2224,364.0,1733.0,0.0
0.4595,0.036,0.692,0.556,1.0,0.03008,1254.0,1328.0,0.0
10000.0,0.8467,0.4346,0.1439,0.999,-0.99,1321.0,92.7,0.0
14.47,0.4343,0.3933,0.722,1.0,0.8643,1550.0,991.5,0.0
10000.0,0.875,0.1785,0.3079,0.9995,-0.326,1365.0,105.06,0.0
10000.0,0.9307,0.9634,0.012276,1.0,-0.1368,923.0,914.5,0.0
18.84,0.2727,0.452,0.4883,0.9995,0.4211,611.5,1732.0,0.0
55.53,0.777,0.395,0.421,1.0,0.2294,555.5,1865.0,0.0
26.78,0.594,0.3452,0.4778,0.9995,0.08575,1008.5,1712.0,0.0
2.904,0.3447,0.2954,0.8438,0.9995,0.2269,881.5,1924.0,0.0
21.45,0.8677,0.6045,0.6553,0.9995,0.11224,1844.0,1475.0,0.0
48.97,0.3228,0.5366,0.3542,1.0,-0.4624,593.0,1753.0,0.0
10000.0,0.2512,0.3223,0.2075,0.9995,-0.1478,1649.0,15.195,0.0
11.93,0.9473,0.371,0.7056,1.0,-0.489,1572.0,1808.0,0.0
8.67,0.15,0.7217,0.682,0.9995,0.5728,1110.0,1586.0,0.0
75.06,0.702,0.2688,0.3577,0.9995,0.3196,1308.0,1101.0,0.0
10000.0,0.5474,0.624,0.2146,0.9995,-0.497,1567.0,251.5,0.0
25.39,0.924,0.833,0.7617,0.999,0.9204,638.0,1806.0,0.0
18.38,0.858,0.555,0.662,0.9995,-0.1743,527.5,238.1,0.0
3.928,0.4678,0.11255,0.8496,0.9995,0.301,480.5,409.0,0.0
4.133,0.273,0.646,0.7114,1.0,-0.2115,129.4,1369.0,0.0
9.68,0.4233,0.8306,0.914,0.999,0.6855,849.0,938.5,0.0
10000.0,0.388,0.4343,0.02727,0.9995,-0.03036,1554.0,1020.0,0.0
12.92,0.357,0.6953,0.5825,0.999,-0.10614,618.0,174.6,0.0
98.6,0.6475,0.4004,0.3357,1.0,0.8696,1148.0,1483.0,0.0
95.94,0.3145,0.5767,0.2722,0.999,-0.942,794.0,543.5,0.0
9.55,0.54,0.5073,0.871,0.999,0.6235,77.06,226.6,0.0
19.66,0.555,0.979,0.665,0.999,0.225,745.5,890.0,0.0
7.656,0.99,0.8403,0.945,0.9995,0.2683,1350.0,766.0,0.0
21.02,0.7314,0.7153,0.7646,1.0,0.995,1120.0,1739.0,0.0
0.43,0.262,0.8936,0.9663,0.999,-0.0311,267.5,513.5,0.0
12.21,0.01828,0.991,0.895,0.9995,0.9355,161.4,942.5,0.0
4.867,0.2852,0.827,0.7446,0.999,-0.1116,913.5,1956.0,0.0
52.2,0.1404,0.1464,0.2778,0.9995,-0.2878,1085.0,1149.0,0.0
10000.0,0.3137,0.471,0.0944,0.999,0.0568,1833.0,1603.0,0.0
16.17,0.1415,0.6562,0.3865,0.9995,-0.934,242.4,1787.0,0.0
