like1,parKperc,parKb,parKe,parCqq,parBias,chain
-0.1787,0.9375,0.4644,0.9556,0.363,-0.4548,0.0
-0.1655,0.3262,0.617,0.825,0.4521,0.0683,0.0
-0.1769,0.677,0.7046,0.3696,0.5337,0.2886,0.0
-0.1526,0.2434,0.8496,0.4043,0.7944,0.377,0.0
-0.161,0.3271,0.522,0.4458,0.3628,0.4382,0.0
-0.074,0.997,0.987,0.594,0.692,0.171,0.0
0.11597,0.2404,0.07166,0.3645,0.3284,0.1708,0.0
-0.1008,0.876,0.1549,0.875,0.5312,-0.1688,0.0
-0.04492,0.1284,0.4426,0.2454,0.642,0.2015,0.0
0.05838,0.01808,0.571,0.2098,0.3564,0.192,0.0
-0.06824,0.05783,0.2566,0.605,0.6064,0.1059,0.0
0.0345,0.606,0.07526,0.671,0.979,0.3845,0.0
-0.1716,0.6377,0.9287,0.972,0.4631,0.4646,0.0
-0.12195,0.442,0.2201,0.3623,0.1155,-0.29,0.0
-0.1395,0.3098,0.3418,0.439,0.3787,0.225,0.0
0.2075,0.1628,0.05933,0.7524,0.514,-0.2264,0.0
-0.1738,0.3442,0.884,0.484,0.7803,0.1091,0.0
0.2174,0.682,0.0302,0.9824,0.776,0.2834,0.0
-0.133,0.929,0.1962,0.826,0.3835,-0.01287,0.0
-0.1293,0.01776,0.5586,0.6104,0.808,-0.2394,0.0
-0.1465,0.5654,0.2542,0.9937,0.5303,-0.2793,0.0
-0.1758,0.685,0.4487,0.3022,0.773,0.1769,0.0
-0.1716,0.5024,0.4653,0.211,0.5186,0.3337,0.0
0.0254,0.0562,0.595,0.599,0.1611,0.1079,0.0
-0.002182,0.0928,0.5693,0.4214,0.4866,0.1561,0.0
-0.1616,0.3157,0.578,0.2334,0.8755,0.25,0.0
-0.1134,0.0429,0.1943,0.4739,0.7974,-0.01092,0.0
0.081,0.008965,0.829,0.2957,0.3315,-0.02405,0.0
-0.1082,0.4705,0.192,0.2688,0.1642,0.3972,0.0
-0.1667,0.444,0.4207,0.38,0.765,-0.0767,0.0
-0.167,0.3196,0.6885,0.9517,0.935,-0.437,0.0
-0.178,0.51,0.864,0.5024,0.8154,-0.4873,0.0
-0.1698,0.4463,0.4795,0.2079,0.3267,0.02036,0.0
-0.1786,0.84,0.4875,0.704,0.8213,0.3933,0.0
-0.08734,0.282,0.2157,0.783,0.7437,0.423,0.0
-0.1633,0.9473,0.2732,0.299,0.647,-0.2576,0.0
0.0252,0.838,0.07416,0.697,0.742,-0.1838,0.0
0.1781,0.8516,0.03406,0.9688,0.4404,-0.4644,0.0
-0.1785,0.4407,0.949,0.678,0.811,-0.2612,0.0
-0.1324,0.6387,0.2129,0.7397,0.13,-0.0355,0.0
-0.1772,0.3958,0.936,0.209,0.771,0.328,0.0
-0.1298,0.723,0.2012,0.727,0.3418,0.10626,0.0
-0.178,0.4946,0.777,0.3757,0.84,0.441,0.0
-0.1768,0.8174,0.5923,0.2251,0.498,0.2399,0.0
-0.0608,0.9087,0.1191,0.66,0.6104,0.0446,0.0
-0.08636,0.6387,0.1501,0.552,0.7544,0.4138,0.0
-0.1682,0.55,0.3735,0.572,0.8247,-0.04428,0.0
-0.1344,0.207,0.776,0.2123,0.4856,-0.3562,0.0
-0.0955,0.2686,0.2411,0.3452,0.8457,-0.3105,0.0
-0.1666,0.6455,0.3289,0.6377,0.5146,0.0676,0.0
-0.1659,0.615,0.3337,0.2607,0.5986,-0.3738,0.0
-0.1786,0.4983,0.7856,0.802,0.4417,0.445,0.0
-0.1488,0.2795,0.4785,0.9604,0.669,-0.416,0.0
