like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.06305,0.4314,0.3008,0.916,0.1914,0.336,0.0
0.073,0.678,0.1981,0.504,0.1855,0.469,0.0
0.4944,0.9453,0.799,0.2362,0.705,0.011375,0.0
0.1254,0.10974,0.8906,0.2551,0.5073,0.2129,0.0
0.0652,0.3374,0.3381,0.2969,0.7676,0.3142,0.0
0.10236,0.92,0.414,0.2413,0.626,0.11584,0.0
0.0764,0.3096,0.2769,0.4546,0.548,-0.04587,0.0
0.34,0.8945,0.709,0.6655,0.1556,0.3604,0.0
0.32,0.3743,0.01512,0.887,0.832,0.1683,0.0
0.1329,0.466,0.887,0.4788,0.7573,-0.2462,0.0
0.1025,0.4607,0.6987,0.8867,0.8657,-0.4287,0.0
0.8267,0.9565,0.989,0.2634,0.332,-0.05325,0.0
0.07404,0.1844,0.751,0.7085,0.5566,-0.4075,0.0
0.0629,0.3555,0.3582,0.43,0.3835,0.2134,0.0
0.2042,0.967,0.0629,0.627,0.2903,-0.4258,0.0
0.1719,0.643,0.6733,0.5405,0.7,0.464,0.0
0.1412,0.7964,0.506,0.3276,0.825,-0.2122,0.0
0.1095,0.9243,0.4229,0.68,0.7456,-0.3865,0.0
0.0901,0.5757,0.4775,0.415,0.3962,0.3184,0.0
0.09174,0.4016,0.195,0.7314,0.441,-0.3113,0.0
0.2314,0.909,0.588,0.7046,0.6304,0.4084,0.0
0.05923,0.6245,0.2793,0.88,0.764,-0.3633,0.0
0.2952,0.7227,0.8013,0.2625,0.808,-0.4917,0.0
0.4946,0.9287,0.81,0.64,0.2585,-0.2812,0.0
0.0863,0.2417,0.3035,0.4272,0.7295,0.008255,0.0
0.0855,0.2993,0.2466,0.487,0.76,-0.1103,0.0
0.0758,0.8394,0.3708,0.3784,0.5625,-0.42,0.0
0.0746,0.2324,0.4453,0.931,0.2803,-0.3706,0.0
0.1141,0.8755,0.12054,0.353,0.68,0.384,0.0
0.1598,0.6294,0.648,0.353,0.4053,-0.2507,0.0
0.084,0.235,0.3337,0.2778,0.677,-0.2607,0.0
0.02687,0.0554,0.09753,0.948,0.5405,-0.3528,0.0
0.1411,0.1276,0.33,0.929,0.5073,0.2142,0.0
0.064,0.375,0.455,0.279,0.125,0.3179,0.0
0.1299,0.4546,0.925,0.2825,0.754,0.1775,0.0
0.2208,0.008,0.788,0.4697,0.4216,-0.4075,0.0
0.786,0.943,0.9863,0.4946,0.367,0.4224,0.0
0.3713,0.5586,0.03114,0.4463,0.5625,-0.4287,0.0
0.1539,0.812,0.526,0.5483,0.21,0.33,0.0
0.0487,0.853,0.2595,0.63,0.591,-0.1888,0.0
0.0632,0.3428,0.5034,0.7124,0.597,-0.4692,0.0
0.1124,0.1403,0.605,0.4219,0.7544,-0.3416,0.0
0.0698,0.1783,0.8613,0.4912,0.9814,-0.2341,0.0
0.06015,0.3171,0.6533,0.622,0.3286,-0.04187,0.0
0.1334,0.4539,0.938,0.631,0.1434,-0.439,0.0
0.1235,0.4524,0.901,0.715,0.4229,0.2603,0.0
0.04968,0.2632,0.836,0.4028,0.829,0.06122,0.0
0.1958,0.5854,0.8125,0.881,0.522,-0.1761,0.0
0.1052,0.5293,0.588,0.8726,0.847,0.2673,0.0
0.4915,0.81,0.933,0.7393,0.5107,0.4714,0.0
0.2708,0.957,0.6035,0.309,0.733,0.02998,0.0
0.1713,0.5083,0.9204,0.8364,0.837,-0.3018,0.0
0.1602,0.5684,0.7354,0.2141,0.1301,-0.09753,0.0
0.06757,0.2308,0.5996,0.448,0.942,-0.2644,0.0
0.6733,0.01283,0.8193,0.8105,0.88,-0.06354,0.0
0.10645,0.5225,0.1548,0.576,0.6597,-0.06287,0.0
0.168,0.365,0.0972,0.7153,0.414,0.07367,0.0
0.09247,0.2045,0.352,0.627,0.822,0.3157,0.0
0.0848,0.6123,0.4402,0.3828,0.6416,0.3394,0.0
0.07635,0.262,0.3306,0.814,0.9785,-0.12366,0.0
0.0641,0.4946,0.3633,0.534,0.1562,0.2351,0.0
0.1154,0.01965,0.9087,0.5273,0.378,0.4033,0.0
0.3403,0.542,0.03586,0.3325,0.8784,0.2106,0.0
0.279,0.6763,0.844,0.935,0.3372,0.03008,0.0
0.1924,0.7036,0.652,0.4546,0.418,-0.1032,0.0
0.0801,0.6514,0.4153,0.947,0.809,0.359,0.0
0.1567,0.921,0.4888,0.2676,0.597,-0.298,0.0
0.1545,0.4749,0.9604,0.2086,0.1288,-0.3718,0.0
0.1011,0.4036,0.9595,0.2837,0.334,-0.3472,0.0
0.08704,0.4329,0.66,0.2876,0.9946,0.4287,0.0
0.0768,0.691,0.3943,0.839,0.8193,0.09503,0.0
0.1498,0.10284,0.5703,0.8477,0.1718,-0.03748,0.0
0.4329,0.9453,0.7495,0.793,0.5835,-0.2627,0.0
0.11786,0.726,0.4895,0.7603,0.4617,-0.0486,0.0
0.4016,0.933,0.7373,0.859,0.6904,0.2886,0.0
0.1477,0.9287,0.4746,0.3435,0.3005,-0.4016,0.0
0.064,0.5913,0.3408,0.2075,0.837,0.145,0.0
0.1142,0.67,0.504,0.772,0.5884,-0.0887,0.0
0.04712,0.88,0.2644,0.9023,0.697,-0.3037,0.0
0.07074,0.1777,0.854,0.4175,0.738,-0.0695,0.0
0.1844,0.5205,0.927,0.34,0.3845,-0.3955,0.0
0.1526,0.0938,0.772,0.874,0.308,-0.375,0.0
0.0641,0.4893,0.2864,0.2153,0.845,-0.1665,0.0
0.1586,0.0621,0.3555,0.6997,0.1227,-0.067,0.0
0.0846,0.33,0.2333,0.56,0.81,0.3396,0.0
0.04648,0.8833,0.264,0.937,0.866,0.1338,0.0
0.0615,0.825,0.2018,0.407,0.836,0.4321,0.0
0.1597,0.4797,0.0984,0.4985,0.871,-0.04153,0.0
0.2375,0.5903,0.0569,0.2405,0.498,0.1919,0.0
0.0682,0.3782,0.5503,0.547,0.728,-0.1915,0.0
0.278,0.685,0.83,0.755,0.735,0.1049,0.0
0.1829,0.07104,0.8843,0.7876,0.3176,-0.03857,0.0
0.0627,0.5117,0.3108,0.2573,0.6646,-0.2064,0.0
0.0667,0.3442,0.989,0.947,0.624,-0.04623,0.0
0.08124,0.5415,0.4531,0.3728,0.579,-0.10254,0.0
0.12415,0.5786,0.593,0.257,0.562,-0.4177,0.0
