like1,parKperc,parKb,parKe,parCqq,parBias,chain
-0.272,0.697,0.2886,0.5483,0.7563,0.2412,0.0
-0.1975,0.0619,0.9478,0.996,0.5273,-0.4385,0.0
-0.2593,0.3047,0.5317,0.7603,0.3286,0.1328,0.0
-0.2554,0.7188,0.742,0.9478,0.2776,-0.1104,0.0
0.11945,0.01765,0.7476,0.7446,0.1425,0.3577,0.0
-0.272,0.308,0.634,0.2334,0.631,-0.4802,0.0
-0.151,0.06635,0.529,0.8843,0.9307,0.1428,0.0
-0.2054,0.1499,0.9233,0.4846,0.6216,-0.4048,0.0
-0.3022,0.4802,0.7065,0.874,0.9927,-0.3018,0.0
-0.251,0.934,0.585,0.4062,0.5044,0.1989,0.0
-0.1653,0.8506,0.7896,0.2593,0.4165,-0.3567,0.0
-0.2208,0.729,0.818,0.2979,0.8984,-0.05984,0.0
0.1714,0.2976,0.0223,0.9927,0.724,-0.4438,0.0
-0.2231,0.8203,0.721,0.599,0.5234,-0.3425,0.0
-0.1274,0.02202,0.6157,0.3713,0.4946,-0.01572,0.0
-0.2395,0.583,0.9717,0.2238,0.2141,-0.1203,0.0
-0.01472,0.07825,0.2756,0.567,0.884,0.08527,0.0
-0.302,0.76,0.4604,0.8804,0.2161,0.06537,0.0
-0.2969,0.761,0.5225,0.2189,0.999,-0.48,0.0
-0.265,0.6816,0.2737,0.486,0.97,-0.4834,0.0
-0.2705,0.7007,0.2837,0.6733,0.1742,-0.10254,0.0
-0.2291,0.8535,0.1821,0.3232,0.4338,-0.3237,0.0
-0.1757,0.2856,0.238,0.2277,0.2091,-0.0698,0.0
-0.1309,0.7656,0.9277,0.324,0.871,-0.4746,0.0
-0.2986,0.494,0.7964,0.901,0.1014,0.07495,0.0
-0.2654,0.425,0.3945,0.667,0.1305,-0.1294,0.0
-0.2178,0.8833,0.1652,0.8667,0.5225,0.04935,0.0
0.006523,0.7646,0.05075,0.8555,0.886,-0.2874,0.0
-0.1749,0.2366,0.2847,0.586,0.8394,0.326,0.0
0.01707,0.01617,0.517,0.579,0.845,0.2177,0.0
-0.271,0.8794,0.57,0.4229,0.2461,0.275,0.0
-0.283,0.7026,0.3242,0.3342,0.1357,0.2898,0.0
-0.288,0.789,0.562,0.565,0.6265,-0.2666,0.0
-0.10706,0.08307,0.9873,0.8833,0.1196,0.1941,0.0
-0.2886,0.999,0.4395,0.426,0.3694,0.2686,0.0
