like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.371,0.6313,0.02489,0.6006,0.434,-0.1581,0.0
0.5293,0.986,0.964,0.606,0.3865,-0.3936,0.0
0.182,0.10834,0.856,0.6597,0.6797,0.3635,0.0
0.11414,0.886,0.3633,0.2064,0.2443,-0.2615,0.0
0.3152,0.892,0.0373,0.4639,0.8887,-0.0636,0.0
0.1554,0.4846,0.2598,0.4336,0.4333,-0.4338,0.0
0.1638,0.712,0.7603,0.3088,0.2164,0.2854,0.0
0.1384,0.5557,0.846,0.2487,0.311,-0.4124,0.0
0.1606,0.2032,0.5547,0.4133,0.5005,-0.02992,0.0
0.1516,0.533,0.2798,0.217,0.969,-0.2512,0.0
0.1575,0.3408,0.2391,0.722,0.4917,-0.1681,0.0
0.3142,0.8354,0.92,0.8755,0.9243,-0.2478,0.0
0.1656,0.1421,0.8066,0.57,0.3062,-0.124,0.0
0.1175,0.439,0.8877,0.3066,0.9355,0.2363,0.0
0.2264,0.0792,0.3022,0.572,0.7256,0.267,0.0
0.196,0.07227,0.4973,0.6636,0.7305,-0.4211,0.0
0.1339,0.733,0.5767,0.4116,0.9116,-0.37,0.0
0.1364,0.498,0.5483,0.556,0.676,-0.0354,0.0
0.1914,0.8843,0.684,0.695,0.2439,-0.09656,0.0
0.1862,0.3088,0.111,0.602,0.827,0.4236,0.0
0.3103,0.9473,0.809,0.5757,0.1663,-0.1256,0.0
0.2598,0.03656,0.05978,0.718,0.8647,-0.2429,0.0
0.1321,0.745,0.281,0.6167,0.2299,-0.3923,0.0
0.4321,0.955,0.9253,0.4136,0.2305,0.322,0.0
0.1254,0.4172,0.7275,0.2861,0.6504,0.015495,0.0
0.2223,0.4727,0.0736,0.553,0.515,-0.06158,0.0
0.1385,0.2297,0.7705,0.8003,0.4805,0.2825,0.0
0.1409,0.4854,0.4927,0.616,0.2783,0.2277,0.0
0.1797,0.1204,0.7393,0.633,0.55,-0.04724,0.0
0.155,0.295,0.3457,0.572,0.289,0.1951,0.0
0.1321,0.553,0.576,0.5225,0.803,0.07385,0.0
0.1381,0.761,0.5977,0.6323,0.9414,-0.165,0.0
0.2352,0.868,0.773,0.498,0.1904,-0.1946,0.0
0.2717,0.9546,0.763,0.3345,0.3035,0.465,0.0
0.1526,0.4497,0.332,0.2123,0.4285,-0.1766,0.0
0.1284,0.4001,0.6963,0.4595,0.5835,-0.2686,0.0
0.1338,0.734,0.2737,0.794,0.5864,0.4504,0.0
0.1455,0.5625,0.3257,0.4072,0.5884,-0.282,0.0
0.1465,0.2634,0.6157,0.752,0.657,-0.3435,0.0
0.141,0.3762,0.5737,0.3894,0.55,0.4062,0.0
0.1255,0.2189,0.9766,0.517,0.69,-0.03004,0.0
0.3533,0.486,0.03099,0.2783,0.6216,0.2462,0.0
0.1687,0.1401,0.7676,0.5576,0.863,0.05658,0.0
0.11707,0.4236,0.8506,0.9507,0.7754,-0.2605,0.0
0.1404,0.4912,0.4937,0.787,0.7275,-0.1691,0.0
0.1371,0.1908,0.945,0.4167,0.4675,-0.2974,0.0
0.1288,0.444,0.668,0.772,0.1536,0.04184,0.0
0.1616,0.1987,0.2744,0.71,0.7583,0.4753,0.0
0.146,0.4592,0.4573,0.2656,0.6436,-0.4185,0.0
0.1393,0.4558,0.5503,0.3706,0.3079,-0.4932,0.0
0.11316,0.3296,0.9004,0.6772,0.7764,-0.271,0.0
0.1458,0.5557,0.323,0.6826,0.5225,-0.003077,0.0
0.1508,0.1665,0.8804,0.4243,0.879,-0.03223,0.0
0.1658,0.803,0.6777,0.7246,0.3108,-0.2732,0.0
0.3665,0.46,0.02802,0.558,0.785,-0.06805,0.0
0.1699,0.9297,0.12225,0.537,0.9517,-0.4749,0.0
0.1934,0.1045,0.5645,0.778,0.6714,0.07837,0.0
0.1285,0.27,0.803,0.2368,0.4067,0.3271,0.0
0.1622,0.7837,0.6885,0.5166,0.771,0.3167,0.0
0.1228,0.832,0.4736,0.5825,0.4353,-0.3264,0.0
0.1389,0.6353,0.72,0.4436,0.4478,0.3318,0.0
0.1543,0.3994,0.3208,0.338,0.5376,0.08496,0.0
0.3804,0.2822,0.02463,0.2008,0.1262,0.4817,0.0
0.1587,0.2247,0.3335,0.707,0.3555,-0.2186,0.0
0.1301,0.656,0.4705,0.255,0.611,0.05667,0.0
0.12335,0.751,0.3782,0.8125,0.669,-0.1447,0.0
0.2428,0.9004,0.0589,0.2216,0.2793,0.48,0.0
0.1279,0.4736,0.6816,0.7373,0.8643,-0.1956,0.0
0.1667,0.1798,0.4258,0.4492,0.1547,0.3784,0.0
0.12427,0.7524,0.353,0.889,0.777,-0.3728,0.0
0.2976,0.356,0.01124,0.4966,0.514,0.4453,0.0
0.1802,0.6025,0.1307,0.2673,0.1794,0.3923,0.0
0.1165,0.8525,0.3643,0.2241,0.807,-0.3357,0.0
0.174,0.3457,0.1406,0.989,0.4128,-0.3657,0.0
0.117,0.2878,0.902,0.2893,0.204,0.375,0.0
0.1545,0.353,0.32,0.479,0.754,0.07306,0.0
0.1619,0.3542,0.1984,0.832,0.8936,0.0664,0.0
0.12244,0.8794,0.4722,0.8643,0.983,-0.428,0.0
0.1562,0.2854,0.265,0.709,0.2131,0.3582,0.0
0.1947,0.784,0.095,0.874,0.576,-0.443,0.0
0.1099,0.3552,0.9434,0.623,0.7725,-0.11444,0.0
0.1338,0.868,0.2172,0.634,0.3105,0.4365,0.0
0.2634,0.9917,0.05048,0.2507,0.4795,-0.4824,0.0
0.1793,0.1124,0.8535,0.734,0.9824,-0.4543,0.0
0.1664,0.1812,0.509,0.4824,0.9272,-0.06744,0.0
0.357,0.901,0.01987,0.2551,0.555,0.268,0.0
0.2593,0.715,0.9966,0.4792,0.118,-0.07825,0.0
0.1384,0.739,0.6157,0.54,0.1569,0.07544,0.0
0.179,0.1259,0.681,0.9785,0.923,0.3843,0.0
0.11597,0.2866,0.9185,0.3447,0.2559,-0.01252,0.0
0.1852,0.03998,0.6553,0.6597,0.7485,-0.1458,0.0
0.3716,0.5977,0.02489,0.8833,0.552,0.003525,0.0
0.1531,0.2515,0.5513,0.4558,0.691,-0.04843,0.0
0.2474,0.801,0.856,0.2153,0.961,-0.4365,0.0
0.1261,0.7344,0.4976,0.9775,0.5947,-0.4429,0.0
0.1121,0.9033,0.3545,0.5195,0.683,0.1892,0.0
0.1454,0.4307,0.4856,0.359,0.6553,0.1292,0.0
0.2457,0.6934,0.0599,0.317,0.2556,-0.1126,0.0
