like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.1285,0.565,0.5806,0.4346,0.53,0.09937,0.0
0.2954,0.4941,0.93,0.437,0.7075,0.3596,0.0
-0.259,0.6587,0.07825,0.2964,0.8364,-0.4336,0.0
-0.501,0.05356,0.6074,0.584,0.2947,0.1893,0.0
-0.1145,0.11816,0.2478,0.846,0.3086,0.10254,0.0
0.6846,0.7705,0.8,0.2153,0.412,-0.1261,0.0
0.3887,0.849,0.561,0.2208,0.257,0.4243,0.0
-0.481,0.4268,0.2776,0.79,0.5615,-0.2041,0.0
0.2778,0.945,0.482,0.544,0.288,0.03137,0.0
-0.3506,0.2834,0.2096,0.6167,0.7954,-0.175,0.0
-0.1683,0.3503,0.7627,0.3857,0.86,-0.269,0.0
-0.5146,0.594,0.1952,0.6035,0.581,-0.3206,0.0
-0.10925,0.544,0.4502,0.286,0.4558,-0.2876,0.0
-0.3623,0.09485,0.7754,0.3042,0.4194,-0.4707,0.0
-0.2502,0.05377,0.02753,0.5015,0.1621,-0.4624,0.0
-0.4119,0.833,0.2563,0.7485,0.7544,-0.4924,0.0
-0.5,0.2352,0.5767,0.541,0.1533,0.141,0.0
0.957,0.8335,0.952,0.2367,0.5596,-0.4043,0.0
-0.1565,0.0984,0.3428,0.8853,0.1375,0.4607,0.0
-0.1542,0.511,0.4468,0.7666,0.1427,-0.4707,0.0
1.244,0.9844,0.975,0.8677,0.10675,-0.1365,0.0
-0.4016,0.1665,0.418,0.906,0.666,0.0974,0.0
0.2068,0.472,0.8486,0.8364,0.555,-0.4697,0.0
0.2798,0.612,0.643,0.9375,0.4143,0.3115,0.0
0.6416,0.713,0.8345,0.8574,0.219,0.11145,0.0
-0.508,0.215,0.5283,0.2048,0.2913,0.386,0.0
-0.419,0.15,0.4978,0.824,0.923,0.03928,0.0
-0.3733,0.1266,0.5215,0.718,0.9443,-0.304,0.0
0.001573,0.5127,0.548,0.4604,0.1881,0.06097,0.0
-0.02238,0.6333,0.0361,0.629,0.575,0.1531,0.0
-0.4724,0.33,0.285,0.879,0.4417,0.3909,0.0
-0.433,0.25,0.8267,0.4478,0.8213,-0.077,0.0
-0.1058,0.4207,0.06915,0.2864,0.9004,0.4106,0.0
-0.12445,0.3418,0.937,0.4287,0.4055,-0.1654,0.0
-0.4475,0.346,0.3835,0.4102,0.9946,-0.4207,0.0
0.2264,0.984,0.4568,0.2201,0.8413,0.3533,0.0
0.879,0.9165,0.8105,0.4973,0.1655,-0.2988,0.0
-0.4646,0.3394,0.37,0.338,0.4272,0.4075,0.0
-0.02719,0.608,0.03812,0.9946,0.829,-0.349,0.0
0.05197,0.396,0.961,0.3188,0.10876,-0.2175,0.0
0.702,0.6675,0.997,0.4678,0.4421,0.4258,0.0
-0.12054,0.3865,0.688,0.5566,0.3115,0.3354,0.0
1.035,0.8887,0.9463,0.9272,0.4077,-0.2023,0.0
0.659,0.9453,0.663,0.879,0.6245,0.1945,0.0
0.2869,0.5405,0.769,0.641,0.7544,0.4604,0.0
-0.06476,0.497,0.518,0.2081,0.3928,-0.1082,0.0
-0.0386,0.1306,0.1714,0.9146,0.793,-0.2051,0.0
0.3547,0.5024,0.9863,0.4563,0.409,-0.321,0.0
-0.1857,0.434,0.5083,0.68,0.5786,0.02959,0.0
-0.4702,0.2412,0.3787,0.644,0.7593,-0.2937,0.0
-0.2311,0.1378,0.3057,0.8755,0.7236,0.3171,0.0
-0.0758,0.406,0.6733,0.4973,0.293,-0.3438,0.0
-0.0835,0.396,0.6943,0.933,0.772,-0.4497,0.0
-0.4744,0.3186,0.3655,0.911,0.9727,-0.00838,0.0
0.3528,0.8706,0.53,0.651,0.1569,-0.4768,0.0
0.5957,0.02005,0.8857,0.6377,0.7275,0.2966,0.0
-0.393,0.44,0.3574,0.2303,0.839,0.2274,0.0
-0.01933,0.7915,0.401,0.8647,0.2563,0.4495,0.0
-0.5444,0.1815,0.9077,0.5923,0.3088,-0.1227,0.0
0.401,0.1078,0.02914,0.4773,0.5693,0.0601,0.0
0.253,0.04333,0.6226,0.6035,0.984,0.1205,0.0
-0.2393,0.3086,0.1398,0.7407,0.777,0.49,0.0
-0.1981,0.593,0.0701,0.879,0.9653,-0.1732,0.0
0.10205,0.7427,0.0211,0.639,0.6934,-0.4194,0.0
1.027,0.9067,0.922,0.6406,0.5254,-0.2382,0.0
-0.525,0.2045,0.7285,0.6626,0.2172,0.03026,0.0
-0.1195,0.4802,0.4963,0.2247,0.7334,-0.4849,0.0
0.2617,0.6006,0.645,0.2173,0.61,0.474,0.0
0.2024,0.6724,0.538,0.7764,0.4236,-0.3198,0.0
-0.5063,0.1426,0.8037,0.2415,0.5693,0.1482,0.0
0.009285,0.42,0.7485,0.4531,0.3938,-0.0943,0.0
-0.5073,0.573,0.226,0.4697,0.442,0.10126,0.0
0.09283,0.11316,0.11285,0.2527,0.1022,-0.3916,0.0
-0.1906,0.3694,0.6406,0.962,0.357,-0.2316,0.0
0.01396,0.4165,0.7783,0.3833,0.4636,0.357,0.0
-0.0871,0.357,0.908,0.6875,0.744,-0.1196,0.0
0.275,0.656,0.596,0.6353,0.726,0.05338,0.0
-0.1902,0.3176,0.9873,0.7925,0.51,0.2075,0.0
-0.2214,0.974,0.05817,0.6787,0.4897,0.4692,0.0
-0.5186,0.644,0.2113,0.3708,0.4211,0.03418,0.0
-0.4607,0.2566,0.635,0.853,0.7236,0.189,0.0
0.3975,0.8755,0.551,0.4314,0.6006,-0.2803,0.0
0.04562,0.5586,0.5273,0.9673,0.373,-0.349,0.0
0.0854,0.4626,0.7173,0.2496,0.69,0.08875,0.0
-0.4807,0.986,0.2222,0.6294,0.6074,-0.04037,0.0
