like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.774,0.9727,0.6855,0.6,0.742,0.4758,0.0
0.0995,0.063,0.8765,0.7266,0.674,-0.3943,0.0
0.12384,0.635,0.3035,0.3364,0.6323,0.487,0.0
-0.01654,0.4124,0.1704,0.3855,0.462,0.2426,0.0
0.00793,0.7075,0.1901,0.469,0.699,0.02325,0.0
0.152,0.0971,0.0973,0.6704,0.1893,-0.3667,0.0
0.00857,0.568,0.1936,0.8145,0.326,0.1515,0.0
0.081,0.4683,0.06494,0.485,0.824,0.134,0.0
0.293,0.8125,0.4165,0.3972,0.3855,-0.003576,0.0
1.206,0.8896,0.9834,0.8286,0.1034,-0.2263,0.0
-0.00461,0.05978,0.94,0.6025,0.2196,0.3562,0.0
0.286,0.4636,0.627,0.2272,0.342,-0.2507,0.0
0.2296,0.985,0.351,0.808,0.1349,0.4397,0.0
1.135,0.91,0.926,0.4858,0.6235,-0.11896,0.0
0.3135,0.485,0.647,0.2367,0.2578,-0.2306,0.0
0.4595,0.5576,0.794,0.891,0.4336,-0.1772,0.0
0.05798,0.986,0.237,0.7197,0.3809,-5.43e-05,0.0
0.12164,0.12024,0.09375,0.3818,0.883,-0.4836,0.0
0.419,0.5884,0.6816,0.7007,0.7773,0.3032,0.0
0.3337,0.5767,0.5615,0.7017,0.9937,0.06137,0.0
0.3938,0.7344,0.526,0.8843,0.794,-0.3186,0.0
0.1653,0.3115,0.9287,0.553,0.5312,-0.0375,0.0
0.0395,0.235,0.5137,0.5884,0.2068,-0.2145,0.0
0.0215,0.2336,0.4285,0.3154,0.4927,0.1232,0.0
0.701,0.869,0.702,0.5225,0.634,0.162,0.0
0.4016,0.884,0.4797,0.74,0.793,-0.1895,0.0
-0.02185,0.7188,0.1368,0.4824,0.944,0.309,0.0
-0.005062,0.1761,0.7437,0.5425,0.662,0.2903,0.0
0.1411,0.921,0.2957,0.5005,0.526,0.03195,0.0
0.004887,0.1865,0.7017,0.734,0.2306,0.009415,0.0
0.319,0.8774,0.4219,0.897,0.994,-0.2905,0.0
0.0348,0.2656,0.3896,0.3098,0.717,-0.3464,0.0
0.1484,0.3113,0.744,0.6694,0.4988,-0.0851,0.0
0.3806,0.4893,0.8013,0.4902,0.826,-0.1018,0.0
0.1508,0.3008,0.972,0.2489,0.989,0.339,0.0
1.196,0.969,0.8965,0.5767,0.72,-0.331,0.0
0.2438,0.11426,0.053,0.2537,0.8223,0.4014,0.0
0.4714,0.8677,0.5356,0.5396,0.35,-0.1699,0.0
-0.0376,0.1294,0.9653,0.421,0.49,0.028,0.0
-0.02724,0.296,0.193,0.779,0.4236,0.1489,0.0
-0.012115,0.1749,0.887,0.9175,0.523,0.0749,0.0
0.2018,0.586,0.3884,0.2213,0.4211,0.03485,0.0
0.0973,0.2705,0.72,0.3992,0.4158,-0.2489,0.0
0.2318,0.3655,0.8403,0.3066,0.2177,-0.0396,0.0
0.5625,0.6177,0.8457,0.9316,0.6484,0.3577,0.0
-0.00849,0.252,0.127,0.4348,0.746,-0.414,0.0
1.391,0.9556,0.995,0.506,0.1259,-0.1222,0.0
0.06104,0.2996,0.0774,0.584,0.2488,-0.437,0.0
0.0626,0.66,0.2458,0.3865,0.346,0.4497,0.0
-0.02934,0.207,0.1852,0.627,0.677,-0.358,0.0
0.2324,0.3904,0.6997,0.657,0.3274,0.2715,0.0
0.0732,0.646,0.2563,0.95,0.617,0.342,0.0
0.5933,0.7236,0.729,0.5386,0.534,-0.3398,0.0
0.02531,0.04358,0.04544,0.652,0.1681,0.4329,0.0
0.06604,0.2432,0.8276,0.9917,0.1394,-0.2267,0.0
-0.002766,0.1897,0.996,0.913,0.4019,0.1848,0.0
0.5645,0.637,0.805,0.4778,0.2969,-0.3232,0.0
0.0611,0.9595,0.0612,0.825,0.362,-0.1133,0.0
0.619,0.943,0.603,0.415,0.9424,-0.2869,0.0
0.3965,0.4585,0.967,0.24,0.8687,0.3242,0.0
0.2196,0.1901,0.0322,0.97,0.664,-0.4495,0.0
0.004646,0.1926,0.9136,0.8765,0.5933,-0.284,0.0
0.02298,0.5483,0.2112,0.2852,0.3706,-0.2656,0.0
0.1942,0.8125,0.3428,0.783,0.5522,0.373,0.0
-0.01701,0.6074,0.1315,0.4932,0.855,0.493,0.0
0.6685,0.9775,0.616,0.5317,0.3733,-0.4219,0.0
-0.0233,0.77,0.1451,0.6577,0.8433,0.2869,0.0
0.2499,0.3994,0.7344,0.259,0.7266,0.4612,0.0
-0.01582,0.1548,0.695,0.397,0.4912,0.215,0.0
0.2039,0.563,0.3987,0.4011,0.652,-0.0616,0.0
