like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.311,0.1327,0.865,0.376,0.5127,0.0651,0.0
0.8823,0.657,0.381,0.612,0.7573,0.4043,0.0
0.303,0.0589,0.1735,0.316,0.34,-0.2397,0.0
1.062,0.7637,0.412,0.896,0.6973,-0.11554,0.0
0.847,0.4324,0.4944,0.687,0.4397,-0.278,0.0
1.149,0.7046,0.4526,0.8433,0.941,-0.4001,0.0
0.3245,0.1151,0.8,0.326,0.3726,-0.3784,0.0
1.08,0.5527,0.505,0.4321,0.681,-0.06464,0.0
0.448,0.282,0.3262,0.727,0.822,0.3506,0.0
0.5566,0.256,0.8887,0.4023,0.648,0.301,0.0
0.322,0.1349,0.8184,0.319,0.616,-0.408,0.0
0.409,0.38,0.211,0.74,0.8516,-0.066,0.0
1.897,0.6045,0.9854,0.8657,0.546,-0.337,0.0
2.611,0.895,0.955,0.328,0.591,0.321,0.0
0.3123,0.14,0.8813,0.613,0.5083,-0.2084,0.0
1.251,0.722,0.4875,0.933,0.694,0.421,0.0
0.6963,0.293,0.951,0.2244,0.3125,-0.2893,0.0
0.2576,0.0864,0.6533,0.6587,0.9194,0.3936,0.0
1.438,0.622,0.6206,0.2156,0.8936,0.00724,0.0
0.951,0.693,0.395,0.5093,0.775,0.2944,0.0
0.5767,0.523,0.02948,0.2993,0.4028,0.275,0.0
0.5586,0.4277,0.314,0.405,0.2544,0.456,0.0
1.154,0.4526,0.72,0.837,0.6245,0.05127,0.0
0.3694,0.1252,0.1543,0.8735,0.8364,-0.3425,0.0
0.3726,0.3171,0.1157,0.625,0.1226,0.07825,0.0
0.4307,0.4048,0.2247,0.7305,0.8613,-0.2605,0.0
0.4968,0.3965,0.285,0.7983,0.4187,0.321,0.0
1.175,0.671,0.4758,0.213,0.13,-0.1015,0.0
2.658,0.947,0.9023,0.7847,0.1842,-0.2073,0.0
0.598,0.2878,0.582,0.8887,0.2996,-0.0657,0.0
1.115,0.4182,0.8086,0.7056,0.929,-0.2783,0.0
