like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.623,0.736,0.2803,0.7036,0.121,0.156,0.0
0.4966,0.3337,0.3618,0.2908,0.621,-0.32,0.0
0.8306,0.4004,0.5747,0.5015,0.4668,0.3262,0.0
1.201,0.979,0.4312,0.916,0.2866,-0.0222,0.0
0.3765,0.546,0.02898,0.39,0.1608,0.0708,0.0
0.883,0.5854,0.4175,0.9756,0.1255,-0.2522,0.0
1.082,0.05215,0.5073,0.7764,0.725,0.285,0.0
0.767,0.3328,0.728,0.2491,0.488,-0.071,0.0
0.282,0.1952,0.2898,0.4019,0.9565,-0.1925,0.0
0.4592,0.0191,0.3481,0.7603,0.2996,-0.3486,0.0
0.5493,0.3552,0.3828,0.3892,0.465,-0.2328,0.0
0.3552,0.4258,0.04813,0.964,0.6377,0.4163,0.0
1.22,0.7437,0.4946,0.9287,0.5776,-0.06396,0.0
0.5117,0.2313,0.9214,0.8335,0.5503,-0.1427,0.0
0.3127,0.1641,0.425,0.5615,0.1901,-0.4001,0.0
0.584,0.7036,0.268,0.2534,0.1798,-0.007763,0.0
0.481,0.841,0.2208,0.3022,0.9766,-0.3457,0.0
0.669,0.361,0.4834,0.958,0.395,-0.2164,0.0
1.599,0.647,0.749,0.4001,0.989,-0.313,0.0
0.2334,0.1709,0.2157,0.6895,0.4312,-0.2578,0.0
0.4294,0.4238,0.2512,0.3455,0.2349,0.2238,0.0
1.423,0.9077,0.512,0.4753,0.1669,-0.06885,0.0
0.529,0.9707,0.2372,0.2551,0.9697,0.3484,0.0
1.0205,0.572,0.4949,0.6772,0.10175,0.0882,0.0
0.4312,0.505,0.2275,0.802,0.8916,0.3293,0.0
2.11,0.725,0.943,0.7363,0.5674,0.3052,0.0
0.2708,0.0597,0.2717,0.5444,0.1696,-0.301,0.0
0.4639,0.315,0.3547,0.2664,0.3506,-0.1206,0.0
1.251,0.921,0.456,0.7104,0.5815,-0.05396,0.0
0.4465,0.3953,0.2747,0.7563,0.3564,-0.461,0.0
0.2075,0.02972,0.1298,0.6416,0.11194,-0.05173,0.0
0.886,0.01416,0.7334,0.31,0.407,-0.2957,0.0
0.3462,0.4011,0.02548,0.7515,0.801,-0.05692,0.0
2.0,0.66,0.9966,0.805,0.6514,-0.1726,0.0
1.144,0.941,0.4211,0.27,0.6567,0.04614,0.0
0.3718,0.848,0.174,0.874,0.66,-0.4321,0.0
0.3057,0.7485,0.0692,0.6865,0.767,0.223,0.0
0.8135,0.4678,0.4585,0.423,0.12445,-0.02893,0.0
0.2468,0.1158,0.3057,0.9927,0.8354,0.426,0.0
0.3608,0.1588,0.03778,0.9,0.374,-0.283,0.0
1.022,0.421,0.7397,0.8384,0.1542,-0.35,0.0
0.825,0.3464,0.765,0.5596,0.2216,-0.3826,0.0
0.2888,0.925,0.0704,0.7944,0.1671,-0.301,0.0
0.6016,0.2693,0.7603,0.834,0.319,-0.3218,0.0
0.3599,0.1692,0.875,0.3398,0.8433,0.06616,0.0
0.3455,0.1589,0.785,0.767,0.332,-0.1926,0.0
2.041,0.718,0.9067,0.66,0.6787,-0.386,0.0
0.8145,0.7007,0.3545,0.3137,0.2388,-0.0936,0.0
0.3833,0.7427,0.03033,0.2822,0.5503,-0.1298,0.0
0.3926,0.903,0.185,0.3652,0.2854,-0.02753,0.0
1.022,0.7056,0.4307,0.7593,0.2365,-0.3357,0.0
2.367,0.9307,0.819,0.686,0.652,0.1404,0.0
1.146,0.4558,0.7773,0.853,0.8506,-0.1342,0.0
0.4739,0.2988,0.3887,0.4036,0.1755,0.1703,0.0
2.816,0.996,0.902,0.373,0.7476,-0.0557,0.0
0.6255,0.817,0.2751,0.4773,0.811,0.2737,0.0
0.1389,0.0756,0.1412,0.3767,0.4084,0.01171,0.0
0.791,0.05304,0.10925,0.4648,0.6064,0.4995,0.0
1.494,0.6226,0.723,0.4397,0.1769,0.2164,0.0
