like1,parKperc,parKb,parKe,parCqq,parBias,chain
1.698,0.993,0.7734,0.9556,0.6445,0.3196,0.0
0.2737,0.05804,0.7466,0.2261,0.4153,0.0125,0.0
0.465,0.6455,0.3604,0.704,0.7324,-0.2725,0.0
0.9385,0.04877,0.8657,0.4177,0.6396,0.1375,0.0
0.2915,0.6904,0.2725,0.2255,0.8047,0.3623,0.0
0.08014,0.1774,0.691,0.8726,0.8037,-0.4426,0.0
-0.02437,0.1475,0.2218,0.961,0.3733,0.11285,0.0
1.013,0.83,0.579,0.5454,0.3599,0.1076,0.0
1.193,0.8257,0.671,0.664,0.784,-0.3674,0.0
0.1365,0.623,0.2094,0.9697,0.1487,0.0834,0.0
0.0549,0.01255,0.4849,0.8623,0.1328,-0.3203,0.0
0.1571,0.2622,0.4116,0.6772,0.8584,-0.3608,0.0
0.1018,0.5415,0.0195,0.2417,0.759,-0.3438,0.0
0.004868,0.1356,0.702,0.2236,0.54,0.07825,0.0
0.7983,0.4753,0.821,0.885,0.616,-0.2102,0.0
0.10864,0.10583,0.0102,0.944,0.647,0.4512,0.0
0.995,0.565,0.8394,0.8276,0.8706,0.002754,0.0
1.456,0.946,0.7114,0.3508,0.7505,-0.1769,0.0
0.2255,0.9883,0.2258,0.916,0.1885,-0.1757,0.0
0.007397,0.1729,0.3464,0.609,0.1151,-0.0728,0.0
0.31,0.258,0.9307,0.368,0.2632,-0.3784,0.0
0.3088,0.3335,0.4734,0.3162,0.738,0.03577,0.0
-0.006588,0.8037,0.07196,0.5723,0.288,-0.1748,0.0
0.1333,0.1227,0.02036,0.464,0.9688,-0.0748,0.0
0.877,0.571,0.71,0.7183,0.1699,0.01499,0.0
0.07587,0.1824,0.0731,0.8477,0.3389,0.2462,0.0
0.11993,0.667,0.1975,0.456,0.5815,-0.3022,0.0
0.2573,0.3528,0.384,0.664,0.92,0.0628,0.0
0.1891,0.08026,0.5356,0.861,0.9336,0.2035,0.0
0.5264,0.01007,0.01517,0.969,0.3357,0.05167,0.0
0.627,0.03476,0.03317,0.76,0.4695,-0.1172,0.0
0.4006,0.3086,0.7627,0.2058,0.2666,-0.1298,0.0
1.266,0.8677,0.678,0.682,0.4773,-0.2732,0.0
0.987,0.7266,0.626,0.771,0.1252,-0.1554,0.0
1.478,0.8657,0.7837,0.416,0.6294,0.4375,0.0
0.1218,0.1936,0.796,0.455,0.527,0.2097,0.0
0.1833,0.1531,0.02655,0.2189,0.4666,-0.1456,0.0
0.383,0.294,0.834,0.63,0.7524,0.03482,0.0
-0.01697,0.5366,0.10126,0.8003,0.9155,-0.0664,0.0
1.237,0.9565,0.6157,0.5303,0.1713,-0.3145,0.0
0.808,0.8423,0.4734,0.5312,0.266,-0.09766,0.0
0.0673,0.2327,0.3335,0.8315,0.193,-0.2228,0.0
1.249,0.6343,0.931,0.8374,0.9897,-0.2188,0.0
