like1,parKperc,parKb,parKe,parCqq,parBias,chain
1.403,0.7485,0.7,0.6357,0.1427,0.2091,0.0
0.3022,0.9917,0.01633,0.7075,0.744,-0.3643,0.0
1.119,0.04065,0.649,0.251,0.9053,0.445,0.0
1.615,0.6694,0.957,0.9272,0.508,0.4922,0.0
0.5073,0.1746,0.07513,0.4883,0.9463,0.07806,0.0
2.057,0.901,0.863,0.652,0.6025,-0.04807,0.0
0.3018,0.263,0.774,0.4753,0.3193,-0.317,0.0
2.256,0.982,0.877,0.9365,0.3525,-0.03568,0.0
0.2052,0.7573,0.2117,0.965,0.3315,0.385,0.0
0.3772,0.0635,0.8003,0.3574,0.799,0.3308,0.0
1.496,0.689,0.817,0.2847,0.3667,0.1648,0.0
0.259,0.498,0.1567,0.353,0.7183,0.183,0.0
0.9595,0.946,0.4524,0.82,0.912,-0.1713,0.0
0.5674,0.1335,0.05188,0.3237,0.962,-0.125,0.0
0.291,0.3394,0.2947,0.4187,0.686,0.4019,0.0
0.3713,0.426,0.0898,0.2808,0.3962,0.1344,0.0
0.4182,0.5933,0.0485,0.4304,0.9976,0.3398,0.0
0.2766,0.2313,0.4153,0.2009,0.8916,-0.0161,0.0
0.2365,0.2245,0.669,0.523,0.3618,-0.4856,0.0
0.3726,0.4807,0.07794,0.847,0.945,-0.103,0.0
0.173,0.0618,0.2029,0.3025,0.549,0.362,0.0
0.206,0.6553,0.1902,0.266,0.186,0.1876,0.0
0.3438,0.714,0.2915,0.6553,0.131,0.265,0.0
0.3018,0.3323,0.2256,0.5356,0.1576,-0.4263,0.0
2.033,0.799,0.946,0.543,0.565,-0.4534,0.0
0.804,0.668,0.482,0.8296,0.1626,-0.3425,0.0
1.551,0.8545,0.685,0.691,0.787,0.0663,0.0
0.9165,0.8364,0.4602,0.4802,0.8916,-0.446,0.0
1.554,0.886,0.677,0.2688,0.947,0.3918,0.0
0.2979,0.1868,0.3682,0.9883,0.6807,0.3354,0.0
0.645,0.4114,0.711,0.6543,0.416,0.215,0.0
0.3145,0.3416,0.1781,0.767,0.8945,-0.3381,0.0
0.2551,0.9443,0.2402,0.3022,0.5586,0.4412,0.0
0.1968,0.1223,0.744,0.2593,0.6294,-0.3037,0.0
0.811,0.4246,0.8657,0.3308,0.211,-0.128,0.0
0.4429,0.4307,0.02654,0.3806,0.3955,-0.0422,0.0
1.437,0.605,0.938,0.6216,0.2412,0.0857,0.0
1.64,0.6724,0.9194,0.9746,0.517,-0.3464,0.0
0.842,0.4358,0.8794,0.627,0.837,0.2435,0.0
0.683,0.4739,0.5825,0.2493,0.7163,-0.3943,0.0
0.3318,0.1354,0.372,0.3586,0.3618,-0.1742,0.0
0.258,0.6675,0.0964,0.6934,0.3696,0.1699,0.0
0.06616,0.06006,0.1492,0.5894,0.3252,0.386,0.0
0.2654,0.2527,0.7026,0.7544,0.8906,0.3987,0.0
0.2808,0.623,0.0928,0.9976,0.1829,-0.3608,0.0
0.2148,0.1919,0.621,0.906,0.3242,-0.08264,0.0
