like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.2443,0.10455,0.6055,0.818,0.6885,0.4111,0.0
1.016,0.618,0.5664,0.939,0.8706,0.09174,0.0
0.2593,0.1158,0.6367,0.576,0.7427,-0.1854,0.0
0.6,0.771,0.2913,0.4375,0.547,-0.1843,0.0
0.415,0.9478,0.2008,0.4302,0.857,-0.4202,0.0
0.4648,0.2227,0.9805,0.398,0.565,-0.1498,0.0
0.4048,0.1968,0.9253,0.71,0.4375,-0.236,0.0
0.4983,0.755,0.2473,0.639,0.598,0.0599,0.0
0.557,0.341,0.4763,0.7617,0.962,0.4148,0.0
0.614,0.759,0.3005,0.761,0.714,0.2334,0.0
0.9795,0.6606,0.5103,0.3384,0.4436,-0.2856,0.0
0.4062,0.1981,0.9434,0.749,0.4893,0.10236,0.0
0.3066,0.1149,0.0612,0.2534,0.1262,-0.3687,0.0
1.107,0.4968,0.888,0.3901,0.539,0.2905,0.0
0.891,0.607,0.4888,0.598,0.8696,0.2974,0.0
0.3792,0.3313,0.2925,0.9053,0.52,0.105,0.0
0.2146,0.3225,0.0921,0.9473,0.5356,-0.3843,0.0
1.655,0.7363,0.933,0.663,0.1477,0.1522,0.0
0.1545,0.08246,0.02333,0.9585,0.8555,0.3403,0.0
0.75,0.986,0.3362,0.522,0.4795,0.3733,0.0
1.425,0.652,0.8794,0.4824,0.827,0.00799,0.0
1.358,0.845,0.634,0.4604,0.9326,-0.2095,0.0
0.7266,0.731,0.357,0.571,0.639,0.3918,0.0
0.213,0.01884,0.1096,0.3787,0.1318,-0.05103,0.0
1.167,0.5415,0.8228,0.3604,0.2852,-0.407,0.0
0.2349,0.5034,0.0948,0.6504,0.1488,-0.266,0.0
0.3674,0.2412,0.3967,0.8384,0.878,-0.2059,0.0
0.3123,0.326,0.2284,0.652,0.4001,-0.3645,0.0
1.791,0.9385,0.7964,0.8843,0.2239,0.2325,0.0
0.9097,0.744,0.4402,0.8823,0.4407,-0.07495,0.0
0.2515,0.1088,0.0868,0.6367,0.2241,0.2151,0.0
0.4321,0.694,0.02861,0.2861,0.5093,-0.438,0.0
0.2793,0.413,0.1646,0.4846,0.4258,0.1428,0.0
0.1709,0.0931,0.3672,0.4163,0.6426,0.2737,0.0
1.547,0.6655,0.9736,0.2976,0.5537,0.3687,0.0
0.53,0.666,0.2727,0.4883,0.431,0.4644,0.0
1.694,0.03635,0.752,0.895,0.945,0.00518,0.0
0.3538,0.608,0.1832,0.4673,0.3398,-0.3118,0.0
0.266,0.7466,0.05902,0.7505,0.9897,-0.1827,0.0
0.263,0.2357,0.2393,0.9595,0.921,0.217,0.0
2.02,0.877,0.952,0.4573,0.767,-0.2401,0.0
1.084,0.744,0.5356,0.9937,0.1157,0.2394,0.0
1.69,0.8022,0.8677,0.7515,0.5967,0.08386,0.0
1.796,0.8945,0.828,0.3486,0.1353,-0.3047,0.0
0.8325,0.3723,0.9326,0.8735,0.309,0.11395,0.0
0.29,0.2678,0.01047,0.2289,0.641,0.3113,0.0
0.2532,0.10645,0.763,0.2966,0.373,-0.1351,0.0
1.867,0.787,0.9927,0.7666,0.3796,-0.01898,0.0
0.2559,0.11414,0.6235,0.8335,0.3542,0.3533,0.0
0.1887,0.07495,0.453,0.7734,0.1674,-0.2334,0.0
0.4272,0.842,0.2103,0.595,0.753,0.3098,0.0
0.7036,0.5957,0.3782,0.792,0.438,-0.05576,0.0
0.2333,0.07404,0.2874,0.4812,0.827,0.3887,0.0
0.988,0.9585,0.4277,0.6387,0.8267,-0.4182,0.0
0.8096,0.4653,0.5557,0.814,0.693,0.1979,0.0
0.368,0.1898,0.6323,0.5605,0.92,-0.0864,0.0
0.8633,0.4834,0.581,0.917,0.8467,-0.1473,0.0
0.3584,0.04987,0.8843,0.725,0.2627,-0.479,0.0
0.4578,0.22,0.9785,0.8354,0.6304,-0.088,0.0
0.915,0.5825,0.5166,0.78,0.7676,-0.443,0.0
1.233,0.8965,0.5513,0.437,0.16,0.1338,0.0
0.44,0.736,0.2197,0.4172,0.1926,-0.2659,0.0
0.4844,0.2559,0.6104,0.4946,0.258,-0.1588,0.0
0.1572,0.07135,0.3262,0.4211,0.3914,-0.2075,0.0
0.387,0.568,0.209,0.9927,0.2446,0.0681,0.0
0.2847,0.565,0.05295,0.2585,0.373,-0.0702,0.0
0.8096,0.3677,0.896,0.723,0.4521,0.1239,0.0
0.4636,0.2233,0.905,0.256,0.411,-0.3577,0.0
1.27,0.623,0.774,0.941,0.2666,-0.3618,0.0
0.2169,0.3418,0.0882,0.7666,0.406,0.2717,0.0
1.524,0.6763,0.933,0.3374,0.4553,0.4097,0.0
1.405,0.971,0.602,0.7314,0.2817,0.0834,0.0
0.442,0.288,0.4158,0.423,0.5728,-0.322,0.0
0.237,0.4744,0.1072,0.596,0.4873,0.0239,0.0
0.2517,0.26,0.199,0.8037,0.3892,-0.3516,0.0
0.4995,0.2947,0.4927,0.8984,0.51,-0.01304,0.0
0.2223,0.3628,0.08093,0.987,0.345,0.332,0.0
1.048,0.826,0.4836,0.2993,0.32,-0.0914,0.0
0.2489,0.1049,0.824,0.436,0.826,0.1536,0.0
0.1776,0.08154,0.4084,0.929,0.6577,0.276,0.0
0.2433,0.4578,0.068,0.3733,0.7964,0.1874,0.0
1.229,0.6035,0.764,0.603,0.534,-0.4001,0.0
0.8286,0.72,0.4055,0.5786,0.5464,-0.2053,0.0
0.3743,0.753,0.1873,0.301,0.957,0.4902,0.0
0.478,0.01654,0.96,0.9624,0.3357,0.3547,0.0
1.017,0.5293,0.667,0.3682,0.585,-0.3882,0.0
1.185,0.59,0.747,0.9097,0.5957,-0.1393,0.0
0.2952,0.1422,0.663,0.932,0.1653,-0.4688,0.0
1.622,0.776,0.8477,0.2478,0.3613,-0.3892,0.0
1.314,0.905,0.5815,0.8623,0.438,-0.4922,0.0
0.2756,0.4465,0.1528,0.3755,0.2744,-0.0093,0.0
1.011,0.89,0.4543,0.6387,0.884,0.4094,0.0
0.2786,0.565,0.1382,0.2167,0.774,0.3008,0.0
0.2494,0.5195,0.1171,0.981,0.2615,0.3958,0.0
0.299,0.8867,0.01079,0.8696,0.65,-0.4094,0.0
0.4944,0.2659,0.592,0.5347,0.667,0.2278,0.0
2.127,0.8784,0.9966,0.809,0.7935,-0.224,0.0
1.518,0.809,0.757,0.286,0.8257,0.4236,0.0
0.261,0.1175,0.9595,0.9023,0.566,-0.1193,0.0
1.917,0.8135,0.977,0.396,0.4414,-0.4766,0.0
0.8506,0.809,0.3977,0.2866,0.701,0.0572,0.0
0.2786,0.2668,0.05344,0.8994,0.391,-0.2766,0.0
1.073,0.509,0.7915,0.426,0.705,0.0542,0.0
0.3667,0.1853,0.686,0.6274,0.723,-0.00299,0.0
0.382,0.2249,0.4712,0.8965,0.4934,-0.3364,0.0
0.3018,0.251,0.277,0.305,0.4915,-0.4941,0.0
0.7524,0.4329,0.543,0.3557,0.426,-0.002312,0.0
1.408,0.6543,0.8584,0.4058,0.4167,-0.0673,0.0
0.3494,0.778,0.01614,0.984,0.8364,0.2081,0.0
0.2155,0.2081,0.1727,0.7314,0.934,0.02174,0.0
1.415,0.722,0.7686,0.677,0.406,0.02081,0.0
0.8984,0.6616,0.4656,0.9517,0.6123,0.2695,0.0
0.848,0.5576,0.4893,0.958,0.2238,-0.06696,0.0
0.5146,0.3557,0.3984,0.7437,0.4368,-0.4875,0.0
1.062,0.588,0.6304,0.9727,0.631,-0.1963,0.0
0.9927,0.529,0.6475,0.2793,0.133,0.06537,0.0
0.2717,0.477,0.1428,0.885,0.2295,-0.4934,0.0
0.2732,0.1246,0.774,0.6074,0.7837,-0.0463,0.0
0.5347,0.259,0.842,0.4585,0.2311,0.4495,0.0
0.5957,0.3496,0.5034,0.669,0.501,-0.37,0.0
0.3643,0.8223,0.1783,0.656,0.7974,-0.321,0.0
1.118,0.7773,0.5366,0.2625,0.1185,-0.06714,0.0
0.351,0.7617,0.03992,0.7573,0.7515,-0.1627,0.0
0.5366,0.3777,0.3955,0.833,0.676,-0.2603,0.0
0.2019,0.169,0.11847,0.4678,0.746,0.02972,0.0
0.5957,0.355,0.495,0.687,0.1356,-0.1346,0.0
0.618,0.8286,0.2942,0.9185,0.355,-0.1473,0.0
0.5415,0.2551,0.9565,0.6133,0.8022,-0.1863,0.0
1.177,0.5347,0.854,0.4902,0.2131,-0.4092,0.0
1.094,0.75,0.5356,0.4958,0.5996,-0.02051,0.0
1.716,0.9775,0.7373,0.3694,0.7188,0.3457,0.0
0.2996,0.172,0.013374,0.2737,0.9434,-0.03467,0.0
1.182,0.6953,0.623,0.808,0.9897,-0.0707,0.0
1.401,0.7373,0.748,0.3647,0.8594,0.416,0.0
0.931,0.893,0.4185,0.958,0.5737,0.1395,0.0
0.464,0.26,0.5312,0.9824,0.861,-0.4016,0.0
0.2593,0.1765,0.0641,0.428,0.57,-0.01996,0.0
1.416,0.6133,0.95,0.4863,0.4985,-0.1214,0.0
1.464,0.7173,0.808,0.7773,0.3862,-0.2712,0.0
0.9507,0.687,0.4854,0.281,0.1484,0.4253,0.0
0.77,0.981,0.3413,0.929,0.4788,-0.454,0.0
0.6064,0.013855,0.772,0.6733,0.3757,-0.2006,0.0
0.3079,0.6304,0.1532,0.988,0.7817,-0.181,0.0
0.261,0.4429,0.1403,0.966,0.7417,-0.1583,0.0
0.6323,0.512,0.369,0.912,0.1631,-0.3914,0.0
0.939,0.4915,0.647,0.752,0.7476,-0.4607,0.0
1.02,0.4907,0.7563,0.7812,0.9673,-0.3464,0.0
0.4292,0.587,0.2312,0.265,0.487,0.4033,0.0
0.4775,0.925,0.2308,0.6943,0.1477,0.3928,0.0
0.658,0.9497,0.3025,0.978,0.4907,-0.002848,0.0
1.13,0.5264,0.831,0.2032,0.3076,0.4949,0.0
0.541,0.00789,0.7847,0.633,0.3096,0.2766,0.0
0.9795,0.745,0.4766,0.8696,0.4126,0.11993,0.0
0.8145,0.9546,0.3613,0.558,0.4998,-0.2198,0.0
1.495,0.998,0.629,0.3108,0.233,-0.010895,0.0
0.6704,0.317,0.816,0.495,0.2457,-0.3079,0.0
0.5063,0.792,0.2488,0.6274,0.904,0.2202,0.0
0.4312,0.2334,0.567,0.2104,0.5405,-0.3381,0.0
0.7437,0.689,0.372,0.757,0.689,-0.03833,0.0
2.035,0.938,0.898,0.3772,0.14,-0.04904,0.0
0.6494,0.315,0.754,0.9614,0.7495,-0.4124,0.0
0.3877,0.6465,0.2007,0.419,0.669,0.3647,0.0
0.98,0.4229,0.9766,0.897,0.2062,-0.2098,0.0
0.247,0.721,0.0999,0.6016,0.865,0.2228,0.0
2.055,0.948,0.8975,0.8027,0.589,0.03296,0.0
0.3079,0.472,0.1732,0.69,0.978,-0.1702,0.0
0.291,0.4756,0.05063,0.881,0.9653,-0.2522,0.0
0.2443,0.10455,0.61,0.4133,0.8965,0.1622,0.0
0.598,0.5044,0.3533,0.6626,0.822,0.1891,0.0
0.7783,0.5293,0.4626,0.8447,0.74,0.361,0.0
0.5205,0.2471,0.977,0.678,0.5977,0.294,0.0
0.4353,0.711,0.02492,0.657,0.5776,0.49,0.0
0.2023,0.1129,0.2024,0.9937,0.6313,-0.0644,0.0
0.3208,0.7607,0.1553,0.8423,0.3896,-0.4688,0.0
0.4968,0.05527,0.9004,0.2196,0.4526,-0.02885,0.0
