like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
3.617,0.742,0.1699,0.8906,0.9995,-0.685,89.5,1259.0,0.0
10000.0,0.5684,0.4407,0.1581,0.9995,-0.4368,1718.0,217.5,0.0
20.9,0.2942,0.774,0.5635,0.9995,0.8853,689.0,1632.0,0.0
12.67,0.4814,0.762,0.861,0.9995,0.6084,1727.0,1376.0,0.0
10000.0,0.1493,0.1519,0.01357,0.999,-0.754,1199.0,1295.0,0.0
10000.0,0.2397,0.7725,0.2173,0.9995,-0.2974,1150.0,252.0,0.0
10000.0,0.1884,0.6187,0.196,0.9995,0.187,1279.0,610.5,0.0
0.0873,0.0613,0.3162,0.6816,1.0,-0.7256,1534.0,1526.0,0.0
0.9585,0.0959,0.873,0.8623,0.999,-0.5503,1699.0,1083.0,0.0
16.03,0.9873,0.7183,0.9766,0.9995,-0.167,1428.0,1726.0,0.0
13.37,0.34,0.803,0.699,0.9995,0.5312,197.1,1169.0,0.0
11.38,0.1608,0.5176,0.7417,1.0,0.8916,1344.0,607.5,0.0
26.62,0.302,0.981,0.5044,0.999,0.879,1684.0,382.0,0.0
22.39,0.979,0.896,0.8735,1.0,-0.1923,401.0,746.0,0.0
24.8,0.896,0.8037,0.7876,0.999,0.897,861.5,528.5,0.0
2.008,0.05908,0.6475,0.468,1.0,-0.737,274.0,1362.0,0.0
40.38,0.6772,0.1646,0.398,0.9995,0.1392,8.37,653.0,0.0
11.58,0.6323,0.163,0.651,0.9995,0.312,1838.0,1933.0,0.0
16.0,0.902,0.32,0.651,0.999,0.0544,1602.0,385.8,0.0
4.016,0.1109,0.8516,0.6494,0.9995,0.01843,1210.0,1594.0,0.0
27.14,0.1516,0.77,0.3464,0.9995,0.0684,1419.0,1039.0,0.0
91.9,0.8115,0.7466,0.3242,0.999,0.864,455.2,1049.0,0.0
10000.0,0.7466,0.3577,0.1188,1.0,0.5825,81.6,312.8,0.0
10.195,0.3489,0.61,0.624,1.0,-0.6206,1851.0,1682.0,0.0
52.9,0.5557,0.1935,0.336,0.999,0.2,1405.0,349.5,0.0
8.01,0.01557,0.1145,0.7466,1.0,0.8887,968.5,594.5,0.0
23.5,0.979,0.6025,0.6475,1.0,-0.282,909.0,1174.0,0.0
7.89,0.1137,0.976,0.924,1.0,0.7563,976.0,726.5,0.0
20.42,0.7295,0.667,0.682,0.9995,0.5386,788.0,228.5,0.0
10000.0,0.944,0.6826,0.0484,0.999,0.932,1870.0,1309.0,0.0
1.983,0.331,0.1882,0.7886,0.9995,-0.977,1884.0,1351.0,0.0
33.0,0.5645,0.685,0.452,0.9995,-0.8145,1382.0,923.5,0.0
10000.0,0.642,0.2983,0.04117,0.999,0.908,345.5,1001.5,0.0
10000.0,0.9023,0.2314,0.1292,0.9995,0.3987,1203.0,1913.0,0.0
17.28,0.9004,0.543,0.847,0.999,0.5977,1681.0,1038.0,0.0
30.0,0.9033,0.3723,0.4966,0.9995,-0.768,878.5,1430.0,0.0
0.792,0.01857,0.64,0.7925,0.999,0.1948,3.61,43.97,0.0
10000.0,0.4827,0.998,0.01294,0.999,-0.1169,629.0,1994.0,0.0
10000.0,0.476,0.379,0.1647,0.9995,-0.1466,1093.0,1448.0,0.0
10000.0,0.7397,0.8496,0.10925,0.9995,-0.5957,1319.0,1420.0,0.0
10000.0,0.8916,0.9375,0.3171,0.9995,0.6904,456.0,407.0,0.0
3.205,0.1703,0.283,0.638,0.999,-0.614,1647.0,111.9,0.0
28.14,0.3943,0.8354,0.4944,0.999,0.5283,94.3,209.4,0.0
53.5,0.6543,0.25,0.3696,0.999,0.5537,225.5,1327.0,0.0
27.5,0.2146,0.867,0.3582,1.0,-0.662,47.44,1747.0,0.0
14.01,0.5986,0.701,0.97,1.0,0.858,808.5,54.16,0.0
23.27,0.514,0.7183,0.5225,0.999,-0.5703,198.5,732.0,0.0
7.637,0.29,0.2703,0.802,1.0,0.4783,1768.0,946.5,0.0
27.5,0.8857,0.9165,0.6772,1.0,-0.07086,671.0,857.5,0.0
37.2,0.9854,0.3103,0.516,1.0,0.596,1865.0,1317.0,0.0
23.6,0.866,0.6,0.632,0.999,0.2676,1652.0,15.94,0.0
19.52,0.5283,0.4482,0.652,0.9995,0.942,1751.0,292.5,0.0
10000.0,0.4604,0.2076,0.0953,0.9995,-0.516,103.9,1155.0,0.0
12.37,0.4312,0.995,0.757,1.0,-0.1648,524.0,1023.0,0.0
18.77,0.5444,0.634,0.5864,1.0,0.03265,1576.0,1062.0,0.0
3.656,0.1406,0.819,0.8584,0.999,0.2017,226.6,545.5,0.0
86.1,0.3389,0.2822,0.2417,0.9995,-0.03943,776.0,640.5,0.0
18.9,0.7305,0.6685,0.6294,0.9995,-0.864,599.5,252.2,0.0
10000.0,0.5864,0.7256,0.1628,0.9995,0.7666,935.0,127.75,0.0
0.1204,0.09656,0.1893,0.694,1.0,-0.8423,279.5,364.5,0.0
14.1,0.7227,0.5005,0.969,1.0,0.8457,543.0,1476.0,0.0
10000.0,0.519,0.7744,0.2423,0.999,0.849,906.0,1888.0,0.0
17.77,0.422,0.5327,0.519,1.0,-0.4995,1365.0,1215.0,0.0
48.4,0.3303,0.8,0.3118,1.0,-0.965,313.2,45.6,0.0
9.66,0.2915,0.846,0.6606,0.999,-0.3242,1672.0,1394.0,0.0
31.98,0.3374,0.802,0.4067,0.9995,-0.10504,641.5,463.5,0.0
46.56,0.6367,0.1678,0.3708,1.0,0.2452,89.75,68.9,0.0
8.234,0.2056,0.6367,0.8257,0.999,0.5786,1766.0,447.0,0.0
11.87,0.3608,0.7466,0.6436,0.9995,-0.04877,374.8,1389.0,0.0
11.52,0.4,0.686,0.6387,1.0,-0.695,748.5,1005.0,0.0
36.9,0.648,0.2734,0.4236,1.0,0.06012,457.0,748.0,0.0
92.1,0.5566,0.9014,0.2683,0.999,-0.389,1522.0,1586.0,0.0
5.633,0.1276,0.5654,0.8823,0.9995,0.5054,993.0,1211.0,0.0
10000.0,0.874,0.7847,0.06885,0.9995,-0.53,1415.0,1964.0,0.0
11.48,0.583,0.571,0.7036,0.9995,-0.833,285.2,1546.0,0.0
5.266,0.269,0.8,0.8555,1.0,-0.3796,530.5,1643.0,0.0
14.914,0.4346,0.825,0.702,0.999,0.4453,584.5,155.8,0.0
86.06,0.531,0.555,0.2756,0.9995,0.4978,315.5,565.0,0.0
20.58,0.7886,0.9365,0.7676,0.999,-0.999,570.5,1023.0,0.0
10000.0,0.4146,0.524,0.1825,0.999,-0.05426,1735.0,1562.0,0.0
51.78,0.7876,0.5723,0.392,1.0,-0.9385,169.9,1743.0,0.0
10000.0,0.897,0.2917,0.26,0.9995,0.3333,112.44,1893.0,0.0
10000.0,0.04938,0.2715,0.08704,0.9995,-0.8022,964.5,979.0,0.0
69.4,0.9077,0.2091,0.3125,1.0,-0.5474,336.2,1344.0,0.0
11.055,0.5728,0.373,0.7324,0.9995,0.3137,1504.0,1097.0,0.0
14.71,0.1735,0.8745,0.5815,0.9995,0.7856,690.5,458.5,0.0
3.326,0.2241,0.6255,0.877,0.9995,-0.4092,1831.0,816.5,0.0
30.67,0.716,0.755,0.5386,1.0,-0.01624,712.0,1867.0,0.0
10000.0,0.3423,0.664,0.1353,1.0,-0.309,1892.0,371.5,0.0
10.66,0.2356,0.6807,0.6836,0.999,0.4968,1058.0,173.1,0.0
8.484,0.743,0.4067,0.8896,0.9995,-0.08624,1203.0,295.8,0.0
10.125,0.4617,0.875,0.8467,0.9995,-0.2947,1557.0,721.5,0.0
10000.0,0.8745,0.3596,0.2367,1.0,-0.7036,1330.0,352.5,0.0
9.47,0.02095,0.9854,0.555,0.999,0.9556,717.0,22.53,0.0
2.93,0.6685,0.2151,0.996,0.9995,-0.6943,459.5,476.0,0.0
99.25,0.7246,0.771,0.2698,0.9995,-0.6196,895.0,1345.0,0.0
10000.0,0.472,0.5493,0.2198,0.999,-0.301,213.6,347.2,0.0
10000.0,0.5527,0.8667,0.2238,0.9995,0.476,928.5,165.0,0.0
21.03,0.5005,0.7163,0.556,0.9995,7.04e-05,33.88,759.0,0.0
15.58,0.03293,0.3796,0.3435,0.9995,0.753,1597.0,1242.0,0.0
10000.0,0.3428,0.5913,0.07153,0.9995,0.501,880.0,1404.0,0.0
10000.0,0.3684,0.874,0.1208,1.0,0.2389,1823.0,1242.0,0.0
43.72,0.908,0.2979,0.4539,0.9995,0.4397,1309.0,227.1,0.0
13.02,0.2776,0.6875,0.732,1.0,0.7896,524.0,492.8,0.0
1.591,0.4827,0.1073,0.809,0.999,-0.6377,714.0,133.2,0.0
3.725,0.01897,0.4011,0.924,0.9995,0.4934,1421.0,639.5,0.0
