like1,parKperc,parKb,parKe,parCqq,parBias,chain
-0.1232,0.0644,0.509,0.3672,0.2379,0.4521,0.0
-0.1556,0.3933,0.481,0.996,0.5273,0.3105,0.0
-0.1902,0.2085,0.8896,0.3213,0.9434,0.1113,0.0
-0.1313,0.1392,0.7065,0.39,0.2039,0.2385,0.0
-0.09656,0.05588,0.1122,0.6196,0.56,-0.346,0.0
0.3809,0.007504,0.9834,0.277,0.677,-0.1599,0.0
-0.1545,0.493,0.3862,0.2937,0.7427,0.06027,0.0
-0.1218,0.1621,0.462,0.4287,0.8022,-0.4568,0.0
-0.0635,0.562,0.5586,0.7207,0.8413,-0.4797,0.0
-0.1725,0.3076,0.4104,0.4617,0.2524,-0.2449,0.0
0.3318,0.618,0.02013,0.857,0.554,0.2499,0.0
-0.1246,0.3833,0.683,0.9233,0.3865,-0.3286,0.0
-0.1569,0.444,0.2142,0.664,0.974,-0.2566,0.0
0.0637,0.863,0.554,0.897,0.63,0.1202,0.0
-0.02243,0.0943,0.4795,0.7,0.18,-0.4805,0.0
0.3623,0.5815,0.01253,0.556,0.4207,-0.1498,0.0
-0.1709,0.4695,0.3237,0.3022,0.1599,0.0629,0.0
0.3171,0.906,0.02054,0.354,0.2291,0.1622,0.0
0.207,0.3193,0.0467,0.3333,0.757,0.1104,0.0
-0.1514,0.8374,0.3154,0.603,0.3486,-0.3123,0.0
-0.005707,0.6245,0.611,0.986,0.843,-0.402,0.0
0.645,0.01487,0.0371,0.3887,0.9097,0.2979,0.0
-0.1067,0.4058,0.714,0.5293,0.843,0.15,0.0
-0.1313,0.3926,0.62,0.247,0.965,0.266,0.0
-0.1227,0.3547,0.8438,0.8516,0.83,-0.2705,0.0
-0.01593,0.3396,0.112,0.5425,0.56,-0.2137,0.0
-0.1818,0.1853,0.847,0.3152,0.4084,-0.1488,0.0
-0.1162,0.0797,0.835,0.3525,0.563,-0.262,0.0
-0.1392,0.4492,0.4805,0.6245,0.2166,0.435,0.0
0.2817,0.9746,0.6836,0.927,0.6533,0.2605,0.0
-0.1329,0.4854,0.4612,0.657,0.734,0.0421,0.0
0.3623,0.5273,0.01141,0.5654,0.2003,0.4885,0.0
-0.11993,0.1323,0.684,0.9043,0.699,0.083,0.0
0.2693,0.771,0.8354,0.4526,0.9473,-0.0823,0.0
