like1,parKperc,parKb,parKe,parCqq,parBias,chain
-0.3794,0.9644,0.1493,0.438,0.526,0.4443,0.0
0.695,0.785,0.4236,0.6865,0.954,-0.1495,0.0
1.879,0.809,0.8315,0.4663,0.2358,-0.387,0.0
0.662,0.409,0.815,0.57,0.3787,-0.2317,0.0
1.106,0.0284,0.345,0.3086,0.858,-0.4998,0.0
-0.0824,0.3865,0.0839,0.73,0.539,-0.2477,0.0
-0.1587,0.0737,0.351,0.9927,0.10474,-0.4475,0.0
-0.1448,0.07043,0.8936,0.2042,0.801,-0.247,0.0
1.518,0.6763,0.8027,0.2404,0.3516,0.0544,0.0
0.2312,0.0373,0.18,0.645,0.557,-0.2035,0.0
-0.3062,0.0818,0.556,0.2108,0.508,-0.3508,0.0
-0.2396,0.2097,0.6245,0.2251,0.326,-0.39,0.0
-0.1131,0.2495,0.6377,0.762,0.4678,0.2255,0.0
0.208,0.0539,0.5635,0.7183,0.787,-0.03958,0.0
0.1814,0.3142,0.04407,0.8364,0.1547,0.08496,0.0
1.829,0.8794,0.76,0.8286,0.5874,0.2499,0.0
-0.0903,0.3494,0.3774,0.7417,0.11304,0.0719,0.0
-0.1285,0.07025,0.1633,0.505,0.8154,0.2074,0.0
-0.401,0.1118,0.9307,0.5083,0.2524,0.2585,0.0
1.557,0.6313,0.934,0.5967,0.486,0.3354,0.0
-0.2756,0.1841,0.968,0.9014,0.9634,0.3606,0.0
2.324,0.891,0.975,0.847,0.925,-0.4385,0.0
-0.0404,0.2751,0.605,0.2196,0.3794,-0.4336,0.0
-0.3765,0.08044,0.869,0.81,0.1484,0.2242,0.0
1.576,0.744,0.7495,0.2307,0.4915,0.03983,0.0
1.286,0.811,0.5874,0.4658,0.642,0.213,0.0
2.037,0.86,0.8623,0.3381,0.8955,-0.438,0.0
-0.2742,0.777,0.1898,0.4365,0.548,-0.1914,0.0
-0.372,0.9146,0.1525,0.3777,0.286,0.4778,0.0
1.134,0.518,0.87,0.4595,0.808,-0.2522,0.0
0.2074,0.8047,0.02028,0.3542,0.2117,0.3713,0.0
1.291,0.59,0.798,0.9985,0.2693,-0.2554,0.0
0.5884,0.583,0.4695,0.5786,0.303,-0.2668,0.0
0.1448,0.768,0.02449,0.912,0.577,0.2369,0.0
1.239,0.9053,0.5366,0.919,0.5728,-0.3882,0.0
1.454,0.76,0.674,0.368,0.1193,-0.3318,0.0
-0.3835,0.1473,0.9917,0.4822,0.5747,0.3464,0.0
1.722,0.01566,0.4155,0.3748,0.9727,-0.0975,0.0
0.3545,0.525,0.4268,0.3015,0.954,0.01447,0.0
0.9395,0.7583,0.499,0.6074,0.9023,0.1531,0.0
-0.1726,0.397,0.2878,0.4822,0.438,-0.052,0.0
-0.1787,0.0853,0.1945,0.895,0.7812,-0.2083,0.0
0.415,0.461,0.509,0.8564,0.1487,0.18,0.0
-0.398,0.06204,0.9585,0.7725,0.2732,-0.3464,0.0
0.0746,0.4958,0.3455,0.745,0.9204,-0.0313,0.0
-0.2067,0.2482,0.4492,0.4075,0.1087,-0.4995,0.0
0.919,0.4485,0.9316,0.8745,0.6313,-0.388,0.0
-0.3523,0.6553,0.131,0.38,0.9175,0.2225,0.0
1.061,0.486,0.93,0.3708,0.562,-0.0177,0.0
0.6323,0.4092,0.785,0.573,0.5874,0.1525,0.0
-0.0383,0.4697,0.3157,0.906,0.4058,-0.3374,0.0
1.7705,0.714,0.919,0.823,0.2441,0.336,0.0
-0.222,0.3367,0.1821,0.5474,0.295,-0.4785,0.0
-0.2346,0.2089,0.6743,0.861,0.9053,0.3657,0.0
1.338,0.55,0.988,0.3572,0.903,0.35,0.0
0.2627,0.3762,0.03015,0.5063,0.405,-0.4456,0.0
-0.2563,0.6934,0.08014,0.5483,0.3628,-0.067,0.0
-0.231,0.466,0.1128,0.808,0.391,0.0848,0.0
-0.1792,0.2164,0.801,0.3252,0.5957,0.1554,0.0
-0.1981,0.1849,0.3018,0.6787,0.65,0.1317,0.0
-0.381,0.9146,0.1472,0.5083,0.5293,0.235,0.0
-0.2473,0.2279,0.3967,0.2625,0.9507,0.2062,0.0
1.134,0.93,0.5044,0.4067,0.2632,-0.0905,0.0
1.231,0.6294,0.695,0.963,0.8447,-0.2473,0.0
1.113,0.53,0.81,0.771,0.644,-0.27,0.0
2.14,0.81,0.993,0.4556,0.678,-0.3896,0.0
-0.369,0.1504,0.811,0.2537,0.6206,-0.1791,0.0
0.314,0.3027,0.03075,0.4521,0.523,-0.06058,0.0
-0.1638,0.211,0.9873,0.84,0.7285,0.3462,0.0
-0.2174,0.1232,0.412,0.3752,0.4,-0.1438,0.0
2.428,0.9287,0.9927,0.8857,0.9805,-0.1997,0.0
0.1316,0.3054,0.6914,0.535,0.748,0.2437,0.0
-0.001512,0.3347,0.4622,0.2498,0.7344,-0.0939,0.0
0.03067,0.2527,0.9766,0.3213,0.4265,-0.4182,0.0
1.6875,0.6694,0.9395,0.3318,0.7783,-0.1489,0.0
0.29,0.4402,0.4756,0.679,0.548,0.4175,0.0
2.443,0.976,0.96,0.8174,0.68,0.00603,0.0
1.661,0.9316,0.662,0.7646,0.7373,-0.156,0.0
-0.1318,0.6816,0.2391,0.713,0.3875,0.3748,0.0
1.038,0.03204,0.95,0.5713,0.8765,-0.2482,0.0
0.0672,0.4353,0.04678,0.4363,0.926,-0.10516,0.0
0.1242,0.10236,0.09204,0.577,0.2842,0.2937,0.0
1.919,0.764,0.9346,0.3003,0.5215,0.07935,0.0
-0.2632,0.1844,0.4053,0.887,0.7544,-0.221,0.0
0.8164,0.4807,0.715,0.2874,0.1467,0.402,0.0
2.127,0.884,0.8945,0.73,0.5923,-0.0706,0.0
0.9077,0.525,0.671,0.601,0.5522,-0.4968,0.0
0.01201,0.4458,0.3481,0.8076,0.3167,-0.2568,0.0
0.6816,0.765,0.426,0.67,0.735,0.06696,0.0
-0.239,0.3342,0.2345,0.2125,0.929,0.41,0.0
1.859,0.7837,0.867,0.59,0.1481,0.263,0.0
-0.11115,0.2627,0.1481,0.9146,0.257,0.02283,0.0
-0.3677,0.9507,0.0921,0.6743,0.1216,0.1227,0.0
1.983,0.81,0.909,0.2515,0.4604,0.1027,0.0
1.239,0.87,0.549,0.2434,0.4954,-0.2386,0.0
0.7197,0.5317,0.5674,0.5786,0.1694,0.2793,0.0
1.452,0.873,0.6147,0.969,0.923,-0.01675,0.0
1.316,0.5645,0.905,0.8115,0.463,0.4102,0.0
-0.084,0.358,0.373,0.4648,0.1214,0.1821,0.0
0.4143,0.3787,0.6772,0.997,0.859,-0.3193,0.0
0.86,0.604,0.5537,0.8657,0.33,-0.1,0.0
-0.2026,0.07837,0.2637,0.3584,0.823,0.452,0.0
-0.11346,0.2737,0.5137,0.967,0.803,0.286,0.0
-0.3726,0.08105,0.79,0.6978,0.267,0.2642,0.0
2.023,0.782,0.959,0.987,0.902,-0.2043,0.0
-0.339,0.8276,0.1654,0.6655,0.8164,-0.193,0.0
0.02382,0.726,0.035,0.2505,0.4478,0.3157,0.0
-0.3127,0.531,0.1609,0.8447,0.8457,-0.135,0.0
0.4062,0.2173,0.02902,0.6777,0.4392,0.2318,0.0
-0.2974,0.617,0.10333,0.741,0.9316,-0.0672,0.0
0.887,0.677,0.519,0.641,0.605,0.37,0.0
-0.2192,0.7026,0.2114,0.917,0.1823,0.2512,0.0
-0.1791,0.3662,0.3008,0.8457,0.511,0.1885,0.0
0.10504,0.3816,0.4531,0.824,0.2695,-0.0828,0.0
0.811,0.4573,0.7754,0.822,0.7417,0.11884,0.0
0.1907,0.04346,0.53,0.348,0.5913,0.0887,0.0
0.2318,0.3972,0.503,0.5483,0.3936,0.0635,0.0
-0.1444,0.0702,0.61,0.8364,0.7856,-0.3325,0.0
-0.1564,0.4712,0.2683,0.8306,0.3506,0.1116,0.0
1.097,0.8975,0.5015,0.6055,0.5083,-0.1879,0.0
-0.252,0.4592,0.2194,0.2213,0.8374,0.04773,0.0
-0.08887,0.4639,0.0705,0.5283,0.5825,-0.11615,0.0
1.304,0.667,0.6924,0.467,0.7197,0.0794,0.0
-0.2842,0.1877,0.475,0.488,0.525,-0.332,0.0
-0.1781,0.5464,0.2432,0.7153,0.18,0.4236,0.0
-0.2832,0.9463,0.1821,0.422,0.3867,-0.08496,0.0
0.05783,0.3206,0.0643,0.9893,0.2476,0.02975,0.0
-0.2515,0.696,0.201,0.4268,0.2289,-0.225,0.0
1.662,0.8525,0.696,0.9517,0.763,-0.3748,0.0
1.426,0.697,0.719,0.876,0.727,0.01942,0.0
0.622,0.533,0.5225,0.4136,0.61,0.1256,0.0
0.11743,0.796,0.02573,0.8516,0.2357,-0.4407,0.0
0.02025,0.1812,0.1298,0.8794,0.4944,-0.4575,0.0
0.4785,0.6084,0.4236,0.88,0.5757,0.4585,0.0
-0.0945,0.3584,0.3655,0.9976,0.2627,0.321,0.0
0.5166,0.8906,0.363,0.826,0.2695,-0.1675,0.0
0.001032,0.1788,0.1425,0.3274,0.4297,-0.344,0.0
0.3176,0.343,0.734,0.77,0.5234,0.2174,0.0
-0.3025,0.0179,0.3438,0.641,0.1681,-0.326,0.0
0.1403,0.695,0.3064,0.3333,0.8433,-0.1146,0.0
0.8193,0.03625,0.9204,0.888,0.822,0.3154,0.0
0.42,0.7964,0.3557,0.668,0.3894,0.0781,0.0
-0.2108,0.5337,0.08923,0.529,0.821,-0.3655,0.0
1.165,0.5923,0.712,0.254,0.427,-0.371,0.0
0.858,0.8667,0.4473,0.751,0.2903,-0.001808,0.0
0.5244,0.446,0.589,0.9507,0.888,0.06964,0.0
-0.07245,0.1831,0.1875,0.833,0.4666,0.4304,0.0
0.8335,0.9185,0.4324,0.645,0.4058,0.0848,0.0
0.1394,0.2773,0.951,0.5566,0.6787,-0.1227,0.0
2.332,0.906,0.9937,0.938,0.835,0.2754,0.0
-0.2294,0.675,0.2102,0.304,0.3303,0.05225,0.0
0.4292,0.253,0.01113,0.537,0.873,-0.1892,0.0
0.12445,0.028,0.6196,0.7485,0.4224,-0.3718,0.0
-0.04123,0.3325,0.4363,0.51,0.8096,-0.0001346,0.0
-0.2627,0.1395,0.4482,0.782,0.4094,0.1007,0.0
