like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.0454,0.699,0.3313,0.9385,0.3887,-0.0628,0.0
0.07056,0.643,0.9893,0.472,0.1348,0.3513,0.0
0.1355,0.936,0.882,0.687,0.8076,0.304,0.0
0.1635,0.01013,0.3376,0.7944,0.424,-0.06097,0.0
0.10016,0.8535,0.86,0.58,0.1901,0.1443,0.0
0.05667,0.689,0.7944,0.987,0.843,0.1816,0.0
0.0761,0.1733,0.772,0.9033,0.744,-0.146,0.0
0.05667,0.6294,0.8584,0.2502,0.3057,-0.065,0.0
0.04642,0.6675,0.4014,0.582,0.2556,0.11316,0.0
0.3232,0.7197,0.03293,0.904,0.5913,-0.11945,0.0
0.0595,0.6943,0.806,0.95,0.537,-0.473,0.0
0.0496,0.979,0.267,0.2705,0.1632,0.398,0.0
0.0699,0.992,0.632,0.453,0.854,-0.3042,0.0
0.0609,0.979,0.601,0.7275,0.149,0.4243,0.0
0.06696,0.294,0.2285,0.935,0.983,-0.4578,0.0
0.04498,0.4277,0.815,0.717,0.768,-0.2827,0.0
0.05118,0.8604,0.2512,0.74,0.683,-0.08527,0.0
0.07825,0.1713,0.6475,0.65,0.884,0.2477,0.0
0.0696,0.6426,0.9795,0.984,0.3513,-0.112,0.0
0.0702,0.9634,0.657,0.8003,0.1433,0.2272,0.0
0.1493,0.504,0.09845,0.8335,0.9893,-0.3157,0.0
0.3994,0.5913,0.02106,0.532,0.3345,-0.284,0.0
0.1571,0.5044,0.09296,0.99,0.3562,0.4495,0.0
0.04834,0.5,0.6533,0.2944,0.801,-0.1649,0.0
0.0468,0.3887,0.5684,0.3135,0.641,0.2401,0.0
0.04663,0.2852,0.974,0.852,0.965,-0.2754,0.0
0.1069,0.9697,0.7812,0.5566,0.8877,0.332,0.0
0.175,0.981,0.9146,0.2588,0.143,-0.4485,0.0
0.0487,0.5933,0.4976,0.3044,0.856,-0.001246,0.0
0.1671,0.08765,0.5527,0.3542,0.445,-0.4312,0.0
0.0462,0.4968,0.8843,0.911,0.3252,0.2389,0.0
0.0657,0.753,0.7964,0.9424,0.1149,-0.16,0.0
0.0444,0.4448,0.306,0.3643,0.4814,0.1599,0.0
0.04816,0.6704,0.588,0.4795,0.11334,0.215,0.0
0.3684,0.3782,0.03015,0.321,0.6733,0.4604,0.0
0.1595,0.02052,0.586,0.7026,0.893,-0.12256,0.0
0.04767,0.2996,0.7163,0.349,0.823,-0.4358,0.0
0.2186,0.0566,0.3071,0.8804,0.1298,-0.4355,0.0
0.2035,0.9824,0.9634,0.4082,0.6685,-0.1978,0.0
0.1404,0.1133,0.3643,0.2273,0.7397,0.482,0.0
0.04465,0.3818,0.9487,0.3972,0.6997,-0.4387,0.0
0.066,0.82,0.7266,0.4678,0.2642,-0.4268,0.0
0.0853,0.3088,0.1846,0.8213,0.6157,-0.2834,0.0
0.04807,0.564,0.654,0.466,0.997,0.19,0.0
0.0731,0.05447,0.2257,0.939,0.7803,-0.273,0.0
0.1035,0.1799,0.2515,0.7036,0.507,-0.05695,0.0
0.05316,0.2369,0.4297,0.9185,0.803,-0.484,0.0
0.0511,0.2612,0.615,0.2296,0.825,0.1092,0.0
0.158,0.0891,0.954,0.954,0.596,0.4307,0.0
0.1305,0.848,0.1085,0.3208,0.915,-0.21,0.0
0.10114,0.357,0.1516,0.9585,0.1642,0.1929,0.0
0.07135,0.7793,0.802,0.3335,0.563,-0.1132,0.0
0.04718,0.5176,0.5044,0.9097,0.1194,0.443,0.0
0.04498,0.8115,0.4644,0.8936,0.784,0.2256,0.0
0.05515,0.608,0.8813,0.541,0.3506,0.1162,0.0
0.0715,0.1853,0.579,0.4968,0.2096,-0.04175,0.0
0.10614,0.9644,0.7847,0.433,0.3035,0.463,0.0
0.04608,0.3613,0.6294,0.6484,0.4937,-0.1261,0.0
0.0636,0.2008,0.903,0.8784,0.1249,0.0578,0.0
0.1906,0.01735,0.769,0.9106,0.34,0.3606,0.0
0.05066,0.495,0.2495,0.7617,0.4338,0.2659,0.0
0.0786,0.6895,0.9604,0.713,0.9595,-0.332,0.0
0.1638,0.07294,0.804,0.821,0.961,-0.2954,0.0
0.0908,0.1515,0.6104,0.8994,0.258,-0.01085,0.0
0.356,0.651,0.02908,0.855,0.3013,-0.01323,0.0
0.04578,0.4548,0.907,0.3335,0.1155,0.3306,0.0
0.08295,0.1638,0.621,0.519,0.6484,0.0373,0.0
0.0681,0.692,0.1919,0.632,0.691,0.1432,0.0
0.0998,0.1444,0.4658,0.4382,0.4937,-0.10443,0.0
0.04407,0.891,0.3696,0.6157,0.5425,0.05685,0.0
0.12274,0.03748,0.9883,0.5015,0.452,0.364,0.0
