like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.8657,0.5093,0.9004,0.608,0.787,0.2659,0.0
0.2676,0.07666,0.04437,0.863,0.712,0.3396,0.0
0.4307,0.3865,0.4038,0.562,0.658,0.3462,0.0
0.3823,0.623,0.2532,0.2192,0.2417,0.4287,0.0
0.7065,0.4424,0.772,0.4072,0.5693,-0.3667,0.0
0.4468,0.2844,0.85,0.7964,0.849,0.3274,0.0
0.3438,0.0986,0.7544,0.5796,0.1017,0.2961,0.0
0.99,0.5767,0.92,0.7363,0.3115,0.3547,0.0
0.327,0.2908,0.3293,0.421,0.7124,-0.173,0.0
0.658,0.57,0.4897,0.821,0.7344,-0.347,0.0
0.318,0.1362,0.4216,0.868,0.7207,0.1305,0.0
0.9478,0.716,0.653,0.704,0.5674,0.4548,0.0
0.3853,0.3425,0.3823,0.2708,0.4766,0.0727,0.0
0.3413,0.863,0.2069,0.343,0.8813,0.083,0.0
0.4785,0.9077,0.0435,0.507,0.4395,-0.1487,0.0
0.4397,0.2888,0.7017,0.858,0.551,0.05417,0.0
0.787,0.4526,0.967,0.729,0.8276,0.04477,0.0
0.3833,0.3599,0.0803,0.2443,0.4873,-0.2361,0.0
0.485,0.8926,0.04214,0.6353,0.625,0.4375,0.0
0.3386,0.3032,0.3442,0.8213,0.1951,0.1998,0.0
0.9707,0.997,0.5366,0.9854,0.738,-0.4731,0.0
0.415,0.894,0.2622,0.6807,0.5835,0.02203,0.0
0.3394,0.3667,0.1096,0.5728,0.7573,-0.397,0.0
0.3433,0.5806,0.2181,0.98,0.329,0.4055,0.0
1.1,0.6787,0.8506,0.2844,0.2664,0.3293,0.0
0.319,0.5454,0.1703,0.2238,0.4094,-0.1481,0.0
1.532,0.971,0.8486,0.7627,0.3398,-0.206,0.0
0.478,0.5557,0.3462,0.33,0.765,0.03912,0.0
1.161,0.7812,0.773,0.337,0.748,-0.198,0.0
0.3296,0.3184,0.1201,0.6235,0.996,-0.391,0.0
0.3237,0.569,0.1322,0.723,0.2241,-0.2576,0.0
1.278,0.786,0.8716,0.739,0.6514,0.154,0.0
0.4404,0.6,0.3054,0.3748,0.2211,0.3625,0.0
0.4124,0.5596,0.06683,0.2074,0.5103,-0.2438,0.0
0.936,0.9194,0.5435,0.8735,0.7446,0.1323,0.0
1.252,0.684,0.998,0.633,0.708,-0.4077,0.0
0.833,0.55,0.723,0.227,0.829,0.1443,0.0
1.005,0.8975,0.586,0.7344,0.813,-0.4963,0.0
0.3665,0.19,0.1082,0.3015,0.65,-0.2499,0.0
0.318,0.905,0.1805,0.2231,0.7354,-0.3755,0.0
0.1611,0.06573,0.4514,0.578,0.2219,-0.000348,0.0
0.819,0.7896,0.508,0.2308,0.602,-0.4465,0.0
1.205,0.6846,0.9453,0.5967,0.4185,-0.4377,0.0
0.3806,0.3274,0.3958,0.779,0.555,0.1378,0.0
0.358,0.09033,0.722,0.2847,0.813,-0.3872,0.0
0.373,0.26,0.5317,0.8257,0.8584,0.1134,0.0
0.503,0.636,0.3433,0.658,0.5464,0.03091,0.0
0.862,0.827,0.5254,0.8823,0.2427,-0.1464,0.0
1.033,0.0383,0.4878,0.9263,0.7114,0.2852,0.0
1.221,0.954,0.6953,0.4895,0.737,0.1992,0.0
0.1396,0.06665,0.7764,0.594,0.3894,-0.4172,0.0
0.363,0.1142,0.182,0.481,0.1114,-0.42,0.0
0.4675,0.501,0.3572,0.672,0.777,-0.4167,0.0
0.8433,0.4792,0.987,0.8306,0.3367,0.2776,0.0
0.8296,0.5464,0.7295,0.969,0.389,0.3313,0.0
0.586,0.4626,0.52,0.4893,0.6133,0.4548,0.0
0.411,0.5117,0.02164,0.5537,0.575,-0.1892,0.0
0.453,0.2964,0.72,0.6064,0.3232,0.2109,0.0
0.3408,0.512,0.10944,0.4587,0.7905,-0.324,0.0
0.3435,0.9673,0.2115,0.7617,0.665,-0.1381,0.0
0.3538,0.749,0.2189,0.496,0.2003,0.31,0.0
0.3228,0.4692,0.2053,0.723,0.655,-0.2124,0.0
0.5996,0.9624,0.361,0.3748,0.477,0.4353,0.0
0.6074,0.393,0.717,0.7114,0.811,-0.4595,0.0
0.6377,0.4102,0.7393,0.402,0.724,0.106,0.0
0.9937,0.7676,0.6523,0.65,0.7974,0.3494,0.0
0.7305,0.5107,0.6475,0.584,0.3467,0.37,0.0
0.3142,0.1782,0.913,0.9087,0.964,0.0935,0.0
0.995,0.94,0.571,0.9365,0.582,0.1168,0.0
0.8984,0.6895,0.6226,0.3384,0.2922,-0.0644,0.0
0.3113,0.8364,0.1633,0.508,0.7334,0.384,0.0
0.4688,0.2012,0.0558,0.7476,0.1536,-0.4355,0.0
0.3577,0.0829,0.871,0.382,0.4812,-0.4775,0.0
1.024,0.7036,0.734,0.955,0.4746,0.1658,0.0
0.5283,0.966,0.3247,0.737,0.7773,0.3843,0.0
0.3474,0.211,0.717,0.3547,0.9272,-0.1759,0.0
0.4097,0.8047,0.06366,0.748,0.1426,0.0774,0.0
0.9336,0.583,0.8047,0.677,0.6216,0.01906,0.0
0.3647,0.4517,0.09064,0.3076,0.573,-0.2717,0.0
