like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.3093,0.2537,0.1109,0.3037,0.5786,-0.05545,0.0
2.334,0.006794,0.688,0.938,0.967,-0.03076,0.0
0.959,0.9526,0.3796,0.856,0.7505,-0.2292,0.0
0.484,0.1564,0.713,0.55,0.9946,0.4019,0.0
0.3098,0.2086,0.1578,0.658,0.755,0.03897,0.0
1.277,0.8335,0.5527,0.618,0.2498,0.2937,0.0
0.3877,0.1306,0.3887,0.487,0.3962,-0.077,0.0
0.632,0.3896,0.02667,0.8135,0.855,-0.03836,0.0
0.512,0.271,0.3308,0.768,0.4268,0.2426,0.0
1.641,0.757,0.849,0.371,0.7915,0.1509,0.0
1.126,0.513,0.7056,0.3828,0.573,0.2273,0.0
1.001,0.401,0.9194,0.306,0.9106,-0.0898,0.0
0.765,0.6816,0.3186,0.239,0.543,0.2333,0.0
0.838,0.392,0.5527,0.692,0.6733,-0.01909,0.0
1.853,0.7725,0.9814,0.796,0.9536,-0.134,0.0
0.4817,0.2378,0.3384,0.8027,0.497,-0.452,0.0
0.4275,0.688,0.1079,0.5513,0.6904,0.4358,0.0
1.098,0.693,0.4985,0.9985,0.4446,-0.0967,0.0
0.8438,0.9434,0.335,0.5874,0.9326,0.269,0.0
0.522,0.1815,0.8257,0.709,0.3784,0.2312,0.0
1.065,0.4668,0.7344,0.3972,0.686,0.2053,0.0
0.5845,0.2236,0.6465,0.8794,0.803,0.29,0.0
1.416,0.676,0.755,0.4695,0.2676,-0.0747,0.0
0.4756,0.833,0.1504,0.9526,0.6587,-0.061,0.0
0.3953,0.2188,0.2559,0.948,0.574,-0.4597,0.0
0.3318,0.3054,0.1051,0.4417,0.9985,0.0567,0.0
0.4622,0.3699,0.205,0.94,0.4683,0.2264,0.0
1.101,0.8447,0.4595,0.8203,0.3953,0.2673,0.0
2.053,0.9097,0.9194,0.4197,0.2451,-0.398,0.0
1.108,0.00958,0.8965,0.8604,0.5376,-0.3118,0.0
1.405,0.6685,0.753,0.659,0.3843,-0.1422,0.0
1.066,0.745,0.4648,0.2515,0.8784,0.317,0.0
0.5376,0.575,0.2021,0.7773,0.3909,0.413,0.0
0.3113,0.2177,0.1514,0.5923,0.3535,-0.304,0.0
0.7007,0.473,0.3362,0.589,0.2021,0.3718,0.0
0.5483,0.2217,0.505,0.748,0.6875,0.4478,0.0
0.4377,0.885,0.121,0.3513,0.7705,0.4666,0.0
1.207,0.5957,0.661,0.743,0.7915,0.3176,0.0
0.6177,0.4954,0.2703,0.5776,0.4387,0.3757,0.0
0.6816,0.799,0.2673,0.306,0.3691,0.163,0.0
1.253,0.593,0.715,0.5273,0.453,0.3118,0.0
1.509,0.985,0.6157,0.503,0.675,0.2607,0.0
0.774,0.3218,0.679,0.5137,0.2856,-0.2603,0.0
0.931,0.3843,0.798,0.9487,0.3767,-0.06946,0.0
0.959,0.436,0.637,0.6523,0.1416,0.02724,0.0
0.4814,0.766,0.1543,0.6196,0.5884,0.3562,0.0
0.853,0.605,0.3828,0.8354,0.4797,0.03784,0.0
0.504,0.3274,0.266,0.936,0.4663,0.06964,0.0
1.259,0.6187,0.672,0.395,0.9155,-0.3306,0.0
0.2893,0.2115,0.09937,0.9097,0.2004,-0.4893,0.0
1.214,0.5195,0.8247,0.6504,0.1494,0.0592,0.0
1.136,0.675,0.533,0.7593,0.4783,0.139,0.0
0.9014,0.5903,0.421,0.6875,0.4778,0.4985,0.0
0.65,0.487,0.02814,0.938,0.286,0.007088,0.0
2.02,0.9614,0.87,0.688,0.903,0.4553,0.0
1.078,0.4587,0.773,0.3892,0.3445,-0.4236,0.0
0.5166,0.2703,0.3357,0.72,0.371,-0.2698,0.0
0.893,0.3716,0.7446,0.2333,0.3093,-0.3718,0.0
0.4448,0.1296,0.934,0.989,0.994,0.01952,0.0
0.4978,0.1646,0.806,0.45,0.8145,-0.4124,0.0
1.328,0.588,0.821,0.5435,0.2368,0.4565,0.0
0.433,0.119,0.949,0.6045,0.648,-0.02568,0.0
0.6577,0.8364,0.254,0.887,0.908,-0.1581,0.0
1.234,0.00934,0.7305,0.9946,0.591,0.12,0.0
2.014,0.8584,0.961,0.437,0.957,-0.1514,0.0
0.528,0.08765,0.02548,0.963,0.8706,-0.4697,0.0
1.295,0.563,0.81,0.406,0.3547,-0.4988,0.0
0.586,0.10516,0.02962,0.99,0.2374,-0.113,0.0
0.572,0.282,0.3909,0.8496,0.721,0.3647,0.0
0.5205,0.394,0.2385,0.5693,0.3247,-0.1117,0.0
0.4565,0.9287,0.05374,0.975,0.76,0.347,0.0
0.4187,0.77,0.0906,0.7197,0.887,0.1313,0.0
1.001,0.6333,0.4636,0.6846,0.8765,-0.02509,0.0
1.153,0.7715,0.505,0.516,0.284,0.2698,0.0
0.737,0.4912,0.3506,0.6904,0.85,-0.1727,0.0
1.24,0.702,0.5884,0.9946,0.317,-0.04718,0.0
1.629,0.675,0.975,0.8433,0.2732,0.11426,0.0
1.349,0.5654,0.908,0.5312,0.548,0.3481,0.0
0.3855,0.1351,0.374,0.792,0.3179,-0.1247,0.0
0.5977,0.225,0.7534,0.826,0.892,-0.0915,0.0
0.748,0.8696,0.2969,0.3857,0.2201,0.3977,0.0
0.389,0.3635,0.1431,0.4836,0.4104,-0.3228,0.0
1.138,0.4897,0.7837,0.532,0.5137,-0.1066,0.0
1.732,0.874,0.7866,0.391,0.928,-0.2181,0.0
1.487,0.6235,0.93,0.851,0.10236,-0.03952,0.0
0.5454,0.927,0.1968,0.2688,0.248,0.06836,0.0
0.4084,0.08325,0.706,0.859,0.852,0.1907,0.0
0.4036,0.2064,0.281,0.515,0.2489,-0.331,0.0
1.032,0.4114,0.9463,0.738,0.771,-0.06,0.0
1.248,0.5864,0.7217,0.7803,0.845,0.381,0.0
1.352,0.5713,0.8906,0.856,0.1483,0.2002,0.0
0.4766,0.0422,0.293,0.5596,0.1214,-0.285,0.0
0.9175,0.363,0.9546,0.5396,0.2961,-0.07294,0.0
0.488,0.1631,0.94,0.909,0.3806,0.353,0.0
0.561,0.2043,0.8213,0.4277,0.2568,0.1836,0.0
0.813,0.04828,0.7637,0.9663,0.503,-0.4827,0.0
0.3635,0.06683,0.7485,0.6313,0.1755,-0.39,0.0
1.563,0.861,0.7017,0.366,0.2162,0.1318,0.0
0.3872,0.283,0.1897,0.921,0.813,0.00159,0.0
1.43,0.748,0.6953,0.5967,0.9097,0.2297,0.0
0.4438,0.6064,0.1304,0.4592,0.8604,0.3633,0.0
1.456,0.656,0.8345,0.728,0.2903,0.3228,0.0
0.5454,0.56,0.208,0.792,0.1373,-0.1991,0.0
0.413,0.1195,0.4954,0.3572,0.528,0.05246,0.0
0.419,0.0913,0.8115,0.2913,0.5083,0.0787,0.0
1.193,0.985,0.4749,0.4617,0.1936,0.1434,0.0
0.9194,0.4556,0.5386,0.4692,0.7773,-0.2316,0.0
0.469,0.1713,0.477,0.9175,0.3772,-0.251,0.0
1.362,0.87,0.5786,0.4917,0.5376,-0.3274,0.0
0.4712,0.812,0.1467,0.5254,0.697,0.118,0.0
0.3137,0.259,0.1164,0.583,0.2178,0.262,0.0
0.696,0.862,0.273,0.9062,0.8545,0.2576,0.0
1.611,0.886,0.7134,0.796,0.7075,0.08344,0.0
1.27,0.5903,0.7266,0.8423,0.579,-0.321,0.0
0.549,0.4617,0.0381,0.436,0.3853,-0.3174,0.0
1.359,0.6973,0.6865,0.8364,0.1317,0.2546,0.0
0.428,0.432,0.05286,0.2048,0.392,0.3606,0.0
0.9736,0.4294,0.692,0.612,0.862,0.4316,0.0
0.7056,0.2756,0.971,0.944,0.7207,0.3435,0.0
0.3452,0.1819,0.2345,0.519,0.5483,-0.03177,0.0
0.9907,0.8735,0.3997,0.5854,0.4097,-0.456,0.0
2.385,0.983,0.971,0.272,0.4146,-0.1656,0.0
1.529,0.6343,0.947,0.7627,0.4146,-0.3247,0.0
1.11,0.7935,0.474,0.426,0.472,0.07355,0.0
1.811,0.945,0.7783,0.865,0.3496,-0.06464,0.0
0.416,0.6733,0.08936,0.5347,0.6895,0.1128,0.0
0.759,0.344,0.553,0.997,0.9253,0.4858,0.0
0.633,0.6064,0.03244,0.3462,0.545,-0.2374,0.0
1.97,0.9834,0.819,0.545,0.668,-0.3945,0.0
1.146,0.829,0.4841,0.828,0.7666,0.0982,0.0
0.865,0.3691,0.684,0.5825,0.782,-0.11066,0.0
0.4048,0.5654,0.08405,0.6655,0.7583,-0.1619,0.0
1.145,0.481,0.8296,0.54,0.7095,-0.1663,0.0
0.9727,0.5264,0.5103,0.2345,0.2417,-0.01223,0.0
1.048,0.6284,0.4995,0.818,0.648,0.2969,0.0
0.4316,0.6816,0.06256,0.916,0.996,-0.2954,0.0
0.8364,0.9873,0.3276,0.3157,0.576,-0.2505,0.0
0.6333,0.0581,0.687,0.762,0.9277,0.0959,0.0
0.541,0.838,0.1921,0.4119,0.2405,-0.1721,0.0
0.4324,0.807,0.1123,0.4893,0.5137,0.1395,0.0
0.834,0.762,0.3445,0.676,0.6533,0.4275,0.0
0.606,0.916,0.03482,0.8594,0.4822,-0.3809,0.0
1.05,0.4404,0.792,0.441,0.8574,-0.3254,0.0
1.09,0.766,0.4727,0.9453,0.4448,0.379,0.0
0.4036,0.3752,0.1517,0.971,0.7305,-0.4885,0.0
2.02,0.863,0.965,0.294,0.2822,0.1989,0.0
0.5083,0.4414,0.2108,0.4158,0.929,0.1448,0.0
0.811,0.5093,0.397,0.3274,0.96,0.4067,0.0
1.482,0.8813,0.6445,0.2292,0.619,0.2034,0.0
1.611,0.733,0.857,0.7007,0.6426,0.0703,0.0
1.4795,0.6416,0.869,0.7915,0.519,-0.4587,0.0
1.391,0.634,0.797,0.597,0.4802,0.1277,0.0
0.9614,0.4153,0.7188,0.7876,0.3108,0.2793,0.0
0.643,0.925,0.2472,0.734,0.7256,0.2065,0.0
1.75,0.7583,0.932,0.853,0.2922,0.05527,0.0
0.8335,0.0516,0.2786,0.5366,0.781,-0.296,0.0
1.179,0.735,0.534,0.7256,0.612,0.3264,0.0
1.247,0.549,0.785,0.632,0.874,-0.2194,0.0
0.4253,0.3843,0.01142,0.449,0.3047,-0.327,0.0
1.32,0.5435,0.9116,0.4429,0.8066,-0.4019,0.0
1.341,0.6113,0.771,0.515,0.625,-0.258,0.0
0.3298,0.06903,0.973,0.642,0.3076,-0.07306,0.0
1.377,0.5547,0.9805,0.9795,0.2683,-0.00375,0.0
0.731,0.2944,0.7593,0.9487,0.6465,0.4045,0.0
0.658,0.739,0.2578,0.744,0.513,0.03305,0.0
0.696,0.458,0.34,0.291,0.1663,0.4421,0.0
0.827,0.829,0.3328,0.3433,0.8604,-0.0734,0.0
0.4827,0.155,0.797,0.96,0.1089,-0.02403,0.0
1.309,0.571,0.8154,0.9575,0.438,-0.35,0.0
