like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
85.75,0.3894,0.5303,0.6763,1.0,0.0582,1591.0,532.5,0.0
10000.0,0.9546,0.3892,0.5605,0.999,0.5312,169.4,319.8,0.0
10000.0,0.6265,0.9634,0.786,0.9995,0.974,1790.0,1137.0,0.0
10000.0,0.4128,0.1095,0.3962,0.9995,0.504,1352.0,249.4,0.0
97.2,0.7197,0.5815,0.796,1.0,-0.3328,950.0,564.5,0.0
10000.0,0.654,0.5415,0.2942,0.9995,-0.172,1653.0,18.36,0.0
16.69,0.3467,0.135,0.9766,0.999,0.876,374.8,1522.0,0.0
10000.0,0.7153,0.658,0.817,0.999,0.947,269.8,363.2,0.0
10000.0,0.947,0.25,0.2107,0.9995,-0.936,1323.0,841.0,0.0
10000.0,0.7686,0.7793,0.3303,0.9995,0.809,986.5,278.8,0.0
75.06,0.4434,0.2688,0.63,1.0,-0.6597,1891.0,708.0,0.0
6.56,0.2417,0.104,0.9775,1.0,0.0384,923.0,712.5,0.0
10000.0,0.4924,0.5645,0.6655,0.9995,0.9985,483.8,711.5,0.0
10000.0,0.7593,0.9233,0.9033,0.9995,-0.057,1320.0,856.0,0.0
25.86,0.01732,0.9507,0.4495,0.9995,-0.9663,1088.0,260.8,0.0
10000.0,0.558,0.4382,0.4175,1.0,0.7915,67.94,280.5,0.0
22.83,0.2242,0.24,0.818,0.999,0.1633,1743.0,595.0,0.0
73.9,0.8115,0.669,0.9546,0.9995,0.8516,1149.0,1795.0,0.0
10000.0,0.6465,0.665,0.747,0.9995,0.433,1227.0,759.5,0.0
10000.0,0.673,0.743,0.818,0.9995,0.277,1362.0,498.2,0.0
81.56,0.234,0.5107,0.594,0.9995,0.964,904.5,1813.0,0.0
10000.0,0.597,0.8306,0.73,0.9995,-0.0163,978.0,1510.0,0.0
28.89,0.1833,0.2522,0.7524,0.999,0.7974,1344.0,406.0,0.0
10000.0,0.2415,0.7827,0.1425,1.0,-0.3875,1573.0,1689.0,0.0
10000.0,0.17,0.8203,0.09937,1.0,-0.2344,578.0,1812.0,0.0
67.7,0.7935,0.325,0.8306,0.999,-0.09204,1170.0,315.0,0.0
30.27,0.4807,0.10345,0.8237,0.9995,0.2382,1615.0,766.5,0.0
10000.0,0.8125,0.1519,0.07477,1.0,0.007652,1476.0,243.2,0.0
10000.0,0.9316,0.8257,0.4104,0.9995,0.3435,1017.5,662.0,0.0
10000.0,0.607,0.798,0.5854,0.9995,-0.4456,686.0,1592.0,0.0
10000.0,0.659,0.4763,0.4275,0.9995,-0.5186,1452.0,1972.0,0.0
10000.0,0.2751,0.156,0.1428,0.9995,0.8003,1813.0,627.5,0.0
10000.0,0.5107,0.9834,0.7407,1.0,-0.446,217.9,1678.0,0.0
10000.0,0.661,0.4697,0.451,1.0,0.1697,1767.0,1472.0,0.0
10000.0,0.5923,0.3928,0.366,1.0,0.3616,615.5,1991.0,0.0
10000.0,0.9224,0.967,0.9,0.9995,0.2435,1780.0,1244.0,0.0
10000.0,0.85,0.3943,0.566,0.9995,0.3464,492.2,66.94,0.0
10000.0,0.898,0.985,0.6235,1.0,-0.529,767.0,265.5,0.0
10000.0,0.07623,0.253,0.2546,1.0,0.1666,388.0,938.5,0.0
10000.0,0.8853,0.2773,0.668,0.9995,-0.382,138.6,1699.0,0.0
29.97,0.4578,0.3062,0.8896,0.999,-0.4663,1566.0,527.5,0.0
10000.0,0.333,0.2764,0.04172,0.999,-0.02217,1289.0,1038.0,0.0
10000.0,0.5845,0.4375,0.2554,0.999,0.1481,1700.0,1775.0,0.0
10000.0,0.9653,0.4502,0.09705,0.9995,0.7554,437.2,517.5,0.0
10000.0,0.2712,0.1438,0.42,1.0,0.578,665.5,684.0,0.0
26.06,0.6772,0.2312,0.944,0.9995,-0.923,806.5,368.5,0.0
10000.0,0.4834,0.655,0.609,0.999,0.54,1811.0,1130.0,0.0
10000.0,0.0737,0.3625,0.0666,0.9995,-0.849,675.5,1916.0,0.0
8.234,0.06082,0.561,0.8916,0.9995,0.4275,1620.0,1649.0,0.0
10000.0,0.9844,0.9595,0.931,1.0,-0.2979,1503.0,1764.0,0.0
61.0,0.585,0.268,0.7856,0.999,0.8916,378.2,1768.0,0.0
10000.0,0.3193,0.487,0.4702,0.9995,-0.2705,716.0,1777.0,0.0
10000.0,0.0663,0.6885,0.3838,0.9995,-0.326,144.6,1483.0,0.0
12.54,0.04456,0.3103,0.773,0.9995,0.9106,818.0,339.2,0.0
19.72,0.353,0.1039,0.9443,0.999,0.999,1546.0,1906.0,0.0
