like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.4592,0.4197,0.1665,0.6655,0.4028,-0.2473,0.0
0.4604,0.1449,0.4941,0.433,0.1129,0.4023,0.0
1.261,0.5303,0.898,0.2173,0.4019,-0.438,0.0
1.492,0.611,0.958,0.832,0.8955,0.2249,0.0
0.46,0.575,0.1225,0.7207,0.2937,0.02829,0.0
1.291,0.9927,0.5254,0.6025,0.2458,0.335,0.0
0.582,0.6855,0.2593,0.774,0.5596,0.4504,0.0
0.8394,0.4763,0.51,0.456,0.954,0.456,0.0
1.623,0.7095,0.871,0.3533,0.4548,0.3784,0.0
0.39,0.2035,0.205,0.3276,0.4539,-0.11505,0.0
2.088,0.9927,0.8306,0.5977,0.2576,-0.3784,0.0
0.9194,0.5,0.552,0.9707,0.2642,-0.3738,0.0
0.518,0.8535,0.2252,0.931,0.538,0.15,0.0
0.4075,0.7705,0.01796,0.4946,0.7417,0.4395,0.0
1.779,0.864,0.795,0.4133,0.993,0.3962,0.0
0.5225,0.543,0.2184,0.4834,0.42,-0.11646,0.0
1.148,0.5176,0.784,0.901,0.2041,-0.2026,0.0
0.7764,0.4465,0.473,0.4148,0.544,-0.3306,0.0
1.115,0.8267,0.4927,0.731,0.3838,0.1742,0.0
0.9653,0.992,0.4097,0.923,0.578,0.3823,0.0
0.4272,0.09937,0.9385,0.804,0.989,0.0604,0.0
1.351,0.546,0.9937,0.651,0.2803,0.1594,0.0
0.6514,0.292,0.952,0.777,0.1846,-0.4163,0.0
0.5103,0.2058,0.5513,0.6113,0.5,-0.4094,0.0
0.3423,0.07697,0.9795,0.6787,0.862,0.361,0.0
1.778,0.992,0.714,0.968,0.579,0.3008,0.0
0.4575,0.04538,0.6484,0.645,0.3293,-0.4165,0.0
1.4375,0.581,0.966,0.6914,0.9727,-0.4768,0.0
0.854,0.7314,0.3943,0.3506,0.5713,-0.2021,0.0
0.4177,0.975,0.10284,0.854,0.4194,0.4773,0.0
0.5806,0.8706,0.04382,0.729,0.2102,0.4727,0.0
1.37,0.686,0.705,0.451,0.3896,0.02841,0.0
0.8867,0.4346,0.6396,0.517,0.1153,-0.10535,0.0
0.776,0.343,0.929,0.2379,0.327,-0.0217,0.0
0.4954,0.1938,0.6562,0.2117,0.1709,0.3655,0.0
0.4993,0.214,0.8813,0.3828,0.36,-0.4048,0.0
1.304,0.6797,0.6685,0.5767,0.3438,0.2847,0.0
0.841,0.3833,0.779,0.475,0.4807,0.3157,0.0
0.5537,0.4512,0.263,0.889,0.4077,-0.2476,0.0
1.464,0.991,0.587,0.2812,0.7344,0.01369,0.0
0.4478,0.1981,0.3276,0.4148,0.4893,-0.34,0.0
1.062,0.6045,0.5635,0.8286,0.5645,-0.079,0.0
0.4531,0.12415,0.681,0.3677,0.333,-0.3354,0.0
0.589,0.6475,0.2637,0.2444,0.191,0.2737,0.0
0.4998,0.6772,0.1993,0.2482,0.836,0.399,0.0
0.5654,0.3044,0.385,0.7476,0.6494,-0.1571,0.0
0.436,0.1499,0.07794,0.344,0.1738,-0.356,0.0
0.7817,0.401,0.559,0.2644,0.1162,-0.01727,0.0
1.125,0.7593,0.513,0.4973,0.9175,-0.4812,0.0
0.7104,0.3416,0.608,0.962,0.514,-0.1227,0.0
0.9746,0.4617,0.7075,0.8286,0.8164,0.3093,0.0
