like1,parKperc,parKb,parKe,parCqq,parBias,chain
1.206,0.8447,0.3926,0.3047,0.6567,0.2429,0.0
0.585,0.07635,0.3645,0.8247,0.769,-0.2932,0.0
0.4329,0.247,0.941,0.896,0.919,-0.2488,0.0
0.3848,0.7295,0.2578,0.9565,0.373,-0.448,0.0
2.166,0.8403,0.6323,0.7744,0.2395,0.0648,0.0
1.161,0.9805,0.3643,0.887,0.4426,0.1453,0.0
2.203,0.842,0.646,0.745,0.5522,0.4119,0.0
1.791,0.8823,0.511,0.2308,0.3523,0.0205,0.0
-0.1111,0.8657,0.1587,0.876,0.3706,0.339,0.0
2.408,0.84,0.7173,0.6387,0.71,-0.3616,0.0
-0.0935,0.2042,0.3247,0.5312,0.2009,-0.2466,0.0
1.284,0.3923,0.9326,0.4512,0.4167,-0.2,0.0
-0.01907,0.2703,0.3057,0.7363,0.12366,-0.01521,0.0
2.377,0.949,0.649,0.9155,0.6973,-0.1013,0.0
0.4807,0.5723,0.3074,0.659,0.7812,-0.482,0.0
1.623,0.7783,0.503,0.3875,0.7583,0.3801,0.0
1.04,0.636,0.4128,0.3555,0.5225,0.11145,0.0
1.508,0.4722,0.7793,0.2463,0.444,-0.417,0.0
0.923,0.973,0.3237,0.4463,0.4658,-0.3184,0.0
1.843,0.694,0.611,0.647,0.8667,-0.3088,0.0
1.434,0.4246,0.911,0.9146,0.5786,-0.2869,0.0
1.147,0.3743,0.8784,0.875,0.1375,-0.4255,0.0
0.664,0.343,0.5884,0.977,0.6636,-0.3535,0.0
2.385,0.7793,0.7607,0.547,0.4336,0.374,0.0
0.0692,0.3027,0.328,0.501,0.1107,-0.3865,0.0
2.023,0.633,0.758,0.6265,0.926,0.3252,0.0
2.027,0.576,0.868,0.3906,0.1528,-0.4863,0.0
1.301,0.4978,0.602,0.4766,0.6606,-0.4507,0.0
1.957,0.941,0.5347,0.6606,0.7886,-0.3687,0.0
0.1349,0.0955,0.561,0.8184,0.7554,0.01203,0.0
0.7812,0.3137,0.847,0.293,0.1946,-0.0419,0.0
2.084,0.021,0.5317,0.6265,0.7246,-0.073,0.0
0.511,0.29,0.675,0.2673,0.6143,-0.3608,0.0
1.023,0.363,0.807,0.942,0.1978,-0.2998,0.0
-0.05304,0.2081,0.418,0.4656,0.693,0.4883,0.0
1.533,0.4487,0.9014,0.347,0.4646,0.3694,0.0
-0.1633,0.4258,0.08356,0.835,0.8296,-0.2917,0.0
0.8647,0.3157,0.965,0.871,0.1516,0.4421,0.0
0.0789,0.2139,0.606,0.8037,0.3564,0.1641,0.0
-0.4053,0.05273,0.4023,0.9883,0.10114,-0.2096,0.0
2.084,0.704,0.6973,0.2644,0.6406,-0.11304,0.0
-0.1135,0.1852,0.333,0.936,0.4233,0.06903,0.0
-0.002457,0.3958,0.2343,0.4226,0.3638,0.2654,0.0
1.499,0.8784,0.4443,0.629,0.772,-0.3442,0.0
-0.0652,0.11523,0.3118,0.3198,0.838,-0.388,0.0
1.283,0.4683,0.6494,0.2556,0.4321,0.1744,0.0
2.62,0.869,0.7803,0.2908,0.1231,-0.46,0.0
2.758,0.93,0.7935,0.397,0.6504,-0.1671,0.0
0.949,0.344,0.8457,0.9546,0.1209,0.337,0.0
1.705,0.8633,0.4956,0.2418,0.8687,-0.000811,0.0
-0.1567,0.11725,0.3801,0.8857,0.4766,0.2054,0.0
-0.0913,0.3132,0.2094,0.8994,0.6504,0.041,0.0
0.3362,0.6035,0.2688,0.897,0.704,-0.1938,0.0
1.127,0.9385,0.3635,0.8286,0.9414,0.422,0.0
0.3877,0.8516,0.2468,0.6035,0.5796,0.455,0.0
1.838,0.5576,0.784,0.895,0.4922,-0.05203,0.0
0.716,0.529,0.3806,0.7183,0.8623,-0.1825,0.0
0.5293,0.3555,0.4832,0.8247,0.2595,-0.1901,0.0
0.0428,0.10614,0.01028,0.4592,0.6294,-0.1898,0.0
2.588,0.7573,0.883,0.852,0.4421,-0.37,0.0
2.258,0.6157,0.9487,0.2554,0.2825,0.1826,0.0
1.198,0.7935,0.4016,0.4712,0.6978,0.4182,0.0
2.084,0.559,0.974,0.766,0.9194,0.07983,0.0
-0.1412,0.1381,0.838,0.4607,0.939,-0.2666,0.0
-0.09894,0.192,0.3833,0.917,0.7363,0.2285,0.0
-0.0992,0.256,0.1509,0.927,0.7246,0.2242,0.0
0.02406,0.7656,0.019,0.561,0.5835,0.1584,0.0
-0.1547,0.1407,0.96,0.6636,0.6333,-0.08136,0.0
1.366,0.4941,0.6406,0.2524,0.6675,-0.4336,0.0
-0.1355,0.1469,0.848,0.902,0.832,-0.4526,0.0
0.819,0.9297,0.3108,0.4644,0.686,-0.0976,0.0
-0.2527,0.81,0.1265,0.6626,0.2576,-0.4446,0.0
3.26,0.9844,0.942,0.567,0.4717,-0.2686,0.0
1.668,0.6733,0.568,0.94,0.1022,0.4246,0.0
-0.0701,0.186,0.527,0.7266,0.355,0.302,0.0
0.0001318,0.4773,0.03738,0.6523,0.7007,-0.2678,0.0
-0.05185,0.885,0.169,0.3752,0.1841,-0.2715,0.0
1.746,0.02858,0.647,0.781,0.6777,-0.04865,0.0
0.365,0.395,0.3662,0.796,0.4036,0.06113,0.0
0.4321,0.7334,0.2666,0.438,0.1603,0.2231,0.0
-0.2291,0.0997,0.4746,0.606,0.2566,0.2705,0.0
1.192,0.6274,0.4536,0.6304,0.827,-0.3638,0.0
